Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$2.16,$2.37,$2.09,$2.18,"$558,443,918","$1,706,492,553"
09/04/2021,$1.86,$2.36,$1.84,$2.16,"$709,723,217","$1,644,555,962"
08/04/2021,$1.71,$1.86,$1.71,$1.86,"$203,577,728","$1,414,980,043"
07/04/2021,$1.94,$1.97,$1.60,$1.71,"$347,575,975","$1,302,900,477"
06/04/2021,$1.82,$1.96,$1.76,$1.95,"$392,729,191","$1,480,387,579"
05/04/2021,$1.88,$1.91,$1.78,$1.82,"$250,271,242","$1,381,437,015"
04/04/2021,$1.77,$1.90,$1.74,$1.88,"$258,036,567","$1,429,017,530"
03/04/2021,$2.01,$2.01,$1.76,$1.77,"$304,127,220","$1,343,857,184"
02/04/2021,$2.01,$2.08,$1.91,$2.02,"$349,818,503","$1,533,742,938"
01/04/2021,$1.91,$2.09,$1.87,$2.01,"$523,102,989","$1,526,221,046"
31/03/2021,$1.87,$2.03,$1.78,$1.91,"$685,315,365","$1,453,301,427"
30/03/2021,$1.61,$1.94,$1.57,$1.87,"$669,768,881","$1,421,048,791"
29/03/2021,$1.47,$1.62,$1.47,$1.61,"$263,982,518","$1,221,225,061"
28/03/2021,$1.42,$1.50,$1.40,$1.47,"$184,437,051","$1,115,487,775"
27/03/2021,$1.39,$1.44,$1.37,$1.42,"$190,679,090","$1,083,525,533"
26/03/2021,$1.32,$1.40,$1.32,$1.39,"$131,183,282","$1,060,501,709"
25/03/2021,$1.39,$1.41,$1.28,$1.32,"$250,654,407","$1,006,067,267"
24/03/2021,$1.51,$1.61,$1.37,$1.39,"$303,399,723","$1,059,697,755"
23/03/2021,$1.43,$1.54,$1.37,$1.51,"$250,003,324","$1,150,324,533"
22/03/2021,$1.46,$1.57,$1.41,$1.43,"$237,302,503","$1,087,982,688"
21/03/2021,$1.50,$1.53,$1.42,$1.46,"$185,181,207","$1,113,225,663"
20/03/2021,$1.56,$1.63,$1.50,$1.50,"$219,005,435","$1,141,151,758"
19/03/2021,$1.52,$1.65,$1.47,$1.57,"$294,587,936","$1,190,315,725"
18/03/2021,$1.45,$1.74,$1.43,$1.53,"$606,472,102","$1,160,136,574"
17/03/2021,$1.43,$1.45,$1.34,$1.45,"$191,119,676","$1,103,382,290"
16/03/2021,$1.33,$1.44,$1.28,$1.43,"$182,422,691","$1,084,086,766"
15/03/2021,$1.33,$1.37,$1.26,$1.33,"$158,962,955","$1,011,013,369"
14/03/2021,$1.39,$1.40,$1.32,$1.33,"$127,097,149","$1,012,452,940"
13/03/2021,$1.34,$1.42,$1.29,$1.39,"$132,596,511","$1,059,730,230"
12/03/2021,$1.38,$1.39,$1.31,$1.34,"$128,427,524","$1,020,289,804"
11/03/2021,$1.39,$1.41,$1.34,$1.38,"$130,710,271","$1,046,330,498"
10/03/2021,$1.47,$1.48,$1.37,$1.39,"$176,950,386","$1,060,483,783"
09/03/2021,$1.42,$1.47,$1.39,$1.47,"$173,715,934","$1,120,363,493"
08/03/2021,$1.42,$1.47,$1.37,$1.42,"$207,852,372","$1,081,033,927"
07/03/2021,$1.37,$1.42,$1.36,$1.42,"$160,884,653","$1,076,268,783"
06/03/2021,$1.34,$1.40,$1.32,$1.37,"$139,697,736","$1,044,708,148"
05/03/2021,$1.38,$1.39,$1.30,$1.35,"$158,103,129","$1,022,981,043"
04/03/2021,$1.47,$1.50,$1.36,$1.38,"$188,180,550","$1,048,984,279"
03/03/2021,$1.36,$1.52,$1.34,$1.47,"$262,252,025","$1,099,821,925"
02/03/2021,$1.34,$1.43,$1.29,$1.36,"$263,572,515","$1,021,263,493"
01/03/2021,$1.21,$1.37,$1.21,$1.34,"$214,940,703","$1,006,328,514"
28/02/2021,$1.34,$1.35,$1.14,$1.21,"$190,988,675","$906,804,698"
27/02/2021,$1.32,$1.40,$1.30,$1.34,"$192,079,135","$1,002,901,134"
26/02/2021,$1.40,$1.42,$1.25,$1.32,"$318,032,413","$990,455,206"
25/02/2021,$1.53,$1.59,$1.39,$1.39,"$269,654,917","$1,043,611,947"
24/02/2021,$1.59,$1.67,$1.43,$1.52,"$455,674,147","$1,144,024,535"
23/02/2021,$1.56,$1.87,$1.21,$1.59,"$1,075,392,680","$1,189,273,083"
22/02/2021,$1.73,$1.91,$1.34,$1.56,"$689,883,598","$1,167,157,335"
21/02/2021,$1.54,$1.75,$1.50,$1.73,"$345,019,543","$1,295,293,630"
20/02/2021,$1.55,$1.69,$1.48,$1.54,"$367,304,157","$1,153,646,437"
19/02/2021,$1.61,$1.63,$1.51,$1.55,"$240,961,584","$1,166,400,278"
18/02/2021,$1.56,$1.63,$1.52,$1.61,"$241,320,751","$1,210,285,988"
17/02/2021,$1.59,$1.60,$1.42,$1.56,"$348,196,330","$1,171,219,644"
16/02/2021,$1.61,$1.70,$1.51,$1.59,"$305,494,975","$1,189,811,543"
15/02/2021,$1.80,$1.81,$1.45,$1.61,"$384,502,851","$1,208,451,180"
14/02/2021,$1.88,$2.00,$1.69,$1.80,"$492,231,583","$1,351,007,061"
13/02/2021,$1.80,$1.92,$1.66,$1.88,"$478,092,748","$1,413,300,969"
12/02/2021,$1.76,$2.01,$1.73,$1.81,"$762,009,465","$1,354,512,086"
