Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.39,$1.48,$1.36,$1.39,"$335,532,482","$3,734,827,324"
09/04/2021,$1.35,$1.43,$1.32,$1.39,"$281,543,642","$3,714,584,414"
08/04/2021,$1.31,$1.38,$1.30,$1.35,"$252,938,907","$3,580,896,688"
07/04/2021,$1.40,$1.48,$1.26,$1.30,"$545,441,816","$3,440,619,291"
06/04/2021,$1.40,$1.49,$1.36,$1.40,"$441,199,749","$3,673,149,597"
05/04/2021,$1.32,$1.43,$1.28,$1.41,"$363,893,378","$3,680,673,032"
04/04/2021,$1.27,$1.36,$1.25,$1.31,"$259,162,075","$3,443,490,562"
03/04/2021,$1.36,$1.47,$1.27,$1.27,"$457,515,567","$3,323,474,734"
02/04/2021,$1.33,$1.37,$1.31,$1.36,"$256,028,256","$3,561,439,673"
01/04/2021,$1.37,$1.40,$1.30,$1.33,"$312,332,954","$3,468,241,465"
31/03/2021,$1.33,$1.37,$1.26,$1.37,"$369,677,700","$3,576,821,900"
30/03/2021,$1.40,$1.43,$1.30,$1.33,"$418,633,321","$3,461,669,313"
29/03/2021,$1.24,$1.45,$1.22,$1.40,"$565,200,987","$3,651,285,477"
28/03/2021,$1.16,$1.27,$1.15,$1.24,"$368,338,603","$3,221,922,852"
27/03/2021,$1.12,$1.22,$1.10,$1.16,"$350,800,206","$3,019,881,246"
26/03/2021,$1.05,$1.13,$1.04,$1.12,"$204,442,462","$2,910,052,076"
25/03/2021,$1.03,$1.08,$0.9881,$1.05,"$371,973,364","$2,720,201,987"
24/03/2021,$1.11,$1.18,$1.00,$1.03,"$355,602,691","$2,688,516,869"
23/03/2021,$1.11,$1.16,$1.07,$1.11,"$305,034,134","$2,894,750,172"
22/03/2021,$1.18,$1.23,$1.09,$1.11,"$287,231,851","$2,881,771,866"
21/03/2021,$1.21,$1.24,$1.16,$1.18,"$278,155,215","$3,071,084,074"
20/03/2021,$1.25,$1.32,$1.21,$1.21,"$284,449,961","$3,135,078,850"
19/03/2021,$1.26,$1.31,$1.22,$1.25,"$295,857,156","$3,254,127,466"
18/03/2021,$1.29,$1.38,$1.24,$1.26,"$602,618,872","$3,269,117,704"
17/03/2021,$1.20,$1.30,$1.16,$1.30,"$443,468,960","$3,352,613,058"
16/03/2021,$1.19,$1.25,$1.13,$1.20,"$632,910,988","$3,106,912,766"
15/03/2021,$1.13,$1.34,$1.12,$1.20,"$1,215,427,012","$3,096,093,413"
14/03/2021,$1.14,$1.17,$1.09,$1.13,"$404,746,123","$2,919,810,940"
13/03/2021,$1.05,$1.17,$1.02,$1.14,"$424,560,368","$2,942,646,243"
12/03/2021,$1.08,$1.15,$1.03,$1.05,"$455,285,823","$2,714,751,054"
11/03/2021,$1.11,$1.12,$1.05,$1.08,"$331,685,164","$2,790,223,403"
10/03/2021,$1.18,$1.23,$1.08,$1.11,"$439,787,738","$2,853,328,266"
09/03/2021,$1.15,$1.18,$1.12,$1.18,"$404,449,001","$2,705,098,217"
08/03/2021,$1.10,$1.16,$1.06,$1.15,"$379,936,908","$2,619,042,791"
07/03/2021,$1.05,$1.14,$1.05,$1.10,"$319,268,550","$2,470,106,263"
06/03/2021,$1.06,$1.07,$1.01,$1.05,"$269,458,490","$2,357,401,178"
05/03/2021,$1.09,$1.09,$1.01,$1.06,"$415,618,857","$2,369,067,167"
04/03/2021,$1.18,$1.25,$1.05,$1.09,"$558,601,276","$2,421,958,821"
03/03/2021,$1.08,$1.22,$1.06,$1.18,"$638,690,035","$2,584,380,629"
02/03/2021,$1.09,$1.17,$1.04,$1.08,"$552,897,940","$2,337,232,099"
01/03/2021,$1.02,$1.11,$1.01,$1.09,"$425,868,521","$2,276,907,404"
28/02/2021,$1.10,$1.13,$0.9527,$1.02,"$598,035,361","$2,106,497,642"
27/02/2021,$0.9721,$1.18,$0.9721,$1.10,"$546,790,290","$2,219,617,066"
26/02/2021,$0.9789,$1.05,$0.9043,$0.9713,"$490,080,858","$1,960,685,816"
25/02/2021,$1.06,$1.15,$0.976,$0.976,"$529,090,407","$1,950,259,104"
24/02/2021,$1.00,$1.18,$0.9565,$1.06,"$604,870,974","$2,093,117,126"
23/02/2021,$1.14,$1.15,$0.8417,$0.9998,"$879,735,912","$1,947,265,608"
22/02/2021,$1.31,$1.31,$0.9495,$1.14,"$786,990,096","$2,193,856,182"
21/02/2021,$1.31,$1.35,$1.27,$1.31,"$408,227,703","$2,455,331,969"
20/02/2021,$1.37,$1.49,$1.25,$1.31,"$801,624,385","$2,410,314,586"
19/02/2021,$1.40,$1.43,$1.31,$1.37,"$587,922,601","$2,405,797,222"
18/02/2021,$1.37,$1.45,$1.36,$1.40,"$613,260,929","$2,443,528,728"
17/02/2021,$1.31,$1.42,$1.20,$1.37,"$918,368,743","$2,332,973,251"
16/02/2021,$1.35,$1.47,$1.28,$1.31,"$849,383,982","$2,189,280,104"
15/02/2021,$1.47,$1.54,$1.22,$1.35,"$1,282,829,302","$2,194,439,504"
14/02/2021,$1.67,$1.68,$1.42,$1.47,"$958,023,564","$2,318,886,353"
13/02/2021,$1.72,$1.79,$1.38,$1.67,"$1,617,380,782","$2,529,547,859"
12/02/2021,$1.25,$1.82,$1.18,$1.71,"$2,098,583,771","$2,487,520,455"
