Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$30.14,$30.34,$27.93,$29.18,"$15,823,688","$974,299,618"
09/04/2021,$32.37,$32.37,$30.01,$30.14,"$16,215,242","$1,006,663,501"
08/04/2021,$29.03,$32.73,$28.90,$32.39,"$21,251,746","$1,081,557,726"
07/04/2021,$29.76,$30.94,$26.16,$29.06,"$24,162,031","$970,402,508"
06/04/2021,$27.48,$31.14,$27.46,$29.76,"$20,435,324","$993,802,765"
05/04/2021,$27.31,$28.50,$27.07,$27.48,"$18,174,390","$917,588,059"
04/04/2021,$28.30,$29.01,$26.95,$27.28,"$17,413,051","$911,166,311"
03/04/2021,$28.98,$29.46,$25.36,$28.25,"$23,248,104","$943,370,237"
02/04/2021,$31.39,$32.82,$28.70,$28.97,"$26,534,447","$967,473,822"
01/04/2021,$32.59,$34.23,$30.18,$31.40,"$26,527,943","$1,048,490,194"
31/03/2021,$28.04,$33.18,$27.04,$32.55,"$26,652,100","$1,087,082,379"
30/03/2021,$28.76,$28.99,$26.46,$28.07,"$19,747,360","$937,429,002"
29/03/2021,$27.02,$29.70,$27.01,$28.76,"$20,417,626","$960,283,094"
28/03/2021,$29.56,$31.02,$25.77,$27.03,"$27,113,085","$902,548,800"
27/03/2021,$26.63,$29.59,$24.91,$29.59,"$27,215,236","$988,144,850"
26/03/2021,$20.49,$26.62,$20.49,$26.62,"$23,034,188","$888,984,970"
25/03/2021,$19.86,$22.94,$19.07,$20.47,"$19,116,704","$683,718,172"
24/03/2021,$21.50,$21.58,$19.49,$19.84,"$16,101,552","$662,567,136"
23/03/2021,$22.62,$24.39,$19.84,$21.50,"$21,016,662","$717,901,786"
22/03/2021,$21.31,$24.23,$19.72,$22.61,"$18,048,102","$755,182,725"
21/03/2021,$23.02,$23.19,$19.55,$21.31,"$16,371,083","$711,721,943"
20/03/2021,$19.28,$23.29,$19.06,$22.98,"$20,182,765","$767,549,212"
19/03/2021,$17.45,$20.52,$16.75,$19.28,"$19,055,127","$643,995,958"
18/03/2021,$14.37,$18.89,$13.88,$17.45,"$15,674,037","$582,775,734"
17/03/2021,$13.12,$14.62,$12.84,$14.37,"$12,070,069","$479,732,739"
16/03/2021,$13.48,$13.60,$12.16,$13.12,"$11,552,872","$438,082,545"
15/03/2021,$14.85,$14.95,$12.97,$13.48,"$11,882,307","$450,200,988"
14/03/2021,$15.07,$15.50,$14.47,$14.85,"$8,968,644","$495,923,476"
13/03/2021,$14.39,$15.60,$13.79,$15.07,"$14,291,372","$503,385,353"
12/03/2021,$14.98,$15.03,$13.83,$14.39,"$14,860,360","$480,601,458"
11/03/2021,$15.12,$16.76,$14.28,$14.97,"$17,471,832","$500,072,122"
10/03/2021,$14.39,$15.16,$13.75,$15.12,"$11,634,941","$504,893,676"
09/03/2021,$14.02,$15.08,$13.57,$14.39,"$15,313,666","$480,574,426"
08/03/2021,$13.50,$13.98,$12.42,$13.98,"$13,966,963","$466,728,649"
07/03/2021,$13.77,$14.28,$12.93,$13.50,"$13,398,237","$450,774,793"
06/03/2021,$14.74,$14.85,$13.38,$13.77,"$13,294,687","$459,848,756"
05/03/2021,$14.31,$15.70,$13.44,$14.73,"$16,784,506","$491,850,588"
04/03/2021,$16.29,$17.30,$13.67,$14.30,"$17,377,826","$477,702,699"
03/03/2021,$12.16,$16.82,$11.98,$16.28,"$37,291,557","$543,598,493"
02/03/2021,$10.72,$12.35,$10.28,$12.16,"$13,785,443","$405,924,041"
01/03/2021,$9.29,$10.76,$8.93,$10.72,"$12,125,395","$357,894,689"
28/02/2021,$10.98,$11.41,$8.71,$9.29,"$11,973,007","$310,176,439"
27/02/2021,$11.88,$12.02,$10.48,$10.97,"$13,592,859","$366,306,182"
26/02/2021,$10.58,$12.30,$9.79,$11.90,"$18,955,330","$397,243,715"
25/02/2021,$10.59,$13.20,$9.03,$10.83,"$23,492,182","$361,619,575"
24/02/2021,$6.73,$12.03,$6.63,$10.84,"$51,805,450","$361,961,859"
23/02/2021,$6.78,$6.81,$5.60,$6.73,"$14,304,864","$224,695,721"
22/02/2021,$7.23,$7.40,$5.89,$6.78,"$7,333,008","$226,376,074"
21/02/2021,$7.29,$7.66,$7.08,$7.20,"$3,981,956","$240,424,634"
20/02/2021,$6.87,$7.45,$6.68,$7.29,"$14,044,752","$243,471,552"
19/02/2021,$7.68,$7.74,$6.66,$6.86,"$9,645,118","$229,227,322"
18/02/2021,$7.81,$7.87,$7.30,$7.68,"$7,042,225","$256,553,724"
17/02/2021,$7.95,$8.00,$7.50,$7.81,"$10,194,576","$260,886,344"
16/02/2021,$7.22,$8.01,$7.06,$7.95,"$11,763,308","$265,554,081"
15/02/2021,$6.88,$7.63,$5.76,$7.22,"$10,002,841","$240,968,853"
14/02/2021,$7.18,$7.42,$6.67,$6.89,"$8,813,915","$229,924,088"
13/02/2021,$6.88,$7.71,$6.87,$7.17,"$11,438,206","$239,507,346"
12/02/2021,$6.96,$7.01,$6.60,$6.88,"$9,433,598","$229,705,296"
