Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$31.54,$33.94,$30.88,$31.80,"$377,650,235","$4,083,942,002"
09/04/2021,$30.76,$32.42,$30.41,$31.53,"$289,110,798","$4,038,818,686"
08/04/2021,$29.58,$31.36,$29.31,$30.76,"$177,272,348","$3,939,489,658"
07/04/2021,$31.52,$32.70,$28.70,$29.48,"$337,039,411","$3,774,411,457"
06/04/2021,$31.28,$34.55,$30.20,$31.55,"$453,065,493","$4,040,390,424"
05/04/2021,$29.31,$32.98,$28.74,$31.25,"$447,418,402","$4,000,699,823"
04/04/2021,$28.30,$30.09,$27.92,$29.33,"$185,849,450","$3,755,051,237"
03/04/2021,$29.08,$32.78,$28.20,$28.25,"$424,655,897","$3,616,902,241"
02/04/2021,$28.33,$29.57,$28.04,$29.12,"$167,497,181","$3,727,678,493"
01/04/2021,$28.73,$29.30,$27.99,$28.42,"$172,089,242","$3,637,644,692"
31/03/2021,$29.62,$29.89,$26.70,$28.73,"$221,774,579","$3,676,426,976"
30/03/2021,$29.48,$30.78,$28.94,$29.63,"$221,168,524","$3,790,034,964"
29/03/2021,$28.71,$30.25,$28.26,$29.47,"$219,894,708","$3,769,408,496"
28/03/2021,$27.62,$29.49,$27.25,$28.70,"$222,965,831","$3,668,576,527"
27/03/2021,$28.24,$28.61,$26.88,$27.63,"$175,964,471","$3,532,272,875"
26/03/2021,$25.95,$28.88,$25.91,$28.24,"$232,181,872","$3,609,557,165"
25/03/2021,$25.98,$27.46,$24.64,$26.00,"$252,605,201","$3,322,963,744"
24/03/2021,$28.55,$30.40,$25.10,$26.05,"$292,191,840","$3,329,551,119"
23/03/2021,$29.31,$30.84,$28.35,$28.59,"$245,730,628","$3,653,358,605"
22/03/2021,$32.81,$33.54,$28.99,$29.36,"$310,387,936","$3,751,257,128"
21/03/2021,$34.34,$35.51,$32.12,$32.81,"$328,942,185","$4,191,960,631"
20/03/2021,$37.59,$39.39,$34.35,$34.35,"$341,937,806","$4,387,539,801"
19/03/2021,$33.26,$38.44,$31.76,$37.76,"$621,681,221","$4,823,883,283"
18/03/2021,$32.65,$35.61,$31.97,$33.30,"$439,630,072","$4,253,508,948"
17/03/2021,$33.08,$33.86,$31.00,$32.65,"$440,750,660","$4,169,564,794"
16/03/2021,$28.95,$33.16,$27.75,$33.08,"$450,559,779","$4,224,462,734"
15/03/2021,$28.99,$30.46,$27.26,$29.02,"$334,277,022","$3,705,495,664"
14/03/2021,$30.88,$32.18,$29.06,$29.06,"$312,497,649","$3,710,525,616"
13/03/2021,$28.00,$33.14,$27.05,$30.91,"$521,074,219","$3,946,475,689"
12/03/2021,$30.78,$31.48,$27.07,$27.99,"$431,815,755","$3,573,362,288"
11/03/2021,$29.65,$32.82,$28.47,$30.73,"$596,126,031","$3,922,974,040"
10/03/2021,$34.25,$35.58,$28.91,$29.71,"$842,150,960","$3,770,336,408"
09/03/2021,$25.55,$34.60,$23.74,$34.25,"$1,202,374,920","$4,334,543,281"
08/03/2021,$26.66,$27.07,$25.17,$25.55,"$209,982,091","$2,163,005,884"
07/03/2021,$24.92,$27.87,$24.92,$26.65,"$300,207,534","$2,236,935,400"
06/03/2021,$24.34,$25.50,$23.90,$24.92,"$138,082,740","$2,077,815,225"
05/03/2021,$25.78,$25.78,$23.62,$24.38,"$192,065,807","$2,022,827,428"
04/03/2021,$27.27,$28.73,$24.28,$25.81,"$290,696,777","$1,985,374,167"
03/03/2021,$27.15,$29.23,$26.62,$27.27,"$305,240,058","$2,098,233,361"
02/03/2021,$27.42,$31.74,$26.02,$27.14,"$563,934,379","$2,087,699,036"
01/03/2021,$23.88,$27.77,$23.70,$27.40,"$248,201,636","$2,108,365,509"
28/02/2021,$25.82,$25.91,$22.30,$23.82,"$156,409,576","$1,832,888,422"
27/02/2021,$25.96,$27.42,$25.26,$25.81,"$160,106,642","$1,986,089,484"
26/02/2021,$26.86,$27.98,$24.99,$25.94,"$178,639,218","$1,995,732,557"
25/02/2021,$29.93,$32.04,$26.74,$26.74,"$246,988,832","$2,057,260,868"
24/02/2021,$27.58,$31.90,$25.49,$29.94,"$367,826,263","$2,303,186,093"
23/02/2021,$32.31,$32.31,$23.41,$27.56,"$358,695,614","$2,120,608,595"
22/02/2021,$36.15,$36.26,$26.93,$32.28,"$341,397,482","$2,483,455,677"
21/02/2021,$36.10,$37.93,$35.15,$36.15,"$213,433,308","$2,781,118,658"
20/02/2021,$38.77,$42.75,$32.89,$36.23,"$468,606,771","$2,787,727,125"
19/02/2021,$41.04,$41.21,$38.00,$38.75,"$319,733,162","$2,981,422,955"
18/02/2021,$37.06,$43.70,$36.02,$41.02,"$433,522,043","$3,155,580,312"
17/02/2021,$36.40,$41.21,$34.22,$37.05,"$417,547,992","$2,850,682,982"
16/02/2021,$38.16,$39.49,$35.29,$36.34,"$360,245,755","$2,795,590,641"
15/02/2021,$38.55,$43.99,$33.83,$38.18,"$492,075,708","$2,937,187,691"
14/02/2021,$43.77,$44.54,$38.33,$38.58,"$472,803,313","$2,967,920,406"
13/02/2021,$48.66,$51.92,$43.49,$43.79,"$380,032,573","$3,368,854,207"
12/02/2021,$47.16,$54.39,$43.77,$48.66,"$688,788,872","$3,743,463,409"
