Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.24,$1.26,$1.22,$1.25,"$4,355,429","$938,223,602"
09/04/2021,$1.24,$1.27,$1.23,$1.24,"$4,365,889","$930,023,111"
08/04/2021,$1.24,$1.27,$1.22,$1.24,"$4,164,379","$927,885,526"
07/04/2021,$1.29,$1.37,$1.23,$1.24,"$9,471,582","$930,172,611"
06/04/2021,$1.26,$1.29,$1.20,$1.29,"$8,125,817","$968,249,937"
05/04/2021,$1.35,$1.35,$1.21,$1.26,"$8,434,756","$944,713,919"
04/04/2021,$1.13,$1.39,$1.13,$1.35,"$11,281,077","$1,012,637,033"
03/04/2021,$1.26,$1.27,$1.08,$1.13,"$13,076,981","$844,201,721"
02/04/2021,$1.39,$1.45,$1.23,$1.26,"$16,289,079","$946,007,123"
01/04/2021,$1.66,$1.67,$1.25,$1.39,"$25,932,983","$1,040,322,878"
31/03/2021,$1.69,$1.73,$1.64,$1.66,"$12,964,265","$1,243,689,298"
30/03/2021,$1.92,$1.92,$1.53,$1.69,"$24,659,448","$1,113,918,162"
29/03/2021,$1.95,$2.20,$1.89,$1.92,"$23,319,923","$1,268,597,530"
28/03/2021,$3.09,$3.11,$1.70,$1.96,"$48,135,061","$1,291,527,389"
27/03/2021,$2.57,$3.26,$2.29,$3.09,"$54,867,587","$2,044,415,014"
26/03/2021,$1.82,$2.60,$1.66,$2.58,"$41,402,923","$1,702,032,659"
25/03/2021,$1.85,$1.88,$1.71,$1.82,"$10,876,747","$1,203,536,144"
24/03/2021,$2.12,$2.12,$1.82,$1.85,"$16,324,012","$1,219,553,387"
23/03/2021,$1.74,$2.19,$1.74,$2.12,"$20,075,095","$1,398,349,961"
22/03/2021,$1.63,$1.84,$1.60,$1.74,"$13,997,304","$1,149,217,013"
21/03/2021,$1.49,$1.68,$1.41,$1.63,"$15,942,071","$1,079,136,397"
20/03/2021,$1.28,$1.56,$1.26,$1.49,"$13,523,366","$984,681,505"
19/03/2021,$1.29,$1.41,$1.11,$1.28,"$11,344,446","$843,788,008"
18/03/2021,$1.20,$1.40,$1.15,$1.29,"$7,160,558","$851,579,541"
17/03/2021,$1.18,$1.29,$1.09,$1.20,"$13,084,385","$790,079,068"
16/03/2021,$1.23,$1.41,$1.14,$1.18,"$25,384,017","$780,420,547"
15/03/2021,$1.25,$1.34,$1.09,$1.23,"$13,692,513","$812,594,989"
14/03/2021,$1.37,$1.47,$1.21,$1.25,"$16,854,881","$827,862,538"
13/03/2021,$1.16,$1.44,$1.04,$1.37,"$13,734,457","$902,922,250"
12/03/2021,$1.08,$1.25,$1.06,$1.16,"$11,341,846","$768,155,624"
11/03/2021,$0.9822,$1.20,$0.9438,$1.08,"$20,708,461","$711,400,210"
10/03/2021,$0.8521,$1.02,$0.7702,$0.9827,"$15,542,375","$649,168,883"
09/03/2021,$0.7394,$0.8609,$0.7357,$0.8516,"$9,461,954","$562,549,167"
08/03/2021,$0.7702,$0.7739,$0.7181,$0.7394,"$4,287,859","$488,460,323"
07/03/2021,$0.7208,$0.8088,$0.7205,$0.7702,"$12,904,420","$508,804,835"
06/03/2021,$0.6795,$0.753,$0.6738,$0.721,"$5,971,139","$476,310,211"
05/03/2021,$0.6929,$0.6981,$0.6589,$0.6795,"$3,251,235","$448,883,892"
04/03/2021,$0.7063,$0.7423,$0.6719,$0.6928,"$5,599,239","$457,702,635"
03/03/2021,$0.6999,$0.7812,$0.6903,$0.7063,"$7,141,865","$466,599,112"
02/03/2021,$0.6575,$0.7113,$0.6434,$0.6999,"$4,444,503","$462,348,308"
01/03/2021,$0.5396,$0.6718,$0.5299,$0.6579,"$6,041,023","$434,592,664"
28/02/2021,$0.695,$0.7071,$0.4817,$0.5394,"$9,936,797","$356,358,002"
27/02/2021,$0.7139,$0.7722,$0.6541,$0.695,"$1,052,550","$459,125,500"
26/02/2021,$0.6931,$0.7251,$0.6586,$0.7129,"$1,138,043","$470,966,854"
25/02/2021,$0.7535,$0.7737,$0.6694,$0.6931,"$6,310,630","$457,887,370"
24/02/2021,$0.4748,$0.821,$0.4714,$0.7537,"$17,603,461","$497,935,409"
23/02/2021,$0.5376,$0.5377,$0.4462,$0.4748,"$7,187,603","$313,658,268"
22/02/2021,$0.5727,$0.5749,$0.4883,$0.5377,"$9,480,450","$355,219,728"
21/02/2021,$0.533,$0.5738,$0.5249,$0.5727,"$5,433,881","$378,325,532"
20/02/2021,$0.5193,$0.5557,$0.493,$0.5334,"$9,776,748","$352,364,950"
19/02/2021,$0.4219,$0.5201,$0.377,$0.5193,"$10,770,225","$343,058,375"
18/02/2021,$0.3334,$0.462,$0.3295,$0.4219,"$10,807,791","$278,698,616"
17/02/2021,$0.2742,$0.3388,$0.2689,$0.3334,"$10,028,428","$220,248,549"
16/02/2021,$0.2699,$0.2787,$0.2271,$0.2743,"$9,317,400","$181,182,252"
15/02/2021,$0.2887,$0.2893,$0.2698,$0.2699,"$5,576,825","$178,325,777"
14/02/2021,$0.2885,$0.2918,$0.2759,$0.2888,"$6,286,125","$190,758,653"
13/02/2021,$0.2949,$0.2962,$0.2786,$0.2885,"$6,001,763","$190,603,631"
12/02/2021,$0.3143,$0.3164,$0.2562,$0.2947,"$14,023,351","$194,653,888"
