Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$7.23,$7.40,$7.00,$7.13,"$100,386,327","$1,273,530,180"
09/04/2021,$7.39,$7.52,$7.18,$7.23,"$92,221,996","$1,272,803,228"
08/04/2021,$7.08,$7.48,$7.05,$7.39,"$92,512,605","$1,293,329,157"
07/04/2021,$7.70,$7.74,$6.94,$7.09,"$90,748,411","$1,239,240,508"
06/04/2021,$7.68,$7.86,$7.50,$7.71,"$115,486,102","$1,348,278,574"
05/04/2021,$7.63,$7.74,$7.34,$7.68,"$88,349,530","$1,336,740,446"
04/04/2021,$7.23,$7.68,$7.16,$7.63,"$57,149,620","$1,326,794,100"
03/04/2021,$7.95,$8.00,$7.22,$7.23,"$77,251,422","$1,256,752,758"
02/04/2021,$7.59,$7.98,$7.46,$7.95,"$94,157,258","$1,377,471,392"
01/04/2021,$7.43,$7.66,$7.43,$7.59,"$93,182,471","$1,315,484,167"
31/03/2021,$7.40,$7.50,$7.15,$7.43,"$107,959,690","$1,286,449,612"
30/03/2021,$7.44,$7.51,$7.34,$7.40,"$68,024,006","$1,277,947,927"
29/03/2021,$7.15,$7.50,$7.07,$7.44,"$88,921,025","$1,281,649,285"
28/03/2021,$7.22,$7.33,$6.99,$7.15,"$62,697,635","$1,238,277,422"
27/03/2021,$7.30,$7.35,$7.03,$7.22,"$63,665,879","$1,250,846,143"
26/03/2021,$6.79,$7.30,$6.79,$7.30,"$70,875,839","$1,259,501,708"
25/03/2021,$6.84,$6.97,$6.64,$6.79,"$94,925,138","$1,164,947,249"
24/03/2021,$7.36,$7.59,$6.72,$6.84,"$59,490,628","$1,167,450,741"
23/03/2021,$7.49,$7.60,$7.27,$7.36,"$49,873,366","$1,255,995,955"
22/03/2021,$8.04,$8.10,$7.43,$7.50,"$73,723,158","$1,262,467,350"
21/03/2021,$8.21,$8.29,$7.88,$8.04,"$70,814,143","$1,349,716,917"
20/03/2021,$8.17,$8.61,$8.14,$8.20,"$114,023,837","$1,382,054,663"
19/03/2021,$7.71,$8.22,$7.57,$8.17,"$77,956,402","$1,360,449,540"
18/03/2021,$7.84,$8.00,$7.67,$7.71,"$80,068,029","$1,279,530,884"
17/03/2021,$7.56,$7.87,$7.30,$7.84,"$95,152,543","$1,281,549,634"
16/03/2021,$7.60,$7.66,$7.24,$7.56,"$69,512,315","$1,233,653,704"
15/03/2021,$7.87,$8.16,$7.54,$7.60,"$121,292,547","$1,236,649,758"
14/03/2021,$8.21,$8.27,$7.83,$7.88,"$79,553,903","$1,264,985,531"
13/03/2021,$7.80,$8.34,$7.60,$8.21,"$132,782,713","$1,310,179,457"
12/03/2021,$8.29,$8.33,$7.73,$7.80,"$163,340,736","$1,240,977,229"
11/03/2021,$8.55,$8.60,$8.24,$8.29,"$151,685,097","$1,316,223,258"
10/03/2021,$9.07,$9.16,$8.39,$8.55,"$166,992,197","$1,351,807,025"
09/03/2021,$9.17,$9.33,$8.93,$9.06,"$211,526,310","$1,437,767,799"
08/03/2021,$8.45,$9.21,$8.09,$9.16,"$319,228,060","$1,395,454,188"
07/03/2021,$8.50,$8.85,$8.01,$8.45,"$346,467,247","$1,283,540,289"
06/03/2021,$7.28,$8.55,$7.22,$8.49,"$463,024,486","$1,286,833,812"
05/03/2021,$6.81,$7.31,$6.28,$7.28,"$247,131,089","$1,083,681,686"
04/03/2021,$6.53,$7.16,$6.49,$6.82,"$290,589,711","$1,000,950,923"
03/03/2021,$5.53,$6.84,$5.48,$6.54,"$205,902,118","$951,997,986"
02/03/2021,$5.44,$5.75,$5.35,$5.52,"$87,615,204","$798,731,119"
01/03/2021,$4.81,$5.44,$4.79,$5.44,"$93,620,253","$780,311,573"
28/02/2021,$5.00,$5.04,$4.44,$4.80,"$79,373,066","$674,903,622"
27/02/2021,$4.93,$5.18,$4.91,$5.00,"$54,275,418","$699,515,291"
26/02/2021,$4.97,$5.22,$4.67,$4.93,"$93,161,570","$689,305,677"
25/02/2021,$5.64,$5.77,$4.96,$4.96,"$105,036,690","$690,006,121"
24/02/2021,$5.40,$6.01,$5.22,$5.65,"$170,974,543","$791,227,799"
23/02/2021,$6.35,$6.38,$4.81,$5.40,"$302,000,723","$748,327,364"
22/02/2021,$6.56,$6.58,$4.92,$6.36,"$311,384,755","$875,079,997"
21/02/2021,$5.51,$6.77,$5.46,$6.57,"$312,998,226","$893,765,225"
20/02/2021,$5.45,$5.74,$5.14,$5.52,"$187,203,856","$723,991,876"
19/02/2021,$5.96,$6.15,$5.30,$5.45,"$298,974,854","$691,769,214"
18/02/2021,$4.45,$6.25,$4.42,$5.95,"$683,687,086","$756,034,381"
17/02/2021,$3.64,$4.48,$3.54,$4.46,"$242,931,178","$566,041,618"
16/02/2021,$3.40,$3.66,$3.34,$3.65,"$125,133,181","$463,082,802"
15/02/2021,$3.54,$3.55,$2.97,$3.40,"$115,073,475","$431,564,317"
14/02/2021,$3.64,$3.74,$3.47,$3.54,"$126,154,543","$449,400,113"
13/02/2021,$3.48,$3.68,$3.33,$3.64,"$184,271,545","$460,947,138"
12/02/2021,$3.18,$3.57,$3.13,$3.48,"$164,739,325","$440,475,390"
