Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.00,$1.00,$0.9982,$1.00,"$5,696,259,791","$4,931,578,728"
09/04/2021,$1.00,$1.00,$1.00,$1.00,"$4,245,963,330","$4,919,595,150"
08/04/2021,$1.00,$1.00,$1.00,$1.00,"$4,555,178,182","$4,632,347,069"
07/04/2021,$1.00,$1.00,$1.00,$1.00,"$6,256,873,431","$4,212,530,768"
06/04/2021,$1.00,$1.00,$0.9993,$1.00,"$4,797,513,156","$4,023,683,135"
05/04/2021,$1.00,$1.00,$0.9998,$1.00,"$4,181,331,044","$4,040,529,484"
04/04/2021,$1.00,$1.01,$1.00,$1.00,"$2,849,133,540","$4,037,259,243"
03/04/2021,$1.00,$1.00,$0.9981,$1.00,"$3,420,729,529","$3,978,797,087"
02/04/2021,$1.00,$1.00,$0.9992,$1.00,"$3,774,515,539","$3,830,822,962"
01/04/2021,$0.9997,$1.00,$0.9995,$1.00,"$3,588,559,550","$3,542,315,720"
31/03/2021,$1.00,$1.00,$0.9991,$0.9996,"$3,945,694,093","$3,514,020,535"
30/03/2021,$1,$1.00,$0.9993,$1.00,"$3,361,845,411","$3,589,171,838"
29/03/2021,$1.00,$1.00,$0.9992,$1,"$3,135,519,781","$3,479,639,368"
28/03/2021,$1.00,$1.00,$1.00,$1.00,"$2,559,940,764","$3,487,067,962"
27/03/2021,$1.00,$1.00,$0.9998,$1.00,"$2,945,334,867","$3,461,667,993"
26/03/2021,$1.00,$1.00,$0.9993,$1.00,"$3,351,756,564","$3,352,706,701"
25/03/2021,$1.00,$1.00,$1.00,$1.00,"$4,386,998,346","$3,289,697,389"
24/03/2021,$1.00,$1.00,$0.9998,$1.00,"$4,039,309,604","$3,358,020,796"
23/03/2021,$1.00,$1.00,$1.00,$1.00,"$3,341,348,302","$3,387,790,083"
22/03/2021,$1.00,$1.00,$0.9988,$1.00,"$3,500,459,259","$3,359,710,708"
21/03/2021,$1.00,$1.00,$0.9992,$1.00,"$2,724,515,184","$3,229,391,702"
20/03/2021,$1.00,$1.00,$1.00,$1.00,"$2,713,906,951","$3,244,994,261"
19/03/2021,$1.00,$1.00,$1.00,$1.00,"$3,058,562,495","$3,175,932,519"
18/03/2021,$0.9988,$1.00,$0.9986,$1.00,"$3,979,545,904","$3,181,799,125"
17/03/2021,$1.00,$1.00,$0.9986,$0.9988,"$3,969,179,179","$3,066,205,101"
16/03/2021,$0.9999,$1.00,$0.9987,$1.00,"$4,732,074,983","$3,039,843,660"
15/03/2021,$0.9998,$1.00,$0.9993,$1.00,"$5,219,843,404","$3,111,248,958"
14/03/2021,$1.00,$1.00,$0.9996,$0.9998,"$3,265,374,453","$3,165,869,942"
13/03/2021,$1.00,$1.00,$0.9984,$1.00,"$4,482,729,178","$3,175,994,426"
12/03/2021,$0.9999,$1.00,$0.9997,$1.00,"$4,447,846,389","$3,191,932,314"
11/03/2021,$0.9999,$1.00,$0.9997,$0.9999,"$4,505,703,092","$3,179,900,404"
10/03/2021,$1.00,$1.00,$0.9997,$0.9999,"$4,791,103,405","$3,269,092,407"
09/03/2021,$1.00,$1.00,$0.9998,$1.00,"$4,572,061,979","$3,157,226,777"
08/03/2021,$0.9999,$1.00,$0.9997,$1.00,"$3,378,462,233","$2,988,316,115"
07/03/2021,$1.00,$1.00,$0.9998,$0.9999,"$2,949,208,178","$3,132,965,100"
06/03/2021,$0.9999,$1.00,$0.9997,$1.00,"$2,371,262,559","$3,229,558,472"
