Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.009124,$0.009126,$0.008102,$0.008568,"$1,803,592,854","$5,654,623,883"
09/04/2021,$0.009643,$0.009854,$0.008794,$0.009135,"$1,648,846,303","$6,028,462,506"
08/04/2021,$0.007939,$0.009694,$0.007867,$0.009624,"$2,967,146,533","$6,351,663,811"
07/04/2021,$0.009797,$0.0103,$0.007491,$0.007871,"$3,191,663,470","$5,194,703,113"
06/04/2021,$0.01023,$0.01118,$0.0083,$0.009777,"$6,890,998,001","$6,452,651,251"
05/04/2021,$0.01068,$0.01426,$0.009769,$0.01023,"$9,882,025,832","$6,749,674,961"
04/04/2021,$0.007246,$0.01093,$0.007091,$0.01068,"$8,127,559,503","$10,570,070,645"
03/04/2021,$0.007202,$0.007888,$0.006568,$0.007262,"$5,380,269,107","$7,188,892,134"
02/04/2021,$0.005486,$0.007253,$0.005375,$0.007166,"$3,894,232,604","$7,093,934,360"
01/04/2021,$0.005197,$0.005824,$0.004975,$0.005479,"$2,550,201,890","$5,424,103,243"
31/03/2021,$0.004658,$0.005537,$0.004529,$0.005175,"$4,242,014,889","$5,123,061,057"
30/03/2021,$0.003779,$0.004777,$0.003744,$0.004665,"$2,989,630,630","$4,617,768,875"
29/03/2021,$0.003669,$0.003952,$0.003575,$0.003779,"$1,173,357,754","$3,741,236,081"
28/03/2021,$0.003858,$0.003858,$0.003586,$0.003669,"$971,312,591","$3,632,226,167"
27/03/2021,$0.003594,$0.004159,$0.003434,$0.003861,"$2,652,511,022","$3,822,075,741"
26/03/2021,$0.003274,$0.003659,$0.003264,$0.003592,"$1,253,849,849","$3,555,726,464"
25/03/2021,$0.003283,$0.003418,$0.003095,$0.003269,"$986,467,079","$3,236,666,163"
24/03/2021,$0.003139,$0.003752,$0.003097,$0.003307,"$1,771,894,127","$3,274,188,366"
23/03/2021,$0.003341,$0.003446,$0.002992,$0.003149,"$1,070,327,532","$3,117,135,625"
22/03/2021,$0.003674,$0.003704,$0.003152,$0.003337,"$1,503,210,287","$3,303,225,566"
21/03/2021,$0.002916,$0.003902,$0.002869,$0.003629,"$2,806,421,653","$3,592,902,754"
20/03/2021,$0.002385,$0.003975,$0.002385,$0.002878,"$4,565,858,187","$2,848,806,873"
19/03/2021,$0.00165,$0.002553,$0.001642,$0.002381,"$2,080,458,944","$2,356,942,301"
18/03/2021,$0.001665,$0.001687,$0.001536,$0.001653,"$407,653,368","$1,636,646,061"
17/03/2021,$0.001622,$0.001735,$0.00156,$0.001669,"$491,890,158","$1,651,798,519"
16/03/2021,$0.001636,$0.00165,$0.001546,$0.001618,"$470,098,171","$1,601,717,891"
15/03/2021,$0.001701,$0.0018,$0.001565,$0.00164,"$578,962,676","$1,623,368,837"
14/03/2021,$0.001696,$0.001885,$0.001582,$0.001705,"$936,470,095","$1,687,863,693"
13/03/2021,$0.001317,$0.00197,$0.001304,$0.001701,"$1,364,606,543","$1,683,550,795"
12/03/2021,$0.001394,$0.001396,$0.001286,$0.001316,"$325,820,402","$1,302,335,251"
11/03/2021,$0.001432,$0.001442,$0.001361,$0.001393,"$223,404,751","$1,379,383,368"
10/03/2021,$0.001339,$0.001545,$0.001294,$0.001435,"$503,779,986","$1,420,329,639"
09/03/2021,$0.001284,$0.001372,$0.001261,$0.001339,"$390,432,689","$1,325,132,820"
08/03/2021,$0.001252,$0.001369,$0.001223,$0.001282,"$313,667,839","$1,269,170,598"
07/03/2021,$0.001236,$0.001266,$0.001225,$0.001253,"$275,738,203","$1,240,239,869"
06/03/2021,$0.001235,$0.001272,$0.0012,$0.001236,"$163,440,554","$1,223,925,527"
05/03/2021,$0.001204,$0.001251,$0.001148,$0.001236,"$369,143,371","$1,223,407,823"
04/03/2021,$0.001236,$0.001269,$0.001166,$0.001204,"$230,581,985","$1,192,142,956"
03/03/2021,$0.001214,$0.00127,$0.001196,$0.001237,"$357,512,578","$1,224,935,981"
02/03/2021,$0.00125,$0.001273,$0.00117,$0.001213,"$167,603,414","$1,200,562,235"
01/03/2021,$0.001148,$0.001261,$0.001139,$0.001251,"$337,152,864","$1,238,490,744"
28/02/2021,$0.001266,$0.001274,$0.00106,$0.001146,"$310,418,596","$1,134,470,315"
27/02/2021,$0.001276,$0.001338,$0.001249,$0.001265,"$316,663,827","$1,252,609,498"
26/02/2021,$0.001327,$0.001365,$0.001231,$0.001273,"$284,038,497","$1,260,329,071"
25/02/2021,$0.00144,$0.001481,$0.001321,$0.001321,"$346,987,752","$1,307,836,379"
24/02/2021,$0.00137,$0.001541,$0.001315,$0.001441,"$541,052,388","$1,426,774,618"
23/02/2021,$0.0017,$0.001716,$0.001081,$0.001368,"$712,397,290","$1,354,356,280"
22/02/2021,$0.001755,$0.001978,$0.001426,$0.001701,"$1,021,726,264","$1,684,164,236"
21/02/2021,$0.001511,$0.001855,$0.001449,$0.001754,"$1,100,381,492","$1,736,620,009"
20/02/2021,$0.001439,$0.001814,$0.001402,$0.001514,"$957,323,250","$1,498,588,259"
19/02/2021,$0.001264,$0.001555,$0.001241,$0.001439,"$550,798,720","$1,424,228,565"
18/02/2021,$0.001211,$0.001285,$0.001195,$0.001261,"$247,746,583","$1,248,583,295"
17/02/2021,$0.001185,$0.001356,$0.001122,$0.001208,"$442,815,795","$1,196,334,728"
16/02/2021,$0.001111,$0.001257,$0.001091,$0.001187,"$703,906,240","$1,174,820,083"
15/02/2021,$0.00114,$0.001219,$0.0009599,$0.001114,"$377,131,161","$1,102,675,078"
14/02/2021,$0.001238,$0.001244,$0.001086,$0.001143,"$281,322,536","$1,131,245,370"
13/02/2021,$0.001256,$0.001293,$0.00115,$0.001236,"$299,253,686","$1,224,017,009"
12/02/2021,$0.001192,$0.001408,$0.001192,$0.001255,"$391,098,377","$1,242,537,892"
