Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,"$58,513.84","$61,655.29","$58,302.57","$59,844.78","$62,312,894","$2,916,786,355"
09/04/2021,"$58,226.85","$59,290.73","$57,452.91","$58,377.43","$64,618,989","$2,844,984,244"
08/04/2021,"$56,084.60","$58,294.47","$55,804.61","$58,228.66","$73,262,047","$2,662,983,504"
07/04/2021,"$57,686.74","$58,675.93","$55,316.27","$56,193.83","$90,759,665","$2,569,532,677"
06/04/2021,"$58,969.93","$59,450.16","$56,870.45","$57,706.62","$91,570,222","$2,292,138,618"
05/04/2021,"$58,637.64","$59,769.75","$56,924.32","$58,906.86","$58,952,070","$2,351,396,817"
04/04/2021,"$57,375.61","$58,840.83","$56,860.19","$58,636.78","$40,540,417","$2,340,663,639"
03/04/2021,"$59,446.73","$59,995.68","$56,946.48","$57,358.74","$45,316,014","$1,945,453,973"
02/04/2021,"$58,715.63","$60,133.10","$58,308.52","$59,448.55","$61,059,915","$1,897,407,414"
01/04/2021,"$58,030.82","$60,229.30","$57,905.29","$58,644.77","$49,715,656","$1,754,452,011"
31/03/2021,"$59,504.26","$62,931.35","$55,512.04","$58,015.67","$48,877,273","$1,735,609,925"
30/03/2021,"$56,688.67","$60,701.13","$54,911.18","$59,482.17","$53,899,889","$1,660,358,964"
29/03/2021,"$56,090.21","$58,961.87","$54,082.43","$56,687.87","$25,492,256","$1,582,254,176"
28/03/2021,"$55,698.55","$56,860.22","$53,608.96","$56,068.30","$32,533,872","$1,564,944,782"
27/03/2021,"$55,456.39","$56,948.46","$52,510.46","$55,736.04","$32,006,475","$1,555,656,646"
26/03/2021,"$50,032.37","$55,438.60","$50,011.09","$55,438.60","$27,126,703","$1,546,999,578"
25/03/2021,"$52,683.50","$53,427.10","$49,954.31","$50,068.56","$48,209,130","$1,397,337,235"
24/03/2021,"$54,525.00","$57,446.20","$52,055.50","$52,636.12","$27,026,248","$1,468,992,052"
23/03/2021,"$54,326.42","$55,925.13","$53,303.15","$54,499.74","$29,025,425","$1,357,430,747"
22/03/2021,"$57,756.55","$58,390.46","$54,226.95","$54,292.83","$26,196,308","$1,352,275,343"
21/03/2021,"$58,863.88","$59,414.32","$56,135.01","$57,728.37","$18,657,788","$1,437,827,835"
20/03/2021,"$58,469.07","$60,423.02","$58,350.26","$58,846.06","$20,685,977","$1,465,666,295"
19/03/2021,"$57,987.81","$59,552.74","$56,897.95","$58,477.92","$22,310,968","$1,456,490,190"
18/03/2021,"$61,493.34","$62,170.79","$57,697.87","$58,035.60","$26,249,008","$1,445,261,880"
17/03/2021,"$56,259.79","$61,438.48","$54,696.28","$61,438.48","$31,665,964","$1,531,533,042"
16/03/2021,"$56,100.60","$56,279.03","$53,087.09","$56,196.81","$25,473,120","$1,400,828,355"
15/03/2021,"$59,551.06","$60,821.18","$51,867.68","$56,068.40","$50,093,998","$1,397,622,961"
14/03/2021,"$60,956.83","$61,352.90","$59,014.39","$59,544.07","$21,198,833","$1,506,670,768"
13/03/2021,"$57,184.66","$61,571.40","$55,925.38","$60,960.15","$26,659,195","$1,542,484,313"
12/03/2021,"$57,753.45","$58,116.58","$55,411.71","$57,169.12","$37,060,168","$1,446,580,773"
11/03/2021,"$55,782.33","$58,439.44","$54,053.62","$57,788.23","$40,206,878","$1,462,228,422"
10/03/2021,"$54,395.64","$56,853.65","$53,063.44","$55,786.43","$36,434,303","$1,411,496,485"
09/03/2021,"$51,788.48","$54,677.15","$48,532.68","$54,395.92","$43,318,853","$1,376,259,041"
08/03/2021,"$50,685.53","$51,808.76","$49,250.43","$51,808.76","$17,489,241","$1,310,698,821"
07/03/2021,"$49,084.38","$51,031.10","$48,934.78","$50,688.97","$23,241,047","$1,282,328,090"
06/03/2021,"$48,735.07","$49,297.70","$47,284.51","$49,112.72","$17,503,618","$1,242,431,416"
05/03/2021,"$48,386.58","$49,219.05","$46,313.98","$48,717.78","$22,995,280","$1,232,421,097"
04/03/2021,"$50,373.65","$51,526.75","$47,546.25","$48,377.87","$30,985,973","$1,223,754,578"
03/03/2021,"$48,445.14","$52,200.67","$48,129.28","$50,261.26","$27,675,862","$1,020,089,402"
02/03/2021,"$49,419.88","$49,827.20","$47,108.15","$48,435.50","$29,033,350","$789,291,742"
01/03/2021,"$45,135.31","$49,434.35","$44,870.57","$49,408.44","$44,257,018","$755,602,934"
28/02/2021,"$45,866.12","$46,346.69","$43,163.08","$45,134.07","$35,261,723","$690,290,554"
27/02/2021,"$46,249.95","$48,202.36","$45,137.83","$45,876.28","$26,818,190","$701,533,507"
26/02/2021,"$46,784.48","$48,242.33","$41,546.06","$46,214.85","$37,518,204","$660,495,690"
25/02/2021,"$49,703.53","$51,852.34","$46,866.51","$46,866.51","$35,919,583","$669,683,000"
24/02/2021,"$48,548.59","$51,498.70","$47,231.54","$49,692.61","$59,436,401","$710,035,086"
23/02/2021,"$54,039.90","$54,097.60","$44,974.86","$48,478.83","$78,135,954","$692,394,947"
22/02/2021,"$57,445.54","$58,012.62","$46,141.04","$54,037.02","$65,632,589","$771,761,563"
21/02/2021,"$56,007.15","$58,352.39","$54,549.65","$57,455.97","$73,418,836","$820,482,060"
20/02/2021,"$55,506.50","$57,900.62","$52,474.98","$55,995.06","$103,684,894","$799,595,936"
19/02/2021,"$51,480.07","$56,770.90","$49,605.37","$55,483.17","$148,830,512","$768,280,320"
18/02/2021,"$52,230.35","$52,590.87","$50,296.24","$51,450.30","$48,744,629","$635,180,645"
17/02/2021,"$48,868.84","$52,720.56","$48,092.40","$52,198.01","$42,074,042","$565,921,814"
16/02/2021,"$48,065.48","$50,188.05","$47,361.73","$48,964.71","$17,754,829","$481,881,298"
15/02/2021,"$48,515.54","$48,821.54","$45,815.50","$48,062.60","$26,641,562","$472,928,368"
14/02/2021,"$47,078.80","$49,526.55","$47,020.71","$48,530.12","$25,615,002","$428,989,510"
13/02/2021,"$47,374.04","$48,184.72","$46,285.89","$47,064.07","$15,921,232","$418,333,943"
12/02/2021,"$47,799.19","$48,729.13","$46,439.96","$47,371.28","$22,828,543","$421,081,894"
