Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$110.64,$129.28,$105.77,$121.23,"$315,059,661","$2,123,149,388"
09/04/2021,$113.17,$119.05,$101.77,$110.32,"$245,548,885","$1,932,166,298"
08/04/2021,$80.40,$114.73,$73.19,$113.19,"$236,743,024","$1,982,324,597"
07/04/2021,$87.51,$112.39,$73.13,$81.27,"$356,030,121","$1,423,425,179"
06/04/2021,$54.77,$92.88,$53.72,$87.92,"$1,207,628,823","$1,539,863,338"
05/04/2021,$44.69,$58.08,$44.25,$54.52,"$131,789,442","$954,818,722"
04/04/2021,$42.28,$45.16,$41.30,$44.62,"$61,858,076","$781,518,280"
03/04/2021,$42.47,$48.08,$39.24,$42.17,"$142,243,557","$738,519,167"
02/04/2021,$41.82,$43.67,$39.90,$42.43,"$117,358,362","$743,200,276"
01/04/2021,$41.67,$42.99,$39.54,$41.82,"$79,861,217","$732,459,862"
31/03/2021,$38.23,$42.65,$37.36,$41.67,"$107,189,811","$729,794,551"
30/03/2021,$36.52,$38.35,$35.81,$38.17,"$57,832,027","$668,426,232"
29/03/2021,$34.37,$36.52,$33.71,$36.49,"$81,694,065","$639,062,876"
28/03/2021,$35.03,$35.45,$34.09,$34.39,"$35,580,889","$602,303,717"
27/03/2021,$34.40,$36.85,$34.08,$34.90,"$79,625,624","$611,190,143"
26/03/2021,$32.70,$34.40,$32.43,$34.40,"$88,554,995","$602,487,777"
25/03/2021,$33.80,$35.27,$31.61,$32.66,"$131,911,776","$572,045,651"
24/03/2021,$35.62,$37.34,$33.57,$33.81,"$146,156,428","$592,104,651"
23/03/2021,$31.82,$43.11,$31.46,$35.63,"$434,905,250","$624,001,654"
22/03/2021,$30.36,$39.02,$29.90,$31.89,"$241,556,093","$558,431,938"
21/03/2021,$31.08,$31.72,$29.68,$30.36,"$108,723,282","$531,755,010"
20/03/2021,$31.18,$34.26,$30.89,$31.04,"$78,841,131","$543,651,176"
19/03/2021,$31.14,$32.29,$30.44,$31.18,"$40,489,493","$546,101,538"
18/03/2021,$32.02,$32.64,$30.44,$31.14,"$38,931,845","$545,373,253"
17/03/2021,$30.82,$32.43,$29.63,$31.99,"$40,626,452","$560,299,855"
16/03/2021,$30.42,$31.19,$28.69,$30.75,"$57,509,297","$538,597,809"
15/03/2021,$33.11,$33.35,$29.90,$30.42,"$78,474,268","$532,752,386"
14/03/2021,$35.89,$36.08,$33.12,$33.12,"$84,427,170","$580,031,294"
13/03/2021,$32.43,$36.49,$30.89,$35.91,"$92,395,929","$628,923,345"
12/03/2021,$33.85,$33.88,$32.19,$32.45,"$55,461,613","$568,385,554"
11/03/2021,$34.07,$34.61,$32.55,$33.83,"$65,439,366","$592,528,273"
10/03/2021,$31.02,$35.06,$29.36,$34.08,"$82,261,296","$596,807,308"
09/03/2021,$29.43,$31.17,$29.06,$30.99,"$57,978,031","$542,824,831"
08/03/2021,$29.08,$29.59,$28.31,$29.42,"$40,050,885","$515,238,018"
07/03/2021,$27.96,$29.53,$27.96,$29.09,"$46,198,113","$509,461,442"
06/03/2021,$27.81,$28.62,$27.14,$27.95,"$36,059,227","$489,585,238"
05/03/2021,$27.64,$28.38,$26.46,$27.81,"$37,373,457","$487,106,407"
04/03/2021,$28.25,$29.40,$27.34,$27.64,"$55,872,180","$484,140,034"
03/03/2021,$26.82,$29.92,$26.54,$28.25,"$74,061,295","$494,792,517"
02/03/2021,$26.63,$27.66,$26.00,$26.82,"$54,903,679","$469,788,407"
01/03/2021,$24.17,$26.84,$24.13,$26.81,"$54,391,768","$469,619,275"
28/02/2021,$26.48,$26.49,$22.62,$24.16,"$58,979,211","$423,150,724"
27/02/2021,$26.35,$27.49,$26.06,$26.46,"$63,946,235","$463,475,868"
26/02/2021,$26.65,$28.35,$24.50,$26.36,"$113,221,552","$461,650,525"
25/02/2021,$28.00,$29.16,$26.65,$26.65,"$133,250,007","$466,690,465"
24/02/2021,$26.92,$30.39,$26.14,$28.00,"$182,343,098","$490,362,894"
23/02/2021,$34.00,$34.00,$21.77,$26.91,"$213,182,379","$471,222,833"
22/02/2021,$32.70,$36.90,$29.40,$34.01,"$300,376,400","$595,574,496"
21/02/2021,$26.36,$37.28,$25.98,$32.71,"$263,377,769","$572,858,835"
20/02/2021,$28.02,$28.28,$26.01,$26.43,"$70,355,549","$462,863,603"
19/02/2021,$26.63,$28.58,$25.57,$28.01,"$80,947,563","$490,647,026"
18/02/2021,$27.13,$27.84,$26.00,$26.61,"$78,293,321","$466,105,990"
17/02/2021,$27.33,$28.21,$26.01,$27.13,"$110,455,404","$475,230,538"
16/02/2021,$28.54,$29.29,$26.90,$27.38,"$142,531,087","$479,556,421"
15/02/2021,$26.19,$30.73,$25.11,$28.49,"$378,390,993","$499,017,205"
14/02/2021,$17.49,$26.29,$17.41,$26.29,"$305,645,345","$460,471,887"
13/02/2021,$15.51,$17.93,$14.95,$17.47,"$59,402,271","$305,961,324"
12/02/2021,$15.08,$15.75,$14.70,$15.51,"$31,963,415","$271,563,027"
