Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.20,$1.25,$1.20,$1.22,"$2,481,275,569","$38,937,266,407"
09/04/2021,$1.22,$1.23,$1.19,$1.20,"$1,678,933,674","$38,451,053,585"
08/04/2021,$1.18,$1.22,$1.17,$1.22,"$2,315,835,365","$38,958,913,858"
07/04/2021,$1.26,$1.29,$1.17,$1.18,"$4,771,395,490","$37,544,017,970"
06/04/2021,$1.21,$1.34,$1.20,$1.26,"$6,301,229,657","$40,106,447,233"
05/04/2021,$1.19,$1.23,$1.18,$1.21,"$2,992,739,340","$38,794,825,908"
04/04/2021,$1.17,$1.20,$1.17,$1.19,"$2,166,855,014","$38,063,850,601"
03/04/2021,$1.20,$1.24,$1.17,$1.17,"$3,355,350,115","$37,484,228,834"
02/04/2021,$1.19,$1.25,$1.19,$1.20,"$2,909,026,267","$38,226,452,476"
01/04/2021,$1.19,$1.21,$1.18,$1.19,"$2,309,789,364","$37,994,346,512"
31/03/2021,$1.21,$1.21,$1.17,$1.19,"$3,190,463,749","$38,122,781,325"
30/03/2021,$1.20,$1.23,$1.19,$1.21,"$2,517,422,843","$38,763,410,938"
29/03/2021,$1.19,$1.23,$1.18,$1.20,"$2,554,597,106","$38,419,153,521"
28/03/2021,$1.18,$1.22,$1.17,$1.19,"$2,397,009,016","$38,054,391,213"
27/03/2021,$1.21,$1.24,$1.16,$1.18,"$3,106,871,131","$37,589,641,439"
26/03/2021,$1.10,$1.28,$1.10,$1.21,"$6,325,795,912","$38,784,256,431"
25/03/2021,$1.07,$1.15,$1.06,$1.10,"$5,732,698,268","$35,193,427,842"
24/03/2021,$1.12,$1.16,$1.06,$1.08,"$3,759,287,517","$34,344,508,821"
23/03/2021,$1.11,$1.17,$1.09,$1.12,"$4,609,407,773","$35,831,695,679"
22/03/2021,$1.19,$1.21,$1.09,$1.11,"$4,058,067,310","$35,458,596,654"
21/03/2021,$1.21,$1.24,$1.16,$1.19,"$4,064,084,727","$37,991,018,691"
20/03/2021,$1.30,$1.31,$1.21,$1.21,"$4,316,999,916","$38,546,959,900"
19/03/2021,$1.24,$1.34,$1.20,$1.30,"$7,970,282,918","$41,602,128,113"
18/03/2021,$1.38,$1.47,$1.24,$1.24,"$11,392,835,545","$39,584,149,301"
17/03/2021,$1.24,$1.42,$1.21,$1.38,"$10,046,495,758","$44,046,287,352"
16/03/2021,$1.03,$1.26,$1.00,$1.24,"$9,502,962,157","$39,710,232,338"
15/03/2021,$1.06,$1.07,$1.01,$1.03,"$4,545,451,677","$33,019,817,868"
14/03/2021,$1.10,$1.10,$1.06,$1.06,"$3,738,147,940","$33,838,166,627"
13/03/2021,$1.04,$1.18,$0.9931,$1.10,"$5,871,086,058","$35,249,017,882"
12/03/2021,$1.12,$1.13,$1.03,$1.04,"$4,224,893,051","$33,198,891,101"
11/03/2021,$1.13,$1.14,$1.11,$1.12,"$3,633,460,869","$35,935,123,941"
10/03/2021,$1.20,$1.20,$1.12,$1.14,"$4,215,428,913","$36,261,417,319"
09/03/2021,$1.12,$1.21,$1.11,$1.20,"$5,317,733,185","$38,183,375,234"
08/03/2021,$1.13,$1.18,$1.11,$1.12,"$3,557,114,310","$35,719,914,246"
07/03/2021,$1.13,$1.14,$1.11,$1.13,"$4,204,795,554","$36,209,148,044"
06/03/2021,$1.17,$1.18,$1.09,$1.13,"$5,348,048,001","$36,133,913,814"
05/03/2021,$1.11,$1.20,$1.04,$1.17,"$7,325,099,027","$37,332,335,359"
04/03/2021,$1.22,$1.23,$1.07,$1.11,"$7,164,490,225","$35,618,147,966"
03/03/2021,$1.23,$1.26,$1.21,$1.22,"$4,937,160,429","$38,868,096,418"
02/03/2021,$1.29,$1.30,$1.19,$1.23,"$8,118,255,106","$39,155,277,835"
01/03/2021,$1.31,$1.34,$1.24,$1.29,"$9,775,330,113","$41,289,607,566"
28/02/2021,$1.32,$1.36,$1.17,$1.31,"$15,732,556,180","$40,696,967,235"
27/02/2021,$1.24,$1.48,$1.23,$1.32,"$19,141,980,288","$41,219,695,427"
26/02/2021,$1.08,$1.29,$0.9951,$1.24,"$14,884,142,109","$38,613,872,246"
25/02/2021,$1.05,$1.17,$1.02,$1.08,"$8,248,286,269","$33,573,986,145"
24/02/2021,$0.955,$1.07,$0.9026,$1.05,"$8,481,334,623","$32,719,650,909"
23/02/2021,$1.10,$1.13,$0.8241,$0.9547,"$11,201,900,117","$29,703,373,313"
22/02/2021,$1.10,$1.13,$0.8515,$1.10,"$10,562,051,439","$34,197,312,215"
21/02/2021,$1.12,$1.15,$1.08,$1.10,"$7,042,361,464","$34,239,897,895"
20/02/2021,$0.9275,$1.19,$0.9169,$1.12,"$11,454,890,463","$34,938,012,154"
19/02/2021,$0.9143,$0.9438,$0.8853,$0.9276,"$4,582,877,243","$28,861,468,234"
18/02/2021,$0.8909,$0.9569,$0.8909,$0.9141,"$4,918,032,802","$28,440,499,325"
17/02/2021,$0.8709,$0.896,$0.8265,$0.8909,"$5,841,828,077","$27,718,724,943"
16/02/2021,$0.8607,$0.9042,$0.8409,$0.871,"$6,948,621,246","$27,097,447,122"
15/02/2021,$0.8478,$0.9082,$0.7171,$0.861,"$8,979,888,270","$26,788,220,383"
14/02/2021,$0.9063,$0.9146,$0.8152,$0.8484,"$7,159,401,195","$26,396,411,405"
13/02/2021,$0.9254,$0.9499,$0.833,$0.9057,"$7,532,474,270","$28,179,179,477"
12/02/2021,$0.9271,$0.9451,$0.8711,$0.9256,"$8,035,829,513","$28,797,323,576"
