Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$4.37,$4.49,$4.30,$4.36,"$15,058,025","$893,747,551"
09/04/2021,$4.45,$4.57,$4.37,$4.38,"$11,623,599","$896,299,412"
08/04/2021,$4.25,$4.56,$4.22,$4.45,"$13,149,561","$911,571,517"
07/04/2021,$4.57,$4.70,$4.22,$4.25,"$17,514,269","$870,123,139"
06/04/2021,$4.66,$4.70,$4.47,$4.57,"$18,720,167","$936,361,369"
05/04/2021,$4.44,$4.73,$4.26,$4.64,"$19,994,263","$950,317,050"
04/04/2021,$4.31,$4.53,$4.28,$4.44,"$14,743,079","$909,325,491"
03/04/2021,$4.46,$4.67,$4.31,$4.31,"$16,704,376","$883,102,247"
02/04/2021,$4.58,$4.63,$4.43,$4.46,"$17,286,016","$914,124,590"
01/04/2021,$4.64,$4.77,$4.53,$4.58,"$21,945,526","$937,332,662"
31/03/2021,$4.33,$4.99,$4.23,$4.64,"$53,473,971","$855,052,847"
30/03/2021,$4.44,$5.00,$4.13,$4.33,"$76,570,097","$799,426,464"
29/03/2021,$3.57,$4.50,$3.56,$4.48,"$46,426,459","$825,682,272"
28/03/2021,$3.56,$3.73,$3.51,$3.57,"$16,831,560","$658,155,966"
27/03/2021,$3.62,$3.63,$3.49,$3.56,"$13,445,419","$656,689,089"
26/03/2021,$3.33,$3.73,$3.32,$3.63,"$18,349,995","$668,703,856"
25/03/2021,$3.56,$3.68,$3.26,$3.27,"$25,394,987","$603,542,174"
24/03/2021,$3.83,$3.99,$3.53,$3.57,"$20,854,151","$657,571,961"
23/03/2021,$3.96,$4.03,$3.76,$3.83,"$22,385,454","$705,914,797"
22/03/2021,$3.90,$4.25,$3.74,$3.96,"$35,280,715","$730,380,051"
21/03/2021,$3.98,$4.05,$3.85,$3.90,"$15,176,830","$718,643,232"
20/03/2021,$4.07,$4.17,$3.96,$3.99,"$17,780,988","$735,385,134"
19/03/2021,$4.11,$4.24,$4.02,$4.07,"$19,730,994","$750,926,103"
18/03/2021,$3.96,$4.55,$3.96,$4.06,"$47,275,640","$749,716,639"
17/03/2021,$3.77,$4.04,$3.68,$3.96,"$24,317,889","$730,293,780"
16/03/2021,$3.69,$3.82,$3.60,$3.76,"$15,099,663","$694,003,248"
15/03/2021,$3.86,$3.92,$3.65,$3.69,"$14,700,041","$680,898,578"
14/03/2021,$3.97,$4.04,$3.84,$3.86,"$12,490,207","$712,317,692"
13/03/2021,$3.79,$4.13,$3.70,$3.97,"$21,576,842","$733,055,847"
12/03/2021,$4.00,$4.04,$3.74,$3.79,"$20,213,254","$699,208,079"
11/03/2021,$4.16,$4.34,$3.95,$4.00,"$25,089,400","$737,918,628"
10/03/2021,$3.98,$4.49,$3.85,$4.17,"$39,601,496","$769,033,022"
09/03/2021,$3.87,$4.01,$3.83,$3.98,"$18,536,451","$734,815,916"
08/03/2021,$3.88,$3.95,$3.80,$3.87,"$14,869,424","$714,117,072"
07/03/2021,$3.81,$3.95,$3.81,$3.88,"$12,134,852","$715,371,665"
06/03/2021,$3.77,$3.92,$3.77,$3.81,"$8,358,659","$703,010,534"
05/03/2021,$3.87,$3.99,$3.61,$3.78,"$20,082,664","$696,429,646"
04/03/2021,$4.09,$4.28,$3.83,$3.87,"$16,993,316","$712,989,879"
03/03/2021,$3.87,$4.20,$3.87,$4.10,"$17,373,780","$755,658,713"
02/03/2021,$3.99,$4.13,$3.81,$3.86,"$14,615,602","$712,600,905"
01/03/2021,$3.82,$4.03,$3.74,$3.98,"$16,618,044","$734,818,090"
28/02/2021,$3.93,$3.98,$3.57,$3.82,"$9,964,668","$703,939,173"
27/02/2021,$3.86,$4.13,$3.86,$3.93,"$10,608,655","$724,013,503"
26/02/2021,$4.06,$4.21,$3.72,$3.86,"$16,464,777","$712,756,666"
25/02/2021,$4.50,$4.56,$4.06,$4.06,"$14,671,430","$749,529,320"
24/02/2021,$4.02,$4.72,$3.84,$4.50,"$26,052,921","$829,665,764"
23/02/2021,$4.57,$4.57,$3.40,$4.04,"$37,163,223","$744,277,860"
22/02/2021,$5.13,$5.13,$3.99,$4.57,"$37,697,624","$843,437,076"
21/02/2021,$5.08,$5.32,$4.98,$5.12,"$26,555,572","$943,807,063"
20/02/2021,$5.29,$5.45,$5.04,$5.11,"$41,191,301","$943,287,941"
19/02/2021,$5.22,$5.74,$4.99,$5.31,"$98,552,145","$979,748,699"
18/02/2021,$4.79,$5.76,$4.54,$5.22,"$138,609,172","$963,114,533"
17/02/2021,$4.58,$5.21,$4.21,$4.80,"$125,052,856","$884,929,590"
16/02/2021,$4.08,$4.63,$3.88,$4.54,"$32,000,624","$837,318,418"
15/02/2021,$4.36,$4.40,$3.76,$4.07,"$28,959,101","$751,507,667"
14/02/2021,$4.61,$4.73,$4.15,$4.36,"$33,302,133","$803,936,030"
13/02/2021,$4.84,$5.44,$4.53,$4.61,"$56,054,771","$849,647,849"
12/02/2021,$4.78,$4.99,$4.62,$4.84,"$48,567,720","$892,875,953"
