Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$7.54,$7.56,$6.89,$7.24,"$11,990,558","$1,728,547,572"
09/04/2021,$7.73,$7.95,$7.48,$7.54,"$15,094,380","$1,801,584,132"
08/04/2021,$7.48,$7.78,$7.02,$7.73,"$15,673,318","$1,846,544,945"
07/04/2021,$6.70,$7.63,$6.70,$7.49,"$21,768,891","$1,789,258,113"
06/04/2021,$6.19,$6.72,$6.19,$6.70,"$12,111,799","$1,600,512,322"
05/04/2021,$6.00,$6.20,$5.86,$6.19,"$11,578,749","$1,478,188,101"
04/04/2021,$5.47,$6.03,$5.37,$6.00,"$15,263,052","$1,432,699,071"
03/04/2021,$5.00,$5.50,$5.00,$5.47,"$13,740,490","$1,306,976,614"
02/04/2021,$4.76,$5.02,$4.71,$5.00,"$7,203,864","$1,194,564,509"
01/04/2021,$4.82,$4.91,$4.73,$4.75,"$6,086,712","$1,135,410,915"
31/03/2021,$4.80,$4.86,$4.59,$4.82,"$8,302,399","$1,151,738,941"
30/03/2021,$4.83,$4.94,$4.78,$4.80,"$4,615,062","$1,146,749,091"
29/03/2021,$4.77,$5.04,$4.69,$4.83,"$8,283,257","$1,153,636,836"
28/03/2021,$4.90,$4.90,$4.74,$4.77,"$4,653,402","$1,140,464,135"
27/03/2021,$4.88,$4.98,$4.74,$4.90,"$7,933,886","$1,169,638,716"
26/03/2021,$4.84,$4.99,$4.80,$4.88,"$6,557,313","$1,165,131,557"
25/03/2021,$4.76,$4.89,$4.45,$4.84,"$10,836,709","$1,155,937,650"
24/03/2021,$4.95,$5.07,$4.67,$4.76,"$6,408,060","$1,137,949,586"
23/03/2021,$4.87,$5.03,$4.84,$4.95,"$5,297,558","$1,182,583,186"
22/03/2021,$4.97,$5.09,$4.77,$4.87,"$11,358,626","$1,163,338,324"
21/03/2021,$5.01,$5.05,$4.92,$4.97,"$3,846,037","$1,186,705,310"
20/03/2021,$5.27,$5.35,$5.00,$5.01,"$4,818,442","$1,197,862,836"
19/03/2021,$5.06,$5.27,$4.86,$5.27,"$7,077,151","$1,258,980,099"
18/03/2021,$5.05,$5.23,$5.00,$5.06,"$4,994,420","$1,208,019,585"
17/03/2021,$4.91,$5.17,$4.76,$5.05,"$6,305,331","$1,205,211,093"
16/03/2021,$4.80,$4.95,$4.57,$4.92,"$6,645,347","$1,174,053,170"
15/03/2021,$5.01,$5.13,$4.67,$4.80,"$8,691,821","$1,147,240,148"
14/03/2021,$5.27,$5.27,$4.96,$5.01,"$7,831,833","$1,197,545,425"
13/03/2021,$5.63,$5.76,$5.14,$5.27,"$10,895,408","$1,258,682,053"
12/03/2021,$5.50,$5.74,$5.23,$5.55,"$8,369,742","$1,324,905,288"
11/03/2021,$5.39,$5.52,$5.13,$5.50,"$6,783,111","$1,314,714,180"
10/03/2021,$5.58,$5.59,$5.19,$5.39,"$6,410,397","$1,287,475,066"
09/03/2021,$5.64,$5.72,$5.29,$5.58,"$9,524,553","$1,332,985,637"
08/03/2021,$5.03,$5.63,$4.93,$5.63,"$13,085,990","$1,345,992,989"
07/03/2021,$4.62,$5.06,$4.52,$5.03,"$5,659,095","$1,202,196,610"
06/03/2021,$4.58,$4.71,$4.49,$4.62,"$6,434,801","$1,103,150,318"
05/03/2021,$4.53,$4.65,$4.43,$4.58,"$6,321,898","$1,094,725,775"
04/03/2021,$4.67,$4.76,$4.46,$4.53,"$5,213,386","$1,081,826,856"
03/03/2021,$4.51,$4.89,$4.50,$4.67,"$6,556,807","$1,116,366,172"
02/03/2021,$4.85,$4.91,$4.50,$4.51,"$5,514,754","$1,078,113,359"
01/03/2021,$4.67,$4.99,$4.61,$4.85,"$5,520,682","$1,158,589,809"
28/02/2021,$4.62,$5.02,$4.24,$4.67,"$11,283,694","$1,116,249,867"
27/02/2021,$4.79,$4.89,$4.53,$4.63,"$7,554,263","$1,104,903,390"
26/02/2021,$4.86,$5.01,$4.71,$4.79,"$8,786,979","$1,143,151,357"
25/02/2021,$5.13,$5.23,$4.84,$4.88,"$5,765,755","$1,164,468,857"
24/02/2021,$5.12,$5.42,$4.91,$5.13,"$9,750,227","$1,224,803,080"
23/02/2021,$5.43,$5.55,$4.80,$5.12,"$17,056,742","$1,222,157,797"
22/02/2021,$5.47,$5.57,$4.78,$5.43,"$14,478,717","$1,297,584,512"
21/02/2021,$5.58,$5.60,$5.43,$5.48,"$6,510,757","$1,307,803,206"
20/02/2021,$5.76,$5.79,$5.51,$5.58,"$13,646,544","$1,332,519,801"
19/02/2021,$5.70,$5.80,$5.38,$5.76,"$11,366,824","$1,376,717,847"
18/02/2021,$5.75,$5.78,$5.59,$5.70,"$10,366,185","$1,360,957,329"
17/02/2021,$5.38,$5.81,$5.38,$5.75,"$13,626,836","$1,373,387,853"
16/02/2021,$5.51,$5.54,$5.34,$5.38,"$8,260,800","$1,285,157,553"
15/02/2021,$5.71,$5.75,$5.36,$5.51,"$7,719,239","$1,315,864,906"
14/02/2021,$5.73,$5.88,$5.65,$5.71,"$8,465,706","$1,363,417,513"
13/02/2021,$5.68,$5.96,$5.58,$5.73,"$13,135,566","$1,369,038,843"
12/02/2021,$5.76,$6.00,$5.55,$5.68,"$12,847,025","$1,357,231,097"
