Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$31.63,$33.03,$31.05,$31.90,"$1,054,977,271","$13,366,095,322"
09/04/2021,$32.74,$33.28,$31.30,$31.63,"$1,021,522,189","$13,254,306,166"
08/04/2021,$31.20,$32.87,$31.05,$32.74,"$1,227,213,106","$13,671,307,759"
07/04/2021,$34.79,$35.11,$30.29,$31.18,"$2,513,971,688","$13,015,937,163"
06/04/2021,$32.42,$34.95,$31.40,$34.80,"$2,839,348,208","$14,528,447,409"
05/04/2021,$30.96,$32.63,$30.01,$32.40,"$1,463,086,928","$13,525,913,060"
04/04/2021,$29.53,$31.59,$29.26,$30.96,"$1,148,273,070","$12,924,960,736"
03/04/2021,$32.53,$33.22,$29.49,$29.53,"$1,713,670,580","$12,331,098,306"
02/04/2021,$30.22,$32.68,$29.73,$32.53,"$1,564,647,602","$13,582,942,856"
01/04/2021,$29.38,$31.19,$29.38,$30.23,"$1,814,724,171","$12,577,308,561"
31/03/2021,$27.90,$29.35,$26.69,$29.35,"$1,419,202,876","$12,210,353,279"
30/03/2021,$28.05,$28.57,$27.68,$27.90,"$923,736,996","$11,608,350,834"
29/03/2021,$26.70,$28.52,$26.48,$28.05,"$1,122,700,330","$11,670,136,615"
28/03/2021,$26.88,$27.68,$26.23,$26.70,"$804,341,769","$11,106,204,679"
27/03/2021,$27.40,$27.51,$26.08,$26.88,"$783,605,885","$11,182,147,187"
26/03/2021,$25.69,$27.46,$25.46,$27.40,"$1,139,989,327","$11,399,313,566"
25/03/2021,$25.03,$26.63,$24.62,$25.70,"$1,351,900,684","$10,651,356,491"
24/03/2021,$26.91,$27.90,$24.26,$25.05,"$1,401,912,784","$10,385,074,954"
23/03/2021,$27.39,$27.99,$26.76,$26.92,"$1,124,961,035","$11,156,548,762"
22/03/2021,$29.28,$29.43,$27.39,$27.40,"$1,083,074,169","$11,356,779,995"
21/03/2021,$29.68,$30.14,$28.73,$29.27,"$969,809,465","$12,133,871,198"
20/03/2021,$29.90,$31.48,$29.68,$29.68,"$1,199,973,273","$12,301,368,999"
19/03/2021,$29.49,$30.52,$28.88,$29.91,"$1,116,478,173","$12,397,929,009"
18/03/2021,$31.00,$31.29,$29.18,$29.50,"$1,427,732,613","$12,185,769,799"
17/03/2021,$27.92,$31.21,$27.43,$31.01,"$2,339,727,784","$12,807,326,879"
16/03/2021,$27.49,$28.14,$26.50,$27.92,"$1,213,205,843","$11,530,160,979"
15/03/2021,$28.77,$29.38,$26.90,$27.49,"$1,557,817,115","$11,354,360,322"
14/03/2021,$29.77,$30.14,$28.60,$28.79,"$1,062,176,149","$11,890,307,546"
13/03/2021,$28.46,$30.53,$27.11,$29.78,"$1,739,486,182","$12,299,105,113"
12/03/2021,$30.08,$30.36,$27.86,$28.46,"$1,435,032,009","$11,754,880,984"
11/03/2021,$29.91,$30.37,$28.73,$30.08,"$1,537,882,621","$12,376,221,904"
10/03/2021,$31.49,$31.74,$29.52,$29.95,"$1,606,531,493","$12,323,359,760"
09/03/2021,$31.70,$31.93,$30.45,$31.50,"$1,630,964,651","$12,962,243,217"
08/03/2021,$28.56,$31.70,$28.38,$31.70,"$2,212,810,142","$13,044,096,205"
07/03/2021,$28.17,$29.02,$27.47,$28.55,"$1,305,530,074","$11,747,862,016"
06/03/2021,$27.86,$28.33,$26.41,$28.17,"$1,130,900,770","$11,590,209,103"
05/03/2021,$27.71,$28.16,$25.73,$27.88,"$1,739,847,948","$11,470,998,897"
04/03/2021,$29.96,$30.53,$27.36,$27.72,"$1,935,423,706","$11,364,947,726"
03/03/2021,$28.51,$31.38,$28.25,$29.99,"$1,999,664,567","$12,296,198,296"
02/03/2021,$27.61,$30.45,$27.21,$28.51,"$2,745,094,103","$11,689,857,556"
01/03/2021,$24.67,$27.65,$24.67,$27.61,"$2,279,573,087","$11,319,158,711"
28/02/2021,$26.23,$26.75,$23.08,$24.66,"$2,019,851,813","$10,112,284,118"
27/02/2021,$25.20,$27.39,$24.91,$26.24,"$1,874,410,773","$10,756,640,655"
26/02/2021,$24.73,$26.95,$23.76,$25.19,"$170,549,323,809","$10,327,039,145"
25/02/2021,$28.07,$28.56,$24.60,$24.67,"$2,016,768,740","$10,077,132,966"
24/02/2021,$25.83,$29.18,$24.65,$28.09,"$3,087,989,666","$11,473,692,977"
23/02/2021,$31.52,$31.55,$21.20,$25.80,"$5,101,235,733","$10,539,686,857"
22/02/2021,$34.15,$34.16,$25.66,$31.53,"$3,577,738,647","$12,880,635,726"
21/02/2021,$34.07,$35.23,$33.43,$34.15,"$1,768,919,688","$13,951,721,505"
20/02/2021,$34.71,$36.83,$32.64,$34.11,"$3,095,945,276","$13,934,186,074"
19/02/2021,$32.46,$35.41,$31.58,$34.72,"$2,518,517,791","$14,129,422,326"
18/02/2021,$32.25,$33.53,$31.90,$32.44,"$1,726,602,703","$13,203,997,908"
17/02/2021,$31.98,$32.59,$30.05,$32.26,"$3,072,709,794","$13,128,824,904"
16/02/2021,$32.53,$33.23,$30.97,$31.97,"$3,794,728,331","$13,013,512,347"
15/02/2021,$33.27,$34.82,$28.31,$32.58,"$4,824,452,129","$13,258,702,391"
14/02/2021,$34.12,$35.58,$32.46,$33.29,"$4,767,351,611","$13,549,479,222"
13/02/2021,$30.65,$34.54,$29.29,$34.10,"$5,124,433,887","$13,879,830,959"
12/02/2021,$27.86,$31.38,$26.83,$30.64,"$4,140,041,014","$12,471,073,511"
