Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.27,$1.33,$1.22,$1.24,"$17,757,975","$1,013,769,938"
09/04/2021,$1.27,$1.36,$1.25,$1.27,"$22,882,325","$1,039,437,144"
08/04/2021,$1.13,$1.31,$1.12,$1.27,"$39,346,241","$1,045,011,913"
07/04/2021,$1.14,$1.18,$1.08,$1.13,"$22,170,683","$926,882,191"
06/04/2021,$1.22,$1.24,$1.09,$1.14,"$20,359,915","$935,145,782"
05/04/2021,$1.14,$1.27,$1.11,$1.22,"$42,237,505","$893,047,300"
04/04/2021,$1.03,$1.17,$1.03,$1.14,"$24,719,679","$835,183,147"
03/04/2021,$1.13,$1.13,$1.03,$1.03,"$20,544,416","$755,398,926"
02/04/2021,$1.02,$1.18,$1.00,$1.12,"$37,502,898","$820,720,851"
01/04/2021,$1.12,$1.19,$1.01,$1.02,"$45,906,727","$746,448,270"
31/03/2021,$1.28,$1.30,$1.11,$1.12,"$59,180,695","$816,931,685"
30/03/2021,$1.38,$1.38,$1.22,$1.28,"$55,095,931","$933,695,559"
29/03/2021,$1.33,$1.68,$1.11,$1.38,"$177,576,740","$960,508,879"
28/03/2021,$1.52,$1.53,$1.30,$1.33,"$16,660,674","$921,839,064"
27/03/2021,$1.55,$1.70,$1.44,$1.52,"$28,134,811","$1,054,694,831"
26/03/2021,$1.34,$1.55,$1.32,$1.55,"$16,828,062","$1,075,142,064"
25/03/2021,$1.40,$1.43,$1.20,$1.34,"$24,347,836","$933,513,176"
24/03/2021,$1.08,$1.63,$1.01,$1.40,"$42,742,143","$969,143,290"
23/03/2021,$0.8729,$1.08,$0.8444,$1.08,"$18,368,363","$749,384,209"
22/03/2021,$0.7578,$0.9487,$0.7371,$0.8728,"$13,503,180","$604,871,183"
21/03/2021,$0.7687,$0.7767,$0.7296,$0.7578,"$3,971,218","$524,926,771"
20/03/2021,$0.7665,$0.7786,$0.7436,$0.769,"$3,399,156","$532,403,814"
19/03/2021,$0.73,$0.7862,$0.7123,$0.7666,"$4,831,221","$530,456,949"
18/03/2021,$0.7871,$0.791,$0.7281,$0.73,"$5,664,351","$504,887,162"
17/03/2021,$0.5802,$0.787,$0.5759,$0.787,"$15,467,410","$543,974,645"
16/03/2021,$0.5964,$0.6007,$0.565,$0.5802,"$2,616,041","$400,835,051"
15/03/2021,$0.611,$0.6152,$0.5932,$0.5965,"$3,412,981","$411,907,293"
14/03/2021,$0.6128,$0.6191,$0.5883,$0.6113,"$3,193,935","$421,884,786"
13/03/2021,$0.6011,$0.6202,$0.5849,$0.6131,"$3,825,206","$422,937,285"
12/03/2021,$0.6215,$0.6281,$0.5856,$0.6011,"$4,123,848","$414,471,147"
11/03/2021,$0.6002,$0.6386,$0.5841,$0.6211,"$2,613,087","$428,017,101"
10/03/2021,$0.6358,$0.6486,$0.595,$0.6002,"$3,581,566",$0
09/03/2021,$0.6448,$0.6718,$0.6315,$0.6363,"$4,096,662",$0
08/03/2021,$0.75,$0.7512,$0.6275,$0.6449,"$4,636,089",$0
07/03/2021,$0.6029,$0.7654,$0.5974,$0.7501,"$7,002,133",$0
06/03/2021,$0.6392,$0.6429,$0.5582,$0.6024,"$4,338,281",$0
05/03/2021,$0.6964,$0.6982,$0.6161,$0.6385,"$4,447,609",$0
04/03/2021,$0.7898,$0.7954,$0.6789,$0.6971,"$6,139,094",$0
03/03/2021,$0.7463,$0.8183,$0.7104,$0.7921,"$14,188,010",$0
02/03/2021,$0.7448,$0.7963,$0.6398,$0.7465,"$4,767,755",$0
01/03/2021,$0.5196,$0.7587,$0.5123,$0.7448,"$5,570,126",$0
28/02/2021,$0.4997,$0.5263,$0.482,$0.5194,"$2,327,016",$0
27/02/2021,$0.4701,$0.5003,$0.4436,$0.4997,"$1,512,130",$0
26/02/2021,$0.4586,$0.476,$0.4224,$0.4701,"$1,411,217",$0
25/02/2021,$0.4503,$0.4937,$0.4354,$0.4587,"$1,509,416",$0
24/02/2021,$0.3934,$0.4659,$0.3898,$0.4508,"$1,403,752",$0
23/02/2021,$0.4795,$0.4928,$0.3538,$0.3934,"$1,434,964",$0
22/02/2021,$0.5548,$0.5548,$0.4468,$0.4797,"$2,831,502",$0
21/02/2021,$0.4305,$0.5783,$0.4247,$0.5548,"$5,162,378",$0
20/02/2021,$0.3382,$0.4448,$0.3317,$0.4305,"$4,630,081",$0
19/02/2021,$0.317,$0.3529,$0.314,$0.3381,"$1,762,440",$0
18/02/2021,$0.3227,$0.3419,$0.304,$0.315,"$166,334",$0
17/02/2021,$0.3306,$0.3344,$0.3076,$0.3227,"$1,647,584",$0
16/02/2021,$0.3017,$0.3355,$0.2877,$0.3307,"$1,973,181",$0
15/02/2021,$0.3136,$0.3195,$0.2962,$0.3015,"$1,360,371",$0
14/02/2021,$0.3313,$0.3313,$0.3031,$0.3135,"$2,396,712",$0
13/02/2021,$0.364,$0.3704,$0.3027,$0.3313,"$2,747,018",$0
12/02/2021,$0.3656,$0.3796,$0.3521,$0.364,"$2,147,370",$0
