Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$21.42,$22.66,$20.55,$21.06,"$633,036,095","$4,463,909,578"
09/04/2021,$20.52,$21.54,$20.52,$21.40,"$427,397,698","$4,536,779,420"
08/04/2021,$19.59,$20.60,$19.52,$20.52,"$493,696,314","$4,350,092,589"
07/04/2021,$21.71,$22.15,$18.90,$19.58,"$972,381,407","$4,151,667,468"
06/04/2021,$21.49,$23.23,$21.13,$21.77,"$1,006,022,060","$4,616,047,118"
05/04/2021,$21.74,$22.32,$20.44,$21.46,"$731,003,937","$4,550,161,867"
04/04/2021,$20.25,$22.02,$19.97,$21.74,"$675,075,627","$4,608,467,479"
03/04/2021,$20.41,$22.71,$20.22,$20.27,"$1,129,111,741","$4,296,960,610"
02/04/2021,$19.63,$20.51,$19.28,$20.41,"$488,967,387","$4,327,554,477"
01/04/2021,$19.11,$19.86,$19.02,$19.64,"$547,109,425","$4,164,640,157"
31/03/2021,$19.98,$20.09,$18.61,$19.11,"$606,283,461","$4,051,405,805"
30/03/2021,$20.27,$20.59,$19.55,$19.98,"$482,122,431","$4,235,354,051"
29/03/2021,$19.31,$20.87,$19.10,$20.28,"$627,890,577","$4,298,754,520"
28/03/2021,$18.71,$19.88,$18.47,$19.31,"$525,999,156","$4,093,461,742"
27/03/2021,$18.96,$19.21,$18.07,$18.71,"$450,888,518","$3,965,651,096"
26/03/2021,$17.21,$18.97,$17.14,$18.97,"$546,688,600","$4,021,003,798"
25/03/2021,$17.58,$18.00,$16.76,$17.21,"$708,851,375","$3,648,694,735"
24/03/2021,$18.78,$19.80,$16.80,$17.59,"$633,801,536","$3,729,307,971"
23/03/2021,$19.32,$19.87,$18.77,$18.78,"$506,789,292","$3,982,025,818"
22/03/2021,$20.51,$21.13,$19.21,$19.33,"$575,697,288","$4,098,827,113"
21/03/2021,$20.94,$21.31,$20.02,$20.51,"$500,747,504","$4,347,603,828"
20/03/2021,$22.29,$22.79,$20.91,$20.91,"$452,014,941","$4,432,075,478"
19/03/2021,$22.21,$23.19,$21.59,$22.29,"$729,707,578","$4,725,973,260"
18/03/2021,$20.90,$24.52,$20.59,$22.24,"$1,266,471,148","$4,714,008,012"
17/03/2021,$21.02,$21.63,$19.69,$20.91,"$754,267,205","$4,430,663,088"
16/03/2021,$19.99,$21.90,$18.84,$21.03,"$885,241,940","$4,455,867,901"
15/03/2021,$18.54,$21.03,$18.03,$20.04,"$889,262,383","$4,244,760,826"
14/03/2021,$19.37,$19.49,$18.49,$18.55,"$346,186,683","$3,930,100,459"
13/03/2021,$18.59,$19.80,$17.90,$19.38,"$507,506,351","$4,104,753,273"
12/03/2021,$19.30,$19.44,$17.97,$18.59,"$597,307,351","$3,935,858,503"
11/03/2021,$19.62,$19.73,$18.72,$19.29,"$515,970,926","$4,082,943,054"
10/03/2021,$21.13,$21.24,$19.19,$19.64,"$686,624,202","$4,155,863,433"
09/03/2021,$19.36,$21.13,$19.06,$21.13,"$720,374,763","$4,471,293,063"
08/03/2021,$19.49,$19.82,$18.62,$19.36,"$526,566,397","$4,093,836,050"
07/03/2021,$18.94,$19.49,$18.70,$19.49,"$419,414,761","$4,122,089,074"
06/03/2021,$18.67,$19.05,$18.31,$18.93,"$300,453,276","$4,002,709,749"
05/03/2021,$18.88,$19.21,$18.02,$18.69,"$476,063,491","$3,950,695,395"
04/03/2021,$21.43,$21.66,$18.30,$18.92,"$787,374,729","$3,996,834,454"
03/03/2021,$18.83,$21.89,$18.71,$21.44,"$757,982,550","$4,528,659,615"
02/03/2021,$18.61,$20.37,$18.10,$18.82,"$718,143,875","$3,975,178,915"
01/03/2021,$17.63,$18.65,$17.61,$18.61,"$472,927,334","$3,929,510,158"
28/02/2021,$19.17,$19.21,$16.68,$17.62,"$587,524,523","$3,720,036,585"
27/02/2021,$18.82,$20.53,$18.29,$19.17,"$765,692,912","$4,045,796,647"
26/02/2021,$17.80,$18.88,$16.20,$18.82,"$1,002,590,770","$3,969,888,435"
25/02/2021,$19.50,$20.46,$17.67,$17.76,"$808,907,108","$3,746,935,964"
24/02/2021,$20.14,$21.25,$18.80,$19.50,"$1,094,985,831","$4,112,144,387"
23/02/2021,$21.25,$23.29,$15.37,$20.13,"$2,172,119,298","$4,243,806,394"
22/02/2021,$21.59,$21.63,$17.06,$21.31,"$1,407,827,926","$4,490,897,326"
21/02/2021,$21.74,$22.63,$20.92,$21.59,"$1,205,468,751","$4,546,097,430"
20/02/2021,$22.87,$24.33,$20.83,$21.76,"$1,273,167,407","$4,580,900,144"
19/02/2021,$23.14,$23.51,$21.75,$22.87,"$868,958,195","$4,815,170,391"
18/02/2021,$23.87,$24.89,$22.84,$23.14,"$1,179,216,179","$4,871,692,813"
17/02/2021,$25.17,$25.80,$22.60,$23.86,"$2,407,499,286","$5,024,328,081"
16/02/2021,$22.43,$26.42,$22.43,$25.19,"$3,365,947,568","$5,301,410,963"
15/02/2021,$19.22,$24.85,$15.33,$22.46,"$3,139,128,654","$4,726,440,284"
14/02/2021,$20.25,$20.67,$18.60,$19.24,"$1,465,793,876","$4,048,425,617"
13/02/2021,$21.15,$22.00,$19.37,$20.25,"$1,645,993,970","$4,259,154,792"
12/02/2021,$17.72,$22.02,$17.34,$21.20,"$2,510,219,997","$4,457,209,829"
