Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.2102,$0.228,$0.2097,$0.2152,"$180,420,350","$5,436,129,714"
09/04/2021,$0.2033,$0.2121,$0.2021,$0.2101,"$86,116,915","$5,308,255,225"
08/04/2021,$0.1882,$0.2037,$0.1864,$0.2033,"$95,568,850","$5,137,197,426"
07/04/2021,$0.2316,$0.235,$0.1813,$0.1887,"$259,737,581","$4,767,655,255"
06/04/2021,$0.2464,$0.2472,$0.2255,$0.231,"$261,462,465","$5,836,813,293"
05/04/2021,$0.2296,$0.2497,$0.2246,$0.2468,"$310,177,929","$6,236,131,115"
04/04/2021,$0.216,$0.2301,$0.2137,$0.2292,"$172,926,412","$5,789,300,540"
03/04/2021,$0.2308,$0.2412,$0.2156,$0.216,"$285,137,119","$5,456,384,168"
02/04/2021,$0.2213,$0.233,$0.2167,$0.2307,"$282,321,426","$5,828,351,944"
01/04/2021,$0.2161,$0.2254,$0.2158,$0.2213,"$269,016,031","$5,590,828,534"
31/03/2021,$0.2212,$0.2233,$0.2101,$0.216,"$215,433,188","$5,456,836,110"
30/03/2021,$0.2182,$0.2272,$0.2167,$0.2216,"$199,693,647","$5,597,739,101"
29/03/2021,$0.2037,$0.2249,$0.2024,$0.2187,"$332,208,465","$5,523,853,546"
28/03/2021,$0.2052,$0.2067,$0.2009,$0.2037,"$166,907,524","$5,145,374,300"
27/03/2021,$0.2136,$0.2136,$0.2027,$0.2052,"$195,092,687","$5,183,427,894"
26/03/2021,$0.2067,$0.216,$0.2051,$0.2131,"$205,759,334","$5,384,453,641"
25/03/2021,$0.2195,$0.2206,$0.2017,$0.2066,"$274,052,147","$5,219,432,723"
24/03/2021,$0.2145,$0.2423,$0.211,$0.2187,"$424,456,583","$5,525,731,059"
23/03/2021,$0.2164,$0.2253,$0.2,$0.2146,"$306,006,606","$5,421,310,855"
22/03/2021,$0.222,$0.2322,$0.215,$0.2169,"$329,374,898","$5,480,203,072"
21/03/2021,$0.2167,$0.2269,$0.2099,$0.2225,"$251,049,512","$5,620,703,362"
20/03/2021,$0.2442,$0.2562,$0.2125,$0.2172,"$389,032,434","$5,487,961,058"
19/03/2021,$0.221,$0.2517,$0.2127,$0.2432,"$432,384,253","$6,142,964,330"
18/03/2021,$0.1974,$0.2385,$0.1974,$0.2216,"$635,303,934","$5,599,319,252"
17/03/2021,$0.1938,$0.2006,$0.1829,$0.1974,"$273,750,332","$4,986,679,960"
16/03/2021,$0.1752,$0.194,$0.1675,$0.194,"$159,373,979","$4,900,146,839"
15/03/2021,$0.1859,$0.19,$0.1668,$0.1753,"$110,083,572","$4,428,477,804"
14/03/2021,$0.1982,$0.2012,$0.182,$0.186,"$166,166,656","$4,489,606,939"
13/03/2021,$0.19,$0.1988,$0.1787,$0.1983,"$247,842,093","$4,787,358,052"
12/03/2021,$0.1903,$0.2035,$0.1859,$0.1904,"$278,972,308","$4,597,690,509"
11/03/2021,$0.1724,$0.1989,$0.169,$0.1903,"$308,839,806","$4,593,896,056"
10/03/2021,$0.1712,$0.176,$0.1606,$0.1729,"$181,707,783","$4,174,049,878"
09/03/2021,$0.1599,$0.1712,$0.1573,$0.1712,"$229,565,316","$4,133,559,418"
08/03/2021,$0.1598,$0.1615,$0.1544,$0.1601,"$177,361,952","$3,866,563,450"
