Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.00,$1.00,$0.998,$1.00,"$304,029,632","$3,257,554,688"
09/04/2021,$1.01,$1.01,$1.00,$1.00,"$238,416,833","$3,197,339,504"
08/04/2021,$1.00,$1.01,$1.00,$1.01,"$274,811,495","$3,198,482,687"
07/04/2021,$1.00,$1.00,$1.00,$1.00,"$404,924,089","$3,181,264,516"
06/04/2021,$1.00,$1.00,$0.9997,$1.00,"$351,473,797","$3,193,830,104"
05/04/2021,$1.01,$1.01,$0.9996,$1.00,"$373,221,031","$3,172,254,273"
04/04/2021,$1.00,$1.01,$1.00,$1.01,"$316,257,511","$3,206,103,303"
03/04/2021,$1.01,$1.01,$1.00,$1.00,"$428,124,063","$3,183,210,637"
02/04/2021,$1.00,$1.01,$1.00,$1.00,"$385,816,021","$3,158,956,436"
01/04/2021,$1.00,$1.01,$0.9993,$1.00,"$337,707,837","$3,062,459,338"
31/03/2021,$1.00,$1.01,$1.00,$1.00,"$324,719,221","$3,027,114,382"
30/03/2021,$1.00,$1.00,$1.00,$1.00,"$243,945,747","$3,025,073,804"
29/03/2021,$1.00,$1.02,$0.9993,$1.00,"$295,091,258","$3,016,432,493"
28/03/2021,$1.00,$1.00,$1.00,$1.00,"$257,575,304","$2,989,478,008"
27/03/2021,$1.00,$1.01,$1.00,$1.00,"$251,211,601","$2,976,593,863"
26/03/2021,$1.00,$1.01,$1.00,$1.01,"$242,079,459","$2,971,508,899"
25/03/2021,$1.00,$1.01,$0.9985,$1.00,"$282,784,219","$2,942,376,138"
24/03/2021,$1.00,$1.01,$0.9989,$1.00,"$307,223,258","$2,923,784,400"
23/03/2021,$0.9996,$1.01,$0.9979,$1.00,"$289,970,073","$2,931,094,321"
22/03/2021,$1.00,$1.01,$0.9977,$0.9996,"$303,031,779","$2,910,253,619"
21/03/2021,$1.00,$1.01,$0.9989,$1.00,"$205,061,220","$2,888,155,180"
20/03/2021,$1.00,$1.01,$1.00,$1.00,"$182,019,409","$2,876,356,980"
19/03/2021,$1.00,$1.01,$1.00,$1.00,"$201,291,364","$2,874,123,859"
18/03/2021,$1.01,$1.01,$0.9798,$1.00,"$198,666,819","$2,868,035,135"
17/03/2021,$1.00,$1.01,$0.9998,$1.01,"$217,950,952","$2,861,134,335"
16/03/2021,$1.00,$1.00,$1.00,$1.00,"$281,361,723","$2,845,438,233"
15/03/2021,$1.00,$1.00,$1.00,$1.00,"$330,087,934","$2,773,838,478"
14/03/2021,$1.00,$1.00,$1.00,$1.00,"$243,692,916","$2,752,612,928"
13/03/2021,$1.00,$1.00,$1.00,$1.00,"$285,401,738","$2,741,108,680"
12/03/2021,$1.00,$1.00,$1.00,$1.00,"$276,319,938","$2,708,872,257"
11/03/2021,$1.00,$1.00,$1.00,$1.00,"$342,377,294","$2,637,226,772"
10/03/2021,$1.00,$1.00,$1.00,$1.00,"$295,303,873","$2,619,436,576"
09/03/2021,$1.00,$1.00,$1.00,$1.00,"$478,041,984","$2,616,987,843"
08/03/2021,$1.00,$1.00,$1.00,$1.00,"$334,066,348","$2,567,499,345"
07/03/2021,$1.00,$1.00,$1.00,$1.00,"$284,908,278","$2,555,921,014"
06/03/2021,$1.00,$1.00,$1.00,$1.00,"$246,324,482","$2,578,917,162"
05/03/2021,$1.00,$1.00,$1.00,$1.00,"$432,706,961","$2,551,657,209"
04/03/2021,$1.00,$1.00,$1.00,$1.00,"$344,253,034","$2,545,764,219"
03/03/2021,$1.00,$1.00,$1.00,$1.00,"$295,066,719","$2,531,459,607"
02/03/2021,$1.00,$1.00,$1.00,$1.00,"$412,208,887","$2,517,016,510"
01/03/2021,$1.00,$1.00,$0.9987,$1.00,"$398,569,958","$2,464,576,230"
28/02/2021,$1.00,$1.01,$1.00,$1.00,"$623,940,938","$2,339,382,380"
27/02/2021,$1.00,$1.00,$1.00,$1.00,"$301,668,906","$2,315,557,011"
26/02/2021,$1.00,$1.00,$0.9999,$1.00,"$527,246,365","$2,307,470,269"
25/02/2021,$1.00,$1.00,$1.00,$1.00,"$414,868,315","$2,326,680,913"
24/02/2021,$1.00,$1.00,$1.00,$1.00,"$633,193,752","$2,319,954,214"
23/02/2021,$1.00,$1.02,$1.00,$1.00,"$1,303,567,116","$2,288,351,369"
22/02/2021,$1.00,$1.01,$0.9998,$1.00,"$840,480,068","$2,363,613,990"
21/02/2021,$1.00,$1.00,$1.00,$1.00,"$294,869,050","$2,379,406,775"
20/02/2021,$1.00,$1.00,$1.00,$1.00,"$409,523,226","$2,360,117,727"
19/02/2021,$1.00,$1.00,$0.9989,$1.00,"$353,558,289","$2,076,146,820"
18/02/2021,$1.00,$1.00,$1.00,$1.00,"$310,793,845","$2,075,498,623"
17/02/2021,$1.00,$1.00,$1.00,$1.00,"$299,872,020","$2,075,895,912"
16/02/2021,$1.00,$1.00,$1.00,$1.00,"$262,073,092","$2,076,197,918"
15/02/2021,$1.00,$1.01,$0.9967,$1.00,"$345,289,782","$2,076,005,409"
14/02/2021,$1.00,$1.00,$1.00,$1.00,"$254,901,718","$2,077,382,846"
13/02/2021,$1.00,$1.00,$1.00,$1.00,"$251,928,654","$2,074,963,171"
12/02/2021,$1.00,$1.00,$1.00,$1.00,"$271,553,255","$2,051,392,677"
