Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.03,$1.04,$0.9718,$1.01,"$203,256,567","$1,599,704,801"
09/04/2021,$0.9895,$1.12,$0.9895,$1.03,"$368,581,943","$1,630,645,879"
08/04/2021,$0.9317,$1.01,$0.9148,$0.9898,"$230,827,953","$1,562,036,682"
07/04/2021,$0.9628,$0.9711,$0.8399,$0.9326,"$254,944,899","$1,471,686,876"
06/04/2021,$1.01,$1.01,$0.9224,$0.9644,"$241,846,048","$1,522,006,132"
05/04/2021,$1.02,$1.04,$0.9657,$1.01,"$298,860,522","$1,597,254,527"
04/04/2021,$0.958,$1.03,$0.9363,$1.02,"$206,622,602","$1,604,675,660"
03/04/2021,$1.05,$1.07,$0.954,$0.9574,"$305,875,437","$1,510,923,810"
02/04/2021,$1.02,$1.09,$1.01,$1.05,"$290,180,007","$1,658,069,568"
01/04/2021,$1.03,$1.08,$1.01,$1.02,"$327,874,863","$1,617,477,764"
31/03/2021,$1.09,$1.09,$0.9969,$1.03,"$359,155,453","$1,621,423,362"
30/03/2021,$1.10,$1.13,$1.06,$1.09,"$416,710,940","$1,727,942,277"
29/03/2021,$1.15,$1.18,$1.06,$1.09,"$663,823,609","$1,725,652,878"
28/03/2021,$0.9289,$1.19,$0.9137,$1.15,"$1,111,536,303","$1,821,819,322"
27/03/2021,$0.8988,$0.9876,$0.8631,$0.9287,"$367,611,781","$1,465,659,951"
26/03/2021,$0.8247,$0.9153,$0.8247,$0.8989,"$227,140,451","$1,418,640,983"
25/03/2021,$0.8576,$0.8852,$0.8093,$0.8246,"$262,039,051","$1,301,391,747"
24/03/2021,$0.8509,$0.9999,$0.8348,$0.8577,"$459,378,050","$1,353,664,251"
23/03/2021,$0.9229,$0.9272,$0.8233,$0.8513,"$271,730,785","$1,343,522,481"
22/03/2021,$0.9864,$0.9872,$0.8926,$0.9242,"$281,384,502","$1,458,609,838"
21/03/2021,$0.898,$1.03,$0.8891,$0.9862,"$401,572,847","$1,556,401,552"
20/03/2021,$0.9684,$1.02,$0.8947,$0.8947,"$352,831,670","$1,412,086,849"
19/03/2021,$0.9817,$1.03,$0.9498,$0.9682,"$350,589,378","$1,528,000,764"
18/03/2021,$1.06,$1.08,$0.9714,$0.9821,"$638,557,936","$1,549,972,725"
17/03/2021,$0.9082,$1.08,$0.7793,$1.06,"$1,376,197,953","$1,679,679,203"
16/03/2021,$1.06,$1.07,$0.846,$0.908,"$687,165,740","$1,433,060,335"
15/03/2021,$1.02,$1.14,$0.942,$1.06,"$1,131,133,345","$1,671,462,207"
14/03/2021,$0.9679,$1.19,$0.877,$1.02,"$2,484,601,138","$1,613,423,412"
13/03/2021,$0.6621,$1.17,$0.6199,$0.9692,"$2,866,387,305","$1,529,637,145"
12/03/2021,$0.5224,$0.6835,$0.5192,$0.6619,"$783,983,805","$1,044,629,935"
11/03/2021,$0.4804,$0.5606,$0.4749,$0.5218,"$446,042,201","$823,509,454"
10/03/2021,$0.5489,$0.5611,$0.4805,$0.4805,"$394,147,148","$756,609,634"
09/03/2021,$0.4856,$0.5904,$0.4856,$0.5485,"$795,651,050","$863,601,716"
08/03/2021,$0.4027,$0.4987,$0.4025,$0.4856,"$595,182,439","$764,638,565"
07/03/2021,$0.3607,$0.4197,$0.3516,$0.403,"$215,706,426","$634,573,892"
06/03/2021,$0.377,$0.3844,$0.3425,$0.3607,"$158,148,063","$567,945,158"
05/03/2021,$0.4213,$0.4218,$0.361,$0.3778,"$340,705,291","$594,830,986"
04/03/2021,$0.3485,$0.4476,$0.337,$0.4208,"$705,471,090","$662,618,405"
03/03/2021,$0.2787,$0.3473,$0.2743,$0.3473,"$265,363,515","$546,814,337"
02/03/2021,$0.26,$0.2882,$0.2544,$0.2782,"$91,607,745","$438,050,525"
01/03/2021,$0.2363,$0.2604,$0.2363,$0.2604,"$67,199,201","$410,006,935"
28/02/2021,$0.2535,$0.2562,$0.2216,$0.2362,"$81,635,945","$371,947,132"
27/02/2021,$0.2498,$0.2634,$0.2466,$0.2533,"$63,823,914","$398,880,017"
26/02/2021,$0.2582,$0.2686,$0.2246,$0.2494,"$99,580,319","$392,719,702"
25/02/2021,$0.2478,$0.2899,$0.237,$0.2575,"$100,994,277","$405,506,644"
24/02/2021,$0.2333,$0.2638,$0.2204,$0.248,"$86,599,338","$390,452,197"
23/02/2021,$0.272,$0.2725,$0.1874,$0.2334,"$169,807,748","$367,476,929"
22/02/2021,$0.3136,$0.3287,$0.241,$0.2719,"$176,746,023","$428,104,264"
21/02/2021,$0.3033,$0.3231,$0.2961,$0.3137,"$83,360,721","$493,881,813"
20/02/2021,$0.3289,$0.329,$0.2945,$0.3034,"$114,847,415","$477,672,185"
19/02/2021,$0.3135,$0.3612,$0.2947,$0.3292,"$155,841,732","$504,923,172"
18/02/2021,$0.2988,$0.3194,$0.2929,$0.3137,"$138,456,896","$481,212,990"
17/02/2021,$0.2905,$0.3103,$0.2708,$0.2989,"$137,174,509","$458,479,051"
16/02/2021,$0.2975,$0.3163,$0.2668,$0.2903,"$165,666,303","$445,318,275"
15/02/2021,$0.3119,$0.3235,$0.26,$0.2976,"$176,905,038","$456,462,871"
14/02/2021,$0.3444,$0.3576,$0.2973,$0.312,"$208,735,625","$478,541,727"
13/02/2021,$0.3023,$0.3671,$0.301,$0.3435,"$443,456,356","$526,880,443"
12/02/2021,$0.2803,$0.3127,$0.2756,$0.3021,"$204,128,009","$463,399,448"
