Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.0148,$0.01564,$0.01328,$0.01391,"$162,812,467","$1,308,170,962"
09/04/2021,$0.0166,$0.01667,$0.01456,$0.01483,"$138,902,282","$1,394,989,021"
08/04/2021,$0.01409,$0.01749,$0.01403,$0.01661,"$227,558,720","$1,556,347,752"
07/04/2021,$0.01708,$0.01719,$0.01311,$0.01409,"$318,546,435","$1,320,214,097"
06/04/2021,$0.01933,$0.01992,$0.01374,$0.01714,"$540,116,352","$1,605,570,974"
05/04/2021,$0.01746,$0.02241,$0.01736,$0.01938,"$599,134,986","$1,815,726,654"
04/04/2021,$0.016,$0.01884,$0.01567,$0.01744,"$431,496,495","$1,634,255,910"
03/04/2021,$0.01501,$0.01875,$0.01437,$0.01602,"$588,242,427","$1,500,866,019"
02/04/2021,$0.0138,$0.01556,$0.01352,$0.01506,"$323,896,777","$1,410,953,362"
01/04/2021,$0.01233,$0.01467,$0.01209,$0.01382,"$266,959,118","$1,287,830,116"
31/03/2021,$0.01313,$0.0142,$0.01195,$0.01235,"$220,396,131","$1,150,980,644"
30/03/2021,$0.0119,$0.01487,$0.0119,$0.01315,"$472,945,842","$1,225,679,956"
29/03/2021,$0.01008,$0.01247,$0.01006,$0.01189,"$263,788,692","$1,107,728,335"
28/03/2021,$0.01026,$0.01126,$0.009744,$0.01008,"$133,131,653","$939,834,116"
27/03/2021,$0.01056,$0.01127,$0.01016,$0.01027,"$112,677,890","$957,017,925"
26/03/2021,$0.009778,$0.01138,$0.009778,$0.01057,"$196,268,013","$984,716,629"
25/03/2021,$0.009535,$0.01139,$0.009431,$0.009772,"$253,646,830","$906,634,595"
24/03/2021,$0.01053,$0.01192,$0.009116,$0.009537,"$470,535,055","$884,151,687"
23/03/2021,$0.01087,$0.01497,$0.01011,$0.01051,"$743,187,712","$974,569,015"
22/03/2021,$0.007226,$0.01232,$0.006863,$0.01091,"$701,601,406","$1,007,785,169"
21/03/2021,$0.005781,$0.008012,$0.005612,$0.007215,"$223,364,747","$666,726,137"
20/03/2021,$0.004509,$0.007122,$0.00448,$0.005784,"$249,833,824","$534,454,610"
19/03/2021,$0.003344,$0.0049,$0.003291,$0.004502,"$99,287,968","$416,058,319"
18/03/2021,$0.00356,$0.003648,$0.003299,$0.003341,"$20,548,058","$307,708,697"
17/03/2021,$0.00315,$0.003557,$0.003104,$0.003557,"$26,221,508","$327,671,583"
16/03/2021,$0.003321,$0.003481,$0.003009,$0.003147,"$23,658,852","$289,868,266"
15/03/2021,$0.003452,$0.003747,$0.002931,$0.003319,"$50,474,989","$304,272,973"
14/03/2021,$0.003515,$0.003966,$0.003305,$0.003463,"$59,297,966","$317,543,339"
13/03/2021,$0.002874,$0.00378,$0.002612,$0.003523,"$140,333,458","$323,047,508"
12/03/2021,$0.002123,$0.002955,$0.002034,$0.002878,"$67,707,361","$263,891,498"
11/03/2021,$0.002052,$0.002213,$0.001965,$0.002127,"$17,043,647","$194,228,089"
10/03/2021,$0.001971,$0.002264,$0.001876,$0.002052,"$25,871,901","$187,402,410"
09/03/2021,$0.001772,$0.001993,$0.001751,$0.001973,"$19,431,925","$180,126,903"
08/03/2021,$0.001678,$0.001775,$0.001587,$0.001766,"$12,944,596","$161,234,230"
07/03/2021,$0.001679,$0.001729,$0.001632,$0.001681,"$6,406,641","$152,810,974"
06/03/2021,$0.001691,$0.001745,$0.001615,$0.00168,"$5,924,150","$152,764,206"
05/03/2021,$0.001752,$0.001788,$0.001583,$0.00169,"$12,305,619","$153,698,039"
04/03/2021,$0.001601,$0.00189,$0.001558,$0.001747,"$18,893,786","$158,819,889"
03/03/2021,$0.001563,$0.001698,$0.001544,$0.001601,"$9,076,248","$145,025,792"
02/03/2021,$0.001677,$0.001694,$0.001505,$0.001563,"$8,710,579","$141,629,823"
01/03/2021,$0.00149,$0.001763,$0.00149,$0.001677,"$12,682,611","$151,939,429"
28/02/2021,$0.001639,$0.00165,$0.001351,$0.001494,"$10,690,524","$135,360,792"
27/02/2021,$0.001727,$0.001829,$0.001604,$0.001636,"$10,008,383","$148,245,549"
26/02/2021,$0.001794,$0.001924,$0.001654,$0.001725,"$17,219,932","$156,307,193"
25/02/2021,$0.001997,$0.002142,$0.001777,$0.001797,"$21,296,090","$162,413,585"
24/02/2021,$0.001862,$0.00238,$0.001688,$0.00199,"$43,742,481","$179,093,250"
23/02/2021,$0.002049,$0.002049,$0.001385,$0.001864,"$38,972,574","$167,772,393"
22/02/2021,$0.002324,$0.002625,$0.001611,$0.002044,"$53,487,963","$184,001,342"
21/02/2021,$0.001612,$0.002734,$0.001485,$0.002327,"$92,262,385","$209,415,907"
20/02/2021,$0.001352,$0.001745,$0.001328,$0.001618,"$33,625,517","$145,611,400"
19/02/2021,$0.001314,$0.001484,$0.001258,$0.001345,"$14,215,193","$121,083,078"
18/02/2021,$0.00134,$0.001438,$0.0013,$0.001317,"$8,779,156","$118,553,499"
17/02/2021,$0.001379,$0.001444,$0.001238,$0.00134,"$12,207,656","$120,599,717"
16/02/2021,$0.001227,$0.001475,$0.001162,$0.001379,"$15,611,107","$124,157,872"
15/02/2021,$0.00142,$0.001421,$0.001023,$0.001226,"$17,642,465","$110,329,731"
14/02/2021,$0.001409,$0.001547,$0.001343,$0.001424,"$15,474,930","$128,190,234"
13/02/2021,$0.001582,$0.001659,$0.001354,$0.00141,"$17,732,296","$126,899,237"
12/02/2021,$0.00177,$0.00177,$0.001308,$0.001572,"$65,499,997","$141,509,665"
