Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$5.63,$6.36,$5.43,$6.30,"$7,616,094,057","$5,997,554,542"
01/04/2021,$4.81,$5.99,$4.74,$5.62,"$6,677,890,047","$5,353,781,818"
31/03/2021,$4.36,$4.90,$4.12,$4.81,"$3,728,812,070","$4,582,962,333"
30/03/2021,$4.29,$4.41,$4.23,$4.36,"$1,621,669,746","$4,149,796,526"
29/03/2021,$4.12,$4.31,$4.08,$4.29,"$1,568,669,153","$4,080,616,075"
28/03/2021,$4.10,$4.21,$4.07,$4.12,"$1,510,300,049","$3,926,080,377"
27/03/2021,$4.19,$4.21,$4.00,$4.10,"$1,511,517,011","$3,906,009,989"
26/03/2021,$3.70,$4.19,$3.69,$4.19,"$2,520,035,820","$3,986,207,197"
25/03/2021,$3.72,$3.79,$3.61,$3.70,"$2,217,667,316","$3,519,510,564"
24/03/2021,$4.12,$4.31,$3.59,$3.72,"$2,537,516,570","$3,542,386,366"
23/03/2021,$4.11,$4.29,$4.08,$4.12,"$2,210,949,899","$3,919,396,599"
22/03/2021,$4.17,$4.37,$4.03,$4.11,"$2,328,404,382","$3,907,673,368"
21/03/2021,$4.35,$4.43,$4.14,$4.17,"$1,967,888,878","$3,968,110,954"
20/03/2021,$4.16,$4.51,$4.15,$4.35,"$2,078,834,653","$4,137,327,732"
19/03/2021,$4.17,$4.27,$4.06,$4.16,"$1,673,424,212","$3,960,759,412"
18/03/2021,$4.08,$4.31,$4.02,$4.17,"$2,358,251,506","$3,965,776,301"
17/03/2021,$4.07,$4.09,$3.87,$4.08,"$1,939,272,992","$3,878,639,492"
16/03/2021,$3.82,$4.12,$3.69,$4.07,"$2,758,464,449","$3,868,207,467"
15/03/2021,$3.97,$4.03,$3.74,$3.82,"$2,524,305,510","$3,635,101,459"
14/03/2021,$4.29,$4.37,$3.97,$3.97,"$2,507,425,905","$3,780,333,185"
13/03/2021,$3.79,$4.38,$3.69,$4.29,"$2,846,279,280","$4,080,629,114"
12/03/2021,$3.96,$3.99,$3.71,$3.79,"$2,278,828,908","$3,606,376,209"
11/03/2021,$3.99,$4.04,$3.84,$3.96,"$2,419,730,820","$3,763,158,013"
10/03/2021,$4.17,$4.19,$3.92,$3.99,"$2,587,796,812","$3,799,496,441"
09/03/2021,$3.90,$4.18,$3.86,$4.17,"$2,437,693,149","$3,969,277,839"
08/03/2021,$3.84,$3.92,$3.76,$3.90,"$2,077,723,482","$3,704,932,227"
07/03/2021,$3.73,$3.85,$3.72,$3.84,"$3,032,282,252","$3,656,431,778"
06/03/2021,$3.70,$3.77,$3.61,$3.73,"$1,632,540,982","$3,545,761,834"
05/03/2021,$3.76,$3.76,$3.58,$3.70,"$2,077,171,137","$3,521,365,976"
04/03/2021,$3.84,$3.92,$3.65,$3.76,"$2,545,846,596","$3,573,302,632"
03/03/2021,$3.67,$4.04,$3.66,$3.84,"$2,688,646,708","$3,650,463,462"
02/03/2021,$3.70,$3.82,$3.58,$3.67,"$2,190,267,121","$3,488,123,273"
01/03/2021,$3.47,$3.74,$3.47,$3.70,"$1,878,204,092","$3,514,287,501"
28/02/2021,$3.67,$3.70,$3.28,$3.46,"$2,510,948,748","$3,294,294,093"
27/02/2021,$3.56,$3.84,$3.55,$3.67,"$2,273,094,739","$3,493,843,264"
26/02/2021,$3.66,$3.76,$3.43,$3.55,"$3,030,625,050","$3,380,172,407"
25/02/2021,$3.90,$4.09,$3.65,$3.66,"$2,959,237,301","$3,475,449,381"
24/02/2021,$3.84,$4.13,$3.70,$3.90,"$3,766,364,459","$3,709,344,676"
23/02/2021,$4.71,$4.71,$3.24,$3.84,"$6,395,663,188","$3,647,385,427"
22/02/2021,$5.11,$5.28,$4.23,$4.71,"$6,022,886,701","$4,475,141,368"
21/02/2021,$4.87,$5.32,$4.75,$5.11,"$3,905,821,195","$4,861,298,204"
20/02/2021,$5.24,$5.43,$4.56,$4.87,"$4,465,280,621","$4,630,320,971"
19/02/2021,$4.84,$5.34,$4.67,$5.24,"$4,376,486,907","$4,983,830,522"
18/02/2021,$4.84,$4.98,$4.68,$4.84,"$3,004,547,597","$4,600,521,272"
17/02/2021,$4.65,$4.88,$4.44,$4.84,"$5,744,341,913","$4,603,893,423"
16/02/2021,$4.70,$4.95,$4.44,$4.65,"$7,243,532,479","$4,420,212,540"
15/02/2021,$5.09,$5.23,$4.25,$4.70,"$8,201,494,470","$4,466,007,960"
14/02/2021,$5.50,$5.56,$4.89,$5.10,"$7,686,866,015","$4,843,256,697"
13/02/2021,$4.75,$5.49,$4.52,$5.49,"$9,702,644,319","$5,221,173,148"
12/02/2021,$4.58,$4.82,$4.27,$4.75,"$7,164,080,652","$4,514,271,264"
11/02/2021,$4.13,$4.64,$4.03,$4.59,"$7,366,913,969","$4,358,527,495"
10/02/2021,$4.16,$4.45,$3.74,$4.13,"$8,487,998,559","$3,925,163,436"
09/02/2021,$3.58,$4.27,$3.49,$4.16,"$7,117,645,371","$3,953,415,440"
08/02/2021,$3.44,$3.58,$3.36,$3.58,"$5,350,964,756","$3,401,597,028"
07/02/2021,$3.21,$3.57,$3.05,$3.44,"$5,982,395,276","$3,272,792,712"
06/02/2021,$3.31,$3.31,$3.14,$3.21,"$3,002,069,353","$3,049,043,287"
05/02/2021,$3.02,$3.36,$3.02,$3.31,"$3,690,662,908","$3,142,645,441"
04/02/2021,$3.06,$3.13,$2.99,$3.02,"$2,999,987,469","$2,871,805,209"
