Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$3.43,$3.56,$3.15,$3.23,"$1,081,694,618","$2,693,339,965"
09/04/2021,$3.27,$4.00,$3.13,$3.45,"$2,196,204,889","$2,881,907,214"
08/04/2021,$2.84,$3.43,$2.59,$3.27,"$2,126,002,539","$2,726,880,331"
07/04/2021,$2.33,$2.87,$2.03,$2.80,"$1,146,931,768","$2,336,078,136"
06/04/2021,$2.47,$2.48,$2.31,$2.33,"$355,705,887","$1,943,469,442"
05/04/2021,$2.49,$2.78,$2.38,$2.47,"$568,112,227","$2,064,288,344"
04/04/2021,$2.40,$2.52,$2.36,$2.49,"$227,800,851","$2,079,108,085"
03/04/2021,$2.64,$2.65,$2.35,$2.39,"$264,326,275","$1,994,018,535"
02/04/2021,$2.54,$2.64,$2.47,$2.64,"$293,325,813","$2,203,569,910"
01/04/2021,$2.59,$2.66,$2.49,$2.54,"$344,888,618","$2,121,144,218"
31/03/2021,$2.53,$2.68,$2.38,$2.59,"$546,064,803","$2,161,157,614"
30/03/2021,$2.51,$2.53,$2.44,$2.53,"$259,565,297","$2,108,635,867"
29/03/2021,$2.54,$2.58,$2.41,$2.51,"$325,306,780","$2,096,408,270"
28/03/2021,$2.32,$2.65,$2.29,$2.54,"$533,289,329","$2,121,155,200"
27/03/2021,$2.35,$2.38,$2.24,$2.33,"$271,575,841","$1,939,794,279"
26/03/2021,$2.13,$2.35,$2.13,$2.35,"$379,442,690","$1,957,852,865"
25/03/2021,$2.22,$2.26,$2.06,$2.13,"$408,116,713","$1,780,786,150"
24/03/2021,$2.07,$2.58,$2.03,$2.23,"$1,006,781,516","$1,862,493,957"
23/03/2021,$2.18,$2.23,$1.99,$2.07,"$359,406,110","$1,727,127,453"
22/03/2021,$2.45,$2.45,$2.09,$2.18,"$361,821,931","$1,822,692,575"
21/03/2021,$2.22,$2.50,$2.17,$2.45,"$518,473,435","$2,044,558,623"
20/03/2021,$2.50,$2.52,$2.22,$2.22,"$422,857,036","$1,849,000,077"
19/03/2021,$2.67,$2.67,$2.49,$2.50,"$423,655,458","$2,088,794,266"
18/03/2021,$2.47,$2.80,$2.46,$2.67,"$828,041,220","$2,225,528,699"
17/03/2021,$2.56,$2.68,$2.28,$2.47,"$820,035,740","$2,063,470,020"
16/03/2021,$2.69,$2.92,$2.37,$2.56,"$1,212,053,029","$2,138,457,020"
15/03/2021,$2.35,$3.05,$2.35,$2.70,"$2,179,189,384","$2,251,480,109"
14/03/2021,$2.05,$2.61,$1.95,$2.36,"$1,288,000,169","$1,967,018,902"
13/03/2021,$2.08,$2.20,$1.93,$2.05,"$788,273,264","$1,706,506,368"
12/03/2021,$1.80,$2.21,$1.80,$2.08,"$1,357,244,996","$1,733,610,010"
11/03/2021,$1.66,$1.94,$1.62,$1.80,"$846,851,647","$1,498,241,841"
10/03/2021,$1.72,$1.74,$1.53,$1.66,"$579,368,586","$1,383,549,900"
09/03/2021,$1.74,$1.94,$1.66,$1.72,"$1,105,636,360","$1,434,852,429"
08/03/2021,$1.41,$1.85,$1.40,$1.74,"$1,905,063,872","$1,453,682,311"
07/03/2021,$1.16,$1.44,$1.13,$1.41,"$809,572,035","$1,177,456,514"
06/03/2021,$1.20,$1.26,$1.09,$1.16,"$427,519,080","$969,787,707"
05/03/2021,$1.30,$1.37,$1.15,$1.21,"$801,876,210","$1,009,412,264"
04/03/2021,$1.19,$1.51,$1.09,$1.31,"$1,987,705,013","$1,090,901,842"
03/03/2021,$0.7975,$1.32,$0.7855,$1.19,"$2,032,504,575","$993,571,078"
02/03/2021,$0.7001,$0.8809,$0.6598,$0.7979,"$770,233,443","$665,669,492"
01/03/2021,$0.5705,$0.7291,$0.5675,$0.7034,"$355,224,926","$586,869,108"
28/02/2021,$0.5692,$0.5902,$0.4813,$0.5673,"$105,271,425","$473,319,922"
27/02/2021,$0.5771,$0.6481,$0.5548,$0.5686,"$107,548,214","$474,430,022"
26/02/2021,$0.5403,$0.6161,$0.529,$0.5763,"$187,353,987","$480,804,510"
25/02/2021,$0.4927,$0.6634,$0.4927,$0.541,"$398,926,740","$451,341,825"
24/02/2021,$0.4504,$0.5105,$0.4247,$0.4926,"$74,401,446","$410,986,631"
23/02/2021,$0.5476,$0.5484,$0.3586,$0.4487,"$136,824,633","$374,329,163"
22/02/2021,$0.5785,$0.6609,$0.463,$0.5476,"$257,659,837","$456,854,819"
21/02/2021,$0.5585,$0.5896,$0.5488,$0.578,"$65,070,344","$482,166,047"
20/02/2021,$0.6051,$0.608,$0.5328,$0.5599,"$98,618,274","$467,037,340"
19/02/2021,$0.5918,$0.6186,$0.5542,$0.6048,"$98,619,678","$504,476,794"
18/02/2021,$0.5488,$0.5919,$0.5442,$0.5917,"$93,829,753","$493,574,950"
17/02/2021,$0.5452,$0.5684,$0.505,$0.549,"$67,318,773","$457,978,501"
16/02/2021,$0.523,$0.5835,$0.5158,$0.545,"$82,961,220","$454,614,177"
15/02/2021,$0.5494,$0.5626,$0.4507,$0.5227,"$82,438,413","$436,021,504"
14/02/2021,$0.5871,$0.6137,$0.5262,$0.5493,"$96,953,971","$458,231,133"
13/02/2021,$0.6042,$0.6224,$0.5399,$0.5867,"$135,014,681","$489,382,542"
12/02/2021,$0.5931,$0.6423,$0.56,$0.6052,"$262,197,094","$504,841,670"
