Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$18.78,$21.17,$18.37,$20.39,"$1,800,282,748","$2,372,021,137"
09/04/2021,$19.51,$20.01,$18.64,$18.77,"$1,331,482,647","$2,183,185,507"
08/04/2021,$19.23,$19.83,$18.07,$19.50,"$2,265,440,249","$2,268,537,950"
07/04/2021,$17.85,$20.81,$17.19,$19.19,"$4,946,490,947","$2,232,267,136"
06/04/2021,$16.12,$18.60,$16.08,$17.86,"$2,841,602,885","$2,077,536,059"
05/04/2021,$14.62,$16.13,$14.49,$16.13,"$1,785,209,149","$1,875,894,108"
04/04/2021,$13.67,$14.64,$13.57,$14.62,"$1,073,143,924","$1,700,176,278"
03/04/2021,$15.29,$15.35,$13.66,$13.67,"$1,249,465,436","$1,589,480,235"
02/04/2021,$14.41,$15.61,$14.18,$15.29,"$1,423,061,752","$1,778,267,425"
01/04/2021,$14.08,$14.51,$13.69,$14.41,"$1,318,418,510","$1,676,177,761"
31/03/2021,$13.02,$14.33,$12.72,$14.08,"$1,414,616,249","$1,637,662,605"
30/03/2021,$12.58,$13.04,$12.35,$13.01,"$871,468,963","$1,513,653,763"
29/03/2021,$11.88,$12.62,$11.78,$12.57,"$793,403,663","$1,462,612,112"
28/03/2021,$11.79,$12.05,$11.74,$11.88,"$626,362,299","$1,381,879,979"
27/03/2021,$11.77,$11.97,$11.49,$11.79,"$657,272,572","$1,371,218,130"
26/03/2021,$11.14,$11.77,$11.11,$11.77,"$756,466,306","$1,368,895,314"
25/03/2021,$11.40,$11.51,$10.85,$11.14,"$915,262,697","$1,295,950,888"
24/03/2021,$12.32,$12.64,$11.30,$11.41,"$955,942,125","$1,327,110,009"
23/03/2021,$11.75,$12.65,$11.70,$12.33,"$1,355,496,005","$1,433,654,818"
22/03/2021,$12.00,$12.43,$11.68,$11.75,"$909,034,193","$1,366,644,938"
21/03/2021,$12.33,$12.48,$11.96,$12.00,"$772,462,921","$1,395,691,245"
20/03/2021,$12.29,$12.87,$12.27,$12.33,"$765,654,172","$1,434,017,515"
19/03/2021,$12.21,$12.43,$12.00,$12.29,"$653,393,039","$1,429,383,379"
18/03/2021,$12.49,$12.62,$12.18,$12.21,"$753,948,208","$1,420,727,405"
17/03/2021,$12.42,$12.50,$11.83,$12.48,"$959,502,545","$1,451,959,466"
16/03/2021,$12.17,$12.55,$11.63,$12.42,"$1,120,201,396","$1,444,619,902"
15/03/2021,$12.78,$13.08,$11.89,$12.17,"$1,301,008,665","$1,415,471,701"
14/03/2021,$13.82,$14.08,$12.78,$12.78,"$1,134,554,617","$1,486,968,560"
13/03/2021,$11.94,$14.22,$11.58,$13.83,"$1,481,862,952","$1,608,318,172"
12/03/2021,$12.24,$12.48,$11.62,$11.94,"$1,047,735,920","$1,388,708,806"
11/03/2021,$11.98,$12.56,$11.76,$12.24,"$1,147,959,108","$1,423,258,588"
10/03/2021,$12.40,$12.67,$11.73,$11.99,"$1,184,671,771","$1,394,676,605"
09/03/2021,$11.69,$12.64,$11.53,$12.40,"$1,198,339,180","$1,442,536,801"
08/03/2021,$11.53,$11.96,$11.08,$11.69,"$1,029,331,064","$1,359,542,798"
07/03/2021,$11.15,$11.76,$11.11,$11.53,"$894,072,080","$1,340,694,500"
06/03/2021,$10.95,$11.22,$10.66,$11.15,"$752,329,048","$1,296,521,019"
05/03/2021,$11.02,$11.07,$10.38,$10.95,"$913,522,947","$1,273,312,111"
04/03/2021,$11.28,$11.69,$10.71,$11.02,"$1,066,962,092","$1,281,573,993"
03/03/2021,$10.91,$11.73,$10.85,$11.29,"$1,066,025,293","$1,312,911,341"
02/03/2021,$10.99,$11.47,$10.60,$10.90,"$987,035,689","$1,268,262,496"
01/03/2021,$10.32,$11.14,$10.22,$10.99,"$942,888,235","$1,278,798,762"
28/02/2021,$11.11,$11.12,$9.80,$10.31,"$1,105,003,274","$1,199,513,919"
27/02/2021,$10.73,$11.44,$10.73,$11.11,"$1,091,641,277","$1,292,482,235"
26/02/2021,$11.00,$11.28,$10.12,$10.72,"$1,583,919,447","$1,247,287,695"
25/02/2021,$11.88,$12.14,$10.98,$10.99,"$1,381,012,967","$1,278,729,491"
24/02/2021,$11.32,$12.48,$10.92,$11.88,"$1,796,018,617","$1,382,186,159"
23/02/2021,$13.94,$13.95,$9.37,$11.32,"$2,358,360,486","$1,316,460,262"
22/02/2021,$15.66,$15.67,$11.65,$13.95,"$2,172,383,155","$1,622,014,723"
21/02/2021,$15.09,$16.27,$14.86,$15.66,"$1,564,244,576","$1,821,748,008"
20/02/2021,$15.38,$17.33,$14.45,$15.11,"$2,589,293,778","$1,756,953,832"
19/02/2021,$14.97,$15.83,$14.37,$15.38,"$2,345,226,652","$1,788,504,481"
18/02/2021,$15.25,$15.74,$14.67,$14.97,"$1,555,231,634","$1,741,224,697"
17/02/2021,$14.36,$15.71,$13.77,$15.25,"$2,573,562,260","$1,773,549,239"
16/02/2021,$14.64,$15.46,$13.79,$14.35,"$2,332,812,588","$1,669,507,646"
15/02/2021,$16.14,$16.55,$13.45,$14.64,"$3,259,111,462","$1,703,104,083"
14/02/2021,$16.61,$17.57,$15.65,$16.14,"$4,709,725,460","$1,877,723,073"
13/02/2021,$12.02,$17.75,$11.84,$16.59,"$4,767,114,007","$1,929,965,453"
12/02/2021,$11.67,$12.22,$11.15,$12.03,"$1,912,353,387","$1,399,046,054"
