Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.4526,$0.4747,$0.4229,$0.4396,"$84,195,088","$1,118,837,529"
09/04/2021,$0.4371,$0.4755,$0.4314,$0.4519,"$94,911,965","$1,150,142,931"
08/04/2021,$0.4156,$0.4562,$0.4108,$0.4368,"$100,491,900","$1,111,779,983"
07/04/2021,$0.457,$0.4829,$0.3999,$0.4142,"$154,134,439","$1,054,141,331"
06/04/2021,$0.4823,$0.5558,$0.4455,$0.4584,"$324,991,546","$1,166,708,268"
05/04/2021,$0.4103,$0.4852,$0.3969,$0.4791,"$204,055,275","$1,219,434,551"
04/04/2021,$0.3893,$0.4257,$0.3838,$0.41,"$65,648,648","$1,043,450,843"
03/04/2021,$0.4284,$0.446,$0.3887,$0.3894,"$75,475,256","$991,082,472"
02/04/2021,$0.4433,$0.4678,$0.4216,$0.4287,"$91,681,121","$1,091,154,977"
01/04/2021,$0.4227,$0.4574,$0.4102,$0.4443,"$114,036,463","$1,130,814,346"
31/03/2021,$0.4325,$0.4469,$0.3911,$0.4231,"$132,826,277","$1,076,905,160"
30/03/2021,$0.4327,$0.4786,$0.4231,$0.4326,"$149,708,212","$1,101,016,591"
29/03/2021,$0.3937,$0.4384,$0.3844,$0.4321,"$114,877,765","$1,099,615,374"
28/03/2021,$0.36,$0.4196,$0.3545,$0.3939,"$119,031,908","$1,002,588,389"
27/03/2021,$0.3677,$0.3741,$0.3414,$0.3595,"$56,241,242","$915,016,899"
26/03/2021,$0.3244,$0.3775,$0.3239,$0.3675,"$77,423,925","$935,413,624"
25/03/2021,$0.3386,$0.3522,$0.3136,$0.3247,"$79,536,177","$826,308,951"
24/03/2021,$0.38,$0.4108,$0.2987,$0.3401,"$79,594,771","$865,515,571"
23/03/2021,$0.3962,$0.413,$0.3657,$0.3809,"$76,046,400","$969,415,457"
22/03/2021,$0.4266,$0.4541,$0.3887,$0.3966,"$108,347,274","$1,009,442,874"
21/03/2021,$0.4286,$0.4428,$0.3968,$0.427,"$88,082,281","$1,086,795,576"
20/03/2021,$0.4149,$0.4881,$0.4132,$0.4283,"$133,621,090","$1,090,089,331"
