Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$186.46,$205.11,$162.50,$171.98,"$7,810,199,184","$10,948,790,069"
01/04/2021,$191.15,$237.24,$182.71,$188.18,"$12,367,984,683","$11,948,462,148"
31/03/2021,$149.84,$196.67,$146.91,$191.36,"$8,140,051,708","$11,987,914,689"
30/03/2021,$127.56,$152.93,$125.01,$149.66,"$3,886,877,718","$9,313,088,669"
29/03/2021,$125.47,$130.31,$124.34,$127.53,"$1,957,347,948","$7,881,370,037"
28/03/2021,$132.71,$133.65,$121.25,$125.45,"$3,054,883,925","$7,714,108,321"
27/03/2021,$124.54,$139.48,$120.84,$133.18,"$5,639,110,564","$8,157,103,530"
26/03/2021,$90.98,$127.91,$90.98,$124.07,"$4,390,559,188","$7,563,114,849"
25/03/2021,$86.12,$95.54,$85.52,$90.84,"$2,890,519,323","$5,498,278,088"
24/03/2021,$82.58,$94.62,$79.93,$86.37,"$2,804,586,284","$5,181,920,411"
23/03/2021,$76.73,$85.32,$74.19,$82.45,"$1,922,118,447","$4,932,142,113"
22/03/2021,$81.00,$81.50,$75.67,$76.78,"$1,255,738,210","$4,583,565,696"
21/03/2021,$82.40,$83.58,$80.67,$81.00,"$1,042,404,616","$4,809,787,141"
20/03/2021,$83.35,$85.79,$81.81,$82.45,"$1,324,962,175","$4,876,449,961"
19/03/2021,$79.81,$85.62,$76.55,$83.32,"$2,281,146,439","$4,903,051,576"
18/03/2021,$88.96,$89.55,$74.60,$79.69,"$4,208,814,291","$4,666,633,750"
17/03/2021,$63.39,$96.17,$62.80,$89.27,"$5,549,644,898","$5,188,082,531"
16/03/2021,$53.57,$63.24,$51.44,$63.24,"$1,975,742,411","$3,655,574,180"
15/03/2021,$54.37,$56.19,$52.45,$53.61,"$1,660,287,262","$3,085,187,677"
14/03/2021,$49.59,$56.92,$49.51,$54.54,"$2,334,194,125","$3,131,531,627"
13/03/2021,$44.13,$51.92,$43.66,$49.67,"$1,670,579,730","$2,851,766,936"
12/03/2021,$42.26,$45.01,$42.10,$44.13,"$983,852,692","$2,533,872,003"
11/03/2021,$42.59,$43.12,$41.75,$42.24,"$625,698,261","$2,425,475,871"
10/03/2021,$41.97,$43.94,$41.23,$42.63,"$799,915,938","$2,447,766,828"
09/03/2021,$41.54,$42.41,$41.26,$41.97,"$579,999,439","$2,409,821,766"
08/03/2021,$41.49,$41.89,$40.68,$41.54,"$525,639,115","$2,385,226,292"
07/03/2021,$40.47,$41.72,$40.36,$41.53,"$507,418,012","$2,384,582,884"
06/03/2021,$40.55,$40.91,$39.04,$40.49,"$556,059,908","$2,324,475,271"
05/03/2021,$40.73,$40.73,$38.49,$40.55,"$764,912,784","$2,328,294,833"
04/03/2021,$42.24,$43.21,$39.98,$40.74,"$1,073,737,656","$2,338,096,605"
03/03/2021,$38.19,$44.26,$38.09,$42.26,"$1,502,099,768","$2,399,136,715"
02/03/2021,$38.47,$38.90,$37.29,$38.19,"$691,279,882","$2,146,240,759"
01/03/2021,$36.00,$39.07,$35.87,$38.43,"$789,024,899","$2,151,077,345"
28/02/2021,$38.01,$38.30,$34.96,$35.99,"$768,904,061","$2,001,053,067"
27/02/2021,$35.12,$38.73,$35.12,$38.03,"$878,926,954","$2,104,246,035"
26/02/2021,$34.93,$36.33,$33.35,$35.11,"$838,042,220","$1,935,799,629"
25/02/2021,$36.65,$37.48,$34.90,$34.91,"$795,545,380","$1,915,390,114"
24/02/2021,$35.47,$38.15,$34.47,$36.67,"$1,029,434,272","$2,004,057,039"
23/02/2021,$39.47,$39.49,$32.03,$35.44,"$1,403,444,827","$1,930,631,047"
22/02/2021,$44.76,$44.78,$33.62,$39.47,"$1,511,820,237","$2,140,305,232"
21/02/2021,$43.20,$45.72,$42.63,$44.79,"$871,412,632","$2,414,497,886"
20/02/2021,$43.20,$48.81,$42.50,$43.27,"$1,610,180,337","$2,323,410,896"
19/02/2021,$43.43,$43.59,$41.56,$43.14,"$828,571,188","$2,303,178,288"
18/02/2021,$43.20,$44.27,$42.57,$43.43,"$667,645,165","$2,294,512,857"
17/02/2021,$41.95,$44.37,$40.54,$43.24,"$841,212,350","$2,275,526,252"
16/02/2021,$42.97,$45.69,$40.40,$41.96,"$1,059,200,255","$2,194,520,998"
15/02/2021,$47.41,$50.19,$38.02,$42.97,"$2,061,387,407","$2,232,518,854"
14/02/2021,$41.66,$51.94,$41.29,$47.48,"$2,295,182,847","$2,447,960,914"
13/02/2021,$42.77,$44.51,$40.43,$41.70,"$1,228,889,960","$2,133,984,439"
12/02/2021,$40.27,$44.47,$39.49,$42.79,"$1,336,951,368","$2,152,861,893"
11/02/2021,$39.90,$42.38,$37.37,$40.25,"$1,269,328,890","$2,016,850,131"
10/02/2021,$43.89,$45.34,$36.38,$39.91,"$2,802,540,130","$1,986,812,208"
09/02/2021,$27.66,$50.61,$27.15,$43.76,"$3,403,223,723","$2,169,438,796"
08/02/2021,$24.08,$28.19,$23.90,$27.66,"$715,775,677","$1,361,831,565"
07/02/2021,$24.28,$24.60,$23.78,$24.08,"$272,418,316","$1,179,492,121"
06/02/2021,$24.51,$25.20,$23.90,$24.28,"$378,556,668","$1,184,841,714"
05/02/2021,$22.88,$25.53,$22.84,$24.52,"$491,884,502","$1,192,106,643"
04/02/2021,$23.04,$23.25,$22.75,$22.88,"$209,636,144","$1,106,476,285"
