Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$35.27,$36.55,$34.79,$35.02,"$66,782,888","$1,189,622,500"
09/04/2021,$35.39,$36.49,$34.71,$35.28,"$62,284,301","$1,198,414,613"
08/04/2021,$35.00,$35.76,$33.82,$35.40,"$91,555,451","$1,202,463,684"
07/04/2021,$36.23,$39.22,$33.00,$35.07,"$262,303,618","$1,191,397,790"
06/04/2021,$38.57,$38.79,$34.30,$36.27,"$137,557,109","$1,231,941,968"
05/04/2021,$34.77,$46.16,$34.30,$38.55,"$381,504,288","$1,173,230,418"
04/04/2021,$30.37,$36.02,$30.34,$34.77,"$185,074,819","$1,058,160,351"
03/04/2021,$29.92,$33.67,$29.80,$30.43,"$141,138,962","$925,865,551"
02/04/2021,$31.18,$32.34,$29.19,$29.91,"$125,715,512","$910,118,525"
01/04/2021,$34.37,$34.78,$31.06,$31.13,"$114,571,031","$947,422,035"
31/03/2021,$32.98,$36.58,$32.85,$34.41,"$120,603,871","$1,047,077,621"
30/03/2021,$32.64,$34.55,$31.70,$33.02,"$66,350,581","$1,004,793,055"
29/03/2021,$29.81,$33.63,$29.68,$32.63,"$92,056,442","$993,064,508"
28/03/2021,$27.43,$30.67,$27.21,$29.78,"$61,588,465","$906,319,242"
27/03/2021,$29.88,$30.48,$27.41,$27.42,"$64,295,059","$834,268,930"
26/03/2021,$25.44,$33.06,$25.36,$29.84,"$257,565,105","$908,098,402"
25/03/2021,$25.67,$26.32,$24.37,$25.45,"$41,230,010","$774,574,445"
24/03/2021,$26.30,$28.73,$25.23,$25.66,"$54,726,649","$780,841,345"
23/03/2021,$27.13,$28.25,$24.24,$26.30,"$64,100,386","$800,307,015"
22/03/2021,$30.17,$30.17,$26.47,$27.12,"$52,058,325","$825,189,333"
21/03/2021,$31.38,$31.64,$29.33,$30.14,"$34,518,166","$917,127,831"
20/03/2021,$31.72,$32.49,$31.41,$31.41,"$26,468,804","$955,900,778"
19/03/2021,$31.61,$32.73,$31.07,$31.72,"$33,595,347","$965,353,919"
18/03/2021,$32.22,$32.76,$31.53,$31.61,"$39,329,785","$961,867,354"
17/03/2021,$33.42,$34.02,$31.29,$32.21,"$46,406,186","$980,179,150"
16/03/2021,$34.75,$34.76,$32.49,$33.36,"$18,676,266","$1,015,307,576"
15/03/2021,$36.25,$37.23,$32.96,$34.74,"$57,370,644","$1,057,065,139"
14/03/2021,$37.45,$37.69,$34.10,$36.30,"$69,560,229","$1,104,659,209"
13/03/2021,$35.39,$38.95,$34.47,$37.65,"$170,893,245","$1,145,850,143"
12/03/2021,$32.51,$35.37,$30.20,$35.37,"$75,886,315","$1,076,211,318"
11/03/2021,$34.25,$34.37,$31.22,$32.46,"$40,825,326","$987,933,539"
10/03/2021,$35.52,$35.54,$32.93,$34.28,"$68,744,531","$1,043,037,942"
09/03/2021,$32.14,$38.33,$32.13,$35.57,"$135,347,963","$828,754,797"
08/03/2021,$34.19,$35.65,$31.66,$32.17,"$61,298,354","$749,707,508"
07/03/2021,$34.70,$36.58,$33.01,$34.22,"$50,992,359","$797,386,193"
06/03/2021,$34.58,$35.34,$30.76,$34.70,"$80,571,097","$808,525,353"
05/03/2021,$39.11,$39.21,$34.37,$34.58,"$109,696,061","$805,727,155"
04/03/2021,$32.51,$41.11,$31.89,$39.04,"$205,574,632","$909,620,182"
03/03/2021,$29.85,$34.00,$28.90,$32.51,"$114,310,542","$757,538,321"
02/03/2021,$28.49,$30.27,$26.81,$29.84,"$115,857,029","$695,386,336"
01/03/2021,$20.82,$30.02,$20.77,$28.70,"$107,296,186","$668,772,773"
28/02/2021,$20.55,$22.02,$19.30,$20.81,"$59,356,489","$484,965,902"
27/02/2021,$19.87,$21.15,$19.56,$20.54,"$26,939,471","$478,579,951"
26/02/2021,$20.32,$20.62,$18.34,$19.86,"$43,661,712","$462,740,864"
25/02/2021,$20.96,$21.87,$19.44,$20.33,"$37,511,198","$473,735,992"
24/02/2021,$21.36,$23.06,$19.94,$20.97,"$23,362,272","$488,510,326"
23/02/2021,$22.58,$23.57,$18.21,$21.31,"$45,629,455","$496,541,252"
22/02/2021,$21.88,$23.19,$18.28,$22.63,"$54,680,574","$527,219,320"
21/02/2021,$18.74,$26.22,$18.56,$21.88,"$76,251,137","$509,758,988"
20/02/2021,$18.64,$18.97,$18.02,$18.73,"$16,706,781","$436,407,865"
19/02/2021,$19.12,$19.16,$17.71,$18.63,"$21,658,615","$434,025,390"
18/02/2021,$17.19,$19.44,$17.19,$19.12,"$22,907,428","$445,568,201"
17/02/2021,$19.15,$19.54,$16.83,$17.19,"$24,257,216","$400,596,440"
16/02/2021,$19.15,$19.37,$17.36,$19.15,"$30,352,819","$446,330,325"
15/02/2021,$17.86,$20.06,$16.23,$19.15,"$58,256,176","$446,132,671"
14/02/2021,$14.78,$18.70,$14.38,$17.77,"$10,945,868","$414,101,950"
13/02/2021,$14.62,$15.08,$13.88,$14.78,"$6,661,175","$344,373,586"
12/02/2021,$12.64,$14.87,$12.63,$14.63,"$13,954,053","$340,963,799"
