Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.3385,$0.3458,$0.3198,$0.3299,"$188,872,932","$2,612,097,334"
09/04/2021,$0.3275,$0.3659,$0.3274,$0.3383,"$283,874,310","$2,677,917,239"
08/04/2021,$0.3002,$0.3277,$0.2975,$0.3274,"$180,937,389","$2,591,858,256"
07/04/2021,$0.3274,$0.3295,$0.2813,$0.299,"$223,994,759","$2,366,844,096"
06/04/2021,$0.3184,$0.3381,$0.3065,$0.3276,"$337,404,815","$2,593,472,292"
05/04/2021,$0.3331,$0.337,$0.3149,$0.3182,"$269,090,111","$2,519,311,478"
04/04/2021,$0.3205,$0.3438,$0.3162,$0.3331,"$167,747,931","$2,636,848,089"
03/04/2021,$0.3649,$0.3649,$0.3158,$0.3204,"$234,337,648","$2,536,865,501"
02/04/2021,$0.3533,$0.3645,$0.342,$0.3645,"$231,323,547","$2,885,474,870"
01/04/2021,$0.3683,$0.3718,$0.3472,$0.3533,"$261,938,223","$2,797,268,348"
31/03/2021,$0.393,$0.3939,$0.3507,$0.3683,"$340,102,935","$2,858,428,915"
30/03/2021,$0.3775,$0.4185,$0.3689,$0.3942,"$474,163,043","$3,061,851,662"
29/03/2021,$0.3429,$0.4456,$0.3399,$0.3778,"$835,014,484","$2,915,903,200"
28/03/2021,$0.3424,$0.3455,$0.3326,$0.3426,"$141,996,603","$2,643,710,798"
27/03/2021,$0.3503,$0.3575,$0.3264,$0.3422,"$188,898,821","$2,640,742,326"
26/03/2021,$0.3073,$0.3502,$0.307,$0.348,"$178,719,317","$2,685,834,224"
25/03/2021,$0.3046,$0.3188,$0.2899,$0.3073,"$190,282,258","$2,371,201,631"
24/03/2021,$0.3259,$0.3438,$0.2989,$0.3054,"$222,694,462","$2,356,984,568"
23/03/2021,$0.319,$0.3376,$0.3038,$0.3262,"$234,800,289","$2,516,977,607"
22/03/2021,$0.3444,$0.357,$0.3093,$0.318,"$260,180,183","$2,400,110,472"
21/03/2021,$0.3197,$0.3576,$0.3133,$0.3441,"$261,376,909","$2,597,090,587"
20/03/2021,$0.3479,$0.3533,$0.3189,$0.3195,"$212,419,024","$2,411,138,951"
19/03/2021,$0.3478,$0.3646,$0.3382,$0.3478,"$211,514,005","$2,624,219,624"
18/03/2021,$0.3626,$0.3741,$0.3381,$0.3481,"$299,562,770","$2,626,703,422"
17/03/2021,$0.3423,$0.3817,$0.2999,$0.3625,"$694,644,477","$2,735,280,018"
16/03/2021,$0.4028,$0.405,$0.3283,$0.3421,"$480,722,882","$2,577,467,208"
15/03/2021,$0.3665,$0.4495,$0.3567,$0.4026,"$1,081,032,744","$3,032,717,473"
14/03/2021,$0.2773,$0.393,$0.2773,$0.3669,"$1,146,569,065","$2,764,484,322"
13/03/2021,$0.2707,$0.2761,$0.2562,$0.2761,"$228,434,420","$2,080,105,786"
12/03/2021,$0.2688,$0.277,$0.2456,$0.2702,"$320,295,839","$2,035,532,012"
11/03/2021,$0.2201,$0.276,$0.2092,$0.2684,"$571,376,576","$2,022,043,094"
10/03/2021,$0.2104,$0.2385,$0.1875,$0.2203,"$339,235,185","$1,655,077,175"
09/03/2021,$0.1747,$0.2126,$0.1687,$0.2104,"$402,968,960","$1,581,119,030"
08/03/2021,$0.1527,$0.1846,$0.1488,$0.1744,"$285,762,965","$1,310,491,489"
07/03/2021,$0.1449,$0.1561,$0.1449,$0.1527,"$98,301,602","$1,147,104,774"
06/03/2021,$0.1489,$0.1537,$0.138,$0.1449,"$83,132,904","$1,089,134,909"
05/03/2021,$0.1603,$0.1603,$0.1435,$0.1491,"$141,889,826","$1,120,383,049"
04/03/2021,$0.1289,$0.1785,$0.1287,$0.1613,"$580,978,259","$1,211,821,419"
03/03/2021,$0.1235,$0.1313,$0.1212,$0.1286,"$76,896,267","$966,413,916"
02/03/2021,$0.1252,$0.127,$0.1165,$0.1235,"$62,712,586","$928,175,686"
01/03/2021,$0.1153,$0.1269,$0.1147,$0.1251,"$157,728,927","$933,519,250"
28/02/2021,$0.1199,$0.1234,$0.1046,$0.1154,"$75,841,760","$848,228,780"
27/02/2021,$0.1181,$0.1249,$0.1164,$0.1187,"$44,979,732","$872,103,221"
26/02/2021,$0.1183,$0.124,$0.1108,$0.1179,"$81,062,296","$866,854,711"
25/02/2021,$0.1292,$0.1418,$0.1173,$0.1173,"$145,776,005","$862,507,002"
24/02/2021,$0.119,$0.1427,$0.1105,$0.1289,"$173,896,554","$947,616,924"
23/02/2021,$0.1374,$0.1384,$0.09405,$0.1189,"$164,181,994","$874,074,648"
22/02/2021,$0.1472,$0.1472,$0.1182,$0.1378,"$138,704,704","$988,574,878"
21/02/2021,$0.1423,$0.1512,$0.1393,$0.1472,"$101,773,722","$1,056,140,581"
20/02/2021,$0.1526,$0.1534,$0.1397,$0.1423,"$120,337,508","$1,020,877,907"
19/02/2021,$0.1501,$0.1594,$0.139,$0.1529,"$107,577,793","$1,096,918,744"
18/02/2021,$0.1388,$0.1501,$0.137,$0.1492,"$85,393,688","$1,066,644,820"
17/02/2021,$0.1373,$0.1416,$0.1281,$0.1388,"$91,072,848","$992,356,075"
16/02/2021,$0.1439,$0.1474,$0.1317,$0.1373,"$112,210,337","$980,216,976"
15/02/2021,$0.1268,$0.1518,$0.1105,$0.1439,"$177,854,250","$1,027,309,203"
14/02/2021,$0.1378,$0.1378,$0.122,$0.127,"$80,281,284","$906,543,393"
13/02/2021,$0.137,$0.1473,$0.1273,$0.1376,"$132,106,702","$982,747,425"
12/02/2021,$0.1333,$0.1404,$0.1254,$0.1372,"$140,348,898","$979,836,514"
