Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$16.19,$19.49,$15.42,$17.25,"$61,653,397","$1,345,945,944"
09/04/2021,$16.86,$17.69,$16.21,$16.21,"$19,957,049","$1,262,707,207"
08/04/2021,$16.63,$18.40,$16.51,$16.85,"$29,648,045","$1,310,329,376"
07/04/2021,$18.48,$21.17,$16.58,$16.58,"$67,707,422","$1,286,576,759"
06/04/2021,$15.57,$20.80,$15.04,$18.66,"$106,357,858","$1,445,507,604"
05/04/2021,$16.67,$16.90,$15.30,$15.57,"$23,990,697","$1,203,479,463"
04/04/2021,$15.28,$18.66,$14.98,$16.73,"$55,074,383","$1,290,682,824"
03/04/2021,$13.54,$17.31,$13.43,$15.33,"$68,996,694","$1,180,491,174"
02/04/2021,$13.09,$15.10,$12.67,$13.56,"$72,743,580","$1,041,897,586"
01/04/2021,$10.50,$13.27,$10.30,$12.90,"$42,669,364","$989,589,625"
31/03/2021,$10.05,$10.80,$9.09,$10.50,"$19,143,298","$803,889,287"
30/03/2021,$10.28,$10.43,$9.92,$10.05,"$11,057,080","$767,998,070"
29/03/2021,$10.21,$10.76,$9.85,$10.29,"$18,597,387","$784,628,251"
28/03/2021,$10.59,$11.97,$9.85,$10.20,"$34,787,495","$776,325,734"
27/03/2021,$8.28,$11.76,$8.05,$10.55,"$48,430,391","$801,273,744"
26/03/2021,$7.11,$8.67,$7.11,$8.29,"$16,291,576","$629,037,170"
25/03/2021,$7.06,$7.36,$6.59,$7.10,"$11,137,493","$537,754,911"
24/03/2021,$8.04,$8.62,$6.86,$7.09,"$13,395,100","$535,824,350"
23/03/2021,$8.85,$9.27,$7.93,$8.06,"$15,935,391","$608,081,534"
22/03/2021,$9.58,$9.99,$8.79,$8.90,"$19,392,960","$669,930,119"
21/03/2021,$8.35,$9.77,$8.26,$9.59,"$17,656,825","$720,800,538"
20/03/2021,$8.94,$9.72,$8.33,$8.34,"$19,950,064","$625,821,123"
19/03/2021,$7.50,$9.31,$7.17,$8.94,"$31,769,753","$669,438,949"
18/03/2021,$7.61,$8.10,$7.06,$7.50,"$11,316,701","$560,151,802"
17/03/2021,$7.07,$7.67,$6.66,$7.61,"$16,735,091","$567,672,268"
16/03/2021,$6.45,$7.90,$6.45,$7.06,"$8,585,282","$525,680,625"
15/03/2021,$6.49,$6.81,$6.07,$6.46,"$16,452,712","$480,000,377"
14/03/2021,$6.97,$7.59,$6.52,$6.53,"$20,571,934","$484,075,594"
13/03/2021,$5.96,$7.19,$5.66,$6.96,"$20,076,629","$515,654,963"
12/03/2021,$6.35,$6.49,$5.84,$5.97,"$18,719,202","$441,352,279"
11/03/2021,$6.53,$7.94,$6.34,$6.34,"$58,579,587","$467,261,563"
10/03/2021,$4.78,$6.62,$4.44,$6.54,"$28,929,884","$480,963,425"
09/03/2021,$4.56,$4.93,$4.50,$4.77,"$3,063,691","$349,823,204"
08/03/2021,$4.30,$4.69,$4.24,$4.57,"$7,082,061","$334,312,308"
07/03/2021,$4.07,$4.34,$4.05,$4.29,"$4,515,337","$313,780,270"
06/03/2021,$4.01,$4.10,$3.90,$4.07,"$1,280,829","$297,048,437"
05/03/2021,$4.23,$4.24,$3.90,$4.01,"$5,418,519","$292,233,252"
04/03/2021,$4.18,$4.43,$4.06,$4.24,"$5,453,055","$307,987,312"
03/03/2021,$4.04,$4.30,$4.00,$4.18,"$3,139,984","$303,430,247"
02/03/2021,$4.19,$4.26,$3.91,$4.04,"$1,198,334","$292,932,529"
01/03/2021,$4.18,$4.40,$4.04,$4.19,"$1,678,748","$303,199,665"
28/02/2021,$3.86,$4.31,$3.66,$4.18,"$3,523,247","$301,694,508"
27/02/2021,$3.94,$4.09,$3.78,$3.86,"$2,878,465","$278,086,878"
26/02/2021,$3.66,$4.16,$3.41,$3.94,"$7,627,888","$283,645,744"
25/02/2021,$3.64,$4.24,$3.63,$3.65,"$7,521,324","$261,927,658"
24/02/2021,$3.26,$3.64,$3.07,$3.63,"$5,593,180","$259,819,781"
23/02/2021,$3.64,$3.66,$2.50,$3.25,"$3,425,624","$232,124,561"
22/02/2021,$4.21,$4.21,$2.98,$3.64,"$5,900,894","$259,713,593"
21/02/2021,$4.11,$4.32,$4.01,$4.20,"$4,115,389","$299,182,147"
20/02/2021,$4.55,$4.58,$3.88,$4.10,"$159,797","$291,175,838"
19/02/2021,$4.21,$4.65,$4.04,$4.55,"$1,829,098","$322,684,111"
18/02/2021,$4.09,$4.29,$3.93,$4.20,"$6,873,262","$296,831,861"
17/02/2021,$4.13,$4.24,$3.83,$4.09,"$6,330,761","$288,662,214"
16/02/2021,$3.92,$4.68,$3.79,$4.13,"$1,758,975","$290,815,607"
15/02/2021,$4.59,$4.91,$3.73,$3.92,"$1,071,413","$274,885,856"
14/02/2021,$4.39,$5.15,$4.16,$4.61,"$10,753,146","$322,975,137"
13/02/2021,$4.60,$4.79,$4.12,$4.39,"$4,749,656","$307,447,295"
12/02/2021,$4.08,$4.81,$3.86,$4.55,"$961,524","$317,883,084"
