Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$0.01752,$0.02433,$0.01729,$0.02403,"$1,888,749,107","$4,064,681,679"
01/04/2021,$0.01679,$0.01829,$0.01663,$0.01753,"$680,658,003","$2,965,039,226"
31/03/2021,$0.01807,$0.01927,$0.01563,$0.01681,"$1,161,288,582","$2,843,954,673"
30/03/2021,$0.01284,$0.02,$0.01243,$0.01814,"$2,413,691,049","$3,068,011,248"
29/03/2021,$0.01016,$0.01324,$0.01003,$0.01283,"$1,031,088,931","$2,169,448,950"
28/03/2021,$0.009961,$0.01052,$0.009727,$0.01016,"$361,428,658","$1,719,068,806"
27/03/2021,$0.01032,$0.01134,$0.00969,$0.009971,"$838,033,274","$1,686,307,419"
26/03/2021,$0.007816,$0.01113,$0.007711,$0.01032,"$918,626,609","$1,744,619,944"
25/03/2021,$0.007358,$0.008395,$0.006851,$0.007825,"$355,975,228","$1,323,279,230"
24/03/2021,$0.007688,$0.008326,$0.00718,$0.007374,"$304,048,929","$1,242,281,075"
23/03/2021,$0.00748,$0.008544,$0.006913,$0.007734,"$305,858,064","$1,302,798,874"
22/03/2021,$0.00788,$0.008142,$0.007202,$0.007504,"$248,913,754","$1,264,092,645"
21/03/2021,$0.007821,$0.008353,$0.007538,$0.00788,"$325,739,065","$1,327,480,072"
20/03/2021,$0.008221,$0.009058,$0.007819,$0.007819,"$453,057,194","$1,317,095,634"
19/03/2021,$0.007179,$0.008739,$0.007083,$0.008227,"$617,977,052","$1,385,823,931"
18/03/2021,$0.007216,$0.007621,$0.006902,$0.007179,"$276,257,307","$1,209,371,817"
17/03/2021,$0.00683,$0.008288,$0.00654,$0.007219,"$575,300,183","$1,216,024,044"
16/03/2021,$0.007186,$0.007881,$0.005816,$0.006824,"$661,696,146","$1,149,284,188"
15/03/2021,$0.007332,$0.009552,$0.006929,$0.007186,"$1,254,366,084","$1,210,400,085"
14/03/2021,$0.004603,$0.008371,$0.0044,$0.007334,"$1,498,954,110","$1,235,363,596"
13/03/2021,$0.002918,$0.005338,$0.002841,$0.004626,"$693,955,553","$779,134,572"
12/03/2021,$0.003138,$0.003187,$0.0028,$0.002919,"$98,738,982","$491,639,077"
11/03/2021,$0.003113,$0.003244,$0.003008,$0.003136,"$88,598,778","$526,826,493"
10/03/2021,$0.00314,$0.003324,$0.00299,$0.003113,"$127,132,723","$522,883,703"
09/03/2021,$0.002999,$0.003376,$0.002936,$0.003138,"$129,096,993","$527,132,184"
08/03/2021,$0.003046,$0.003104,$0.002903,$0.002999,"$90,567,202","$503,668,965"
07/03/2021,$0.002991,$0.00316,$0.002944,$0.003049,"$94,635,563","$511,964,217"
06/03/2021,$0.003028,$0.003239,$0.002911,$0.002993,"$139,330,812","$502,662,916"
05/03/2021,$0.002474,$0.003289,$0.002355,$0.003026,"$227,886,049","$508,222,379"
04/03/2021,$0.002698,$0.002736,$0.002401,$0.002475,"$69,159,897","$415,563,685"
03/03/2021,$0.002681,$0.002854,$0.002633,$0.002699,"$67,652,971","$453,271,177"
02/03/2021,$0.002812,$0.002838,$0.002573,$0.002679,"$60,069,763","$449,886,704"
01/03/2021,$0.002446,$0.002954,$0.002446,$0.002814,"$102,490,132","$472,520,480"
28/02/2021,$0.002654,$0.002656,$0.002222,$0.002444,"$90,166,000","$410,364,312"
27/02/2021,$0.002797,$0.002927,$0.002578,$0.002654,"$75,402,293","$445,636,800"
26/02/2021,$0.002981,$0.003012,$0.002667,$0.002797,"$97,134,226","$469,582,731"
25/02/2021,$0.003148,$0.003302,$0.002959,$0.00298,"$111,336,227","$500,600,461"
24/02/2021,$0.002969,$0.003572,$0.002862,$0.003146,"$152,984,188","$527,714,813"
23/02/2021,$0.003432,$0.003432,$0.002229,$0.002962,"$212,647,733","$496,892,372"
22/02/2021,$0.003592,$0.003711,$0.002597,$0.003433,"$304,037,346","$575,863,071"
21/02/2021,$0.002283,$0.004096,$0.002142,$0.003545,"$531,535,573","$594,643,058"
20/02/2021,$0.001848,$0.002596,$0.001758,$0.002288,"$222,977,367","$383,724,313"
19/02/2021,$0.001489,$0.002038,$0.001465,$0.001849,"$124,418,034","$310,051,327"
18/02/2021,$0.00154,$0.00154,$0.001424,$0.001491,"$53,283,278","$250,004,276"
17/02/2021,$0.001287,$0.001545,$0.001247,$0.001541,"$84,351,766","$258,402,065"
16/02/2021,$0.001288,$0.001362,$0.001246,$0.001287,"$33,833,397","$215,812,879"
15/02/2021,$0.001285,$0.001391,$0.00114,$0.001287,"$39,653,553","$215,889,910"
14/02/2021,$0.001389,$0.001405,$0.001255,$0.001285,"$34,847,564","$215,549,511"
13/02/2021,$0.001401,$0.001451,$0.001311,$0.001391,"$48,668,284","$233,180,067"
12/02/2021,$0.001285,$0.001525,$0.001228,$0.001402,"$77,056,830","$235,027,288"
11/02/2021,$0.001122,$0.00139,$0.001094,$0.001286,"$75,017,508","$215,644,485"
10/02/2021,$0.001193,$0.001258,$0.001043,$0.001121,"$47,687,031","$187,913,294"
09/02/2021,$0.001107,$0.00149,$0.001055,$0.001194,"$133,806,110","$200,212,889"
08/02/2021,$0.0008017,$0.001286,$0.0007847,$0.001107,"$136,984,288","$185,502,591"
07/02/2021,$0.0007935,$0.0008199,$0.0006832,$0.0008015,"$20,118,804","$134,362,667"
06/02/2021,$0.0008224,$0.0008256,$0.0007905,$0.0007937,"$18,514,276","$133,057,202"
05/02/2021,$0.0007815,$0.0008299,$0.0007806,$0.0008227,"$21,241,433","$137,908,969"
04/02/2021,$0.0008056,$0.0008152,$0.0007748,$0.0007814,"$17,603,792","$131,041,889"
