Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$18.13,$19.37,$18.13,$18.82,"$709,266,022","$3,440,031,622"
09/04/2021,$17.66,$18.18,$16.60,$18.13,"$460,993,873","$3,314,413,960"
08/04/2021,$16.32,$17.75,$16.24,$17.66,"$668,604,542","$3,228,637,464"
07/04/2021,$18.44,$18.47,$16.04,$16.32,"$1,032,307,882","$2,984,564,071"
06/04/2021,$16.92,$18.63,$16.92,$18.44,"$1,090,754,915","$3,370,720,435"
05/04/2021,$16.43,$17.21,$16.07,$16.91,"$589,788,041","$3,092,003,235"
04/04/2021,$15.76,$16.43,$15.56,$16.43,"$471,973,234","$3,004,362,746"
03/04/2021,$16.97,$17.31,$15.77,$15.77,"$649,628,382","$2,882,972,534"
02/04/2021,$16.53,$17.25,$16.39,$16.98,"$978,675,854","$3,104,848,333"
01/04/2021,$15.58,$16.82,$15.14,$16.57,"$836,366,681","$3,028,907,662"
31/03/2021,$16.20,$16.30,$14.97,$15.58,"$991,637,806","$2,849,089,135"
30/03/2021,$14.56,$16.28,$14.33,$16.18,"$1,532,798,599","$2,957,324,301"
29/03/2021,$13.54,$14.57,$13.34,$14.56,"$609,858,779","$2,662,062,779"
28/03/2021,$12.96,$14.04,$12.84,$13.55,"$647,146,347","$2,476,476,397"
27/03/2021,$12.86,$13.10,$12.68,$12.96,"$422,516,418","$2,369,423,039"
26/03/2021,$12.36,$12.89,$12.35,$12.86,"$445,106,677","$2,351,144,537"
25/03/2021,$12.57,$12.70,$12.17,$12.36,"$504,864,764","$2,260,241,913"
24/03/2021,$12.77,$14.03,$12.58,$12.58,"$734,375,348","$2,299,800,168"
23/03/2021,$12.90,$13.16,$12.57,$12.77,"$475,096,079","$2,334,502,433"
22/03/2021,$13.92,$13.92,$12.91,$12.91,"$515,330,349","$2,359,582,917"
21/03/2021,$14.38,$14.44,$13.84,$13.92,"$360,056,973","$2,545,394,425"
20/03/2021,$14.34,$14.71,$14.27,$14.38,"$363,642,234","$2,629,441,603"
19/03/2021,$14.53,$14.53,$14.29,$14.34,"$371,662,700","$2,621,760,841"
18/03/2021,$14.70,$14.95,$14.51,$14.53,"$444,245,020","$2,657,243,097"
17/03/2021,$14.72,$14.83,$14.25,$14.69,"$624,323,758","$2,665,962,253"
16/03/2021,$14.64,$14.94,$14.11,$14.73,"$626,046,074","$2,672,415,757"
15/03/2021,$14.86,$15.40,$14.30,$14.65,"$778,623,888","$2,657,983,938"
14/03/2021,$15.54,$15.65,$14.77,$14.87,"$642,064,424","$2,779,278,154"
13/03/2021,$15.01,$15.54,$14.41,$15.54,"$914,105,138","$2,904,465,214"
12/03/2021,$15.83,$15.86,$14.42,$15.01,"$1,013,572,217","$2,804,835,202"
11/03/2021,$16.09,$16.17,$15.12,$15.83,"$1,033,964,205","$2,957,922,589"
10/03/2021,$17.31,$17.55,$16.10,$16.10,"$1,154,769,667","$3,008,333,520"
09/03/2021,$15.67,$17.49,$15.40,$17.31,"$1,313,016,300","$3,235,459,456"
08/03/2021,$15.64,$15.80,$14.22,$15.66,"$1,177,903,840","$2,926,710,823"
07/03/2021,$15.27,$15.73,$15.00,$15.65,"$617,057,437","$2,923,715,181"
06/03/2021,$15.38,$15.57,$14.60,$15.27,"$545,488,441","$2,853,507,535"
05/03/2021,$15.83,$15.83,$14.34,$15.38,"$1,054,804,814","$2,874,575,382"
04/03/2021,$15.22,$17.69,$15.02,$15.83,"$2,640,157,480","$2,957,836,975"
03/03/2021,$14.50,$15.93,$14.27,$15.23,"$1,288,707,282","$2,846,609,407"
02/03/2021,$14.71,$15.33,$13.91,$14.50,"$1,355,043,832","$2,709,011,838"
01/03/2021,$13.69,$14.72,$13.52,$14.70,"$1,792,666,505","$2,747,695,408"
28/02/2021,$16.10,$16.22,$12.68,$13.69,"$2,102,176,555","$2,557,873,670"
27/02/2021,$15.49,$17.57,$15.45,$16.10,"$1,489,423,412","$3,007,632,522"
26/02/2021,$16.84,$17.19,$15.24,$15.49,"$1,758,719,499","$2,893,699,493"
25/02/2021,$19.57,$20.41,$16.71,$16.82,"$1,558,446,283","$3,143,361,381"
24/02/2021,$18.48,$20.98,$17.62,$19.58,"$1,734,923,958","$3,658,872,261"
23/02/2021,$22.27,$22.29,$16.33,$18.48,"$2,265,396,199","$3,453,790,980"
22/02/2021,$25.35,$25.47,$18.72,$22.28,"$2,492,731,566","$4,163,708,257"
21/02/2021,$20.97,$25.82,$20.97,$25.34,"$2,405,692,984","$4,735,283,324"
20/02/2021,$25.93,$26.73,$20.43,$20.98,"$2,950,178,807","$3,919,702,587"
19/02/2021,$16.00,$25.91,$15.97,$25.91,"$3,084,818,379","$5,054,749,239"
18/02/2021,$14.39,$16.41,$13.88,$16.00,"$1,083,371,438","$3,121,088,214"
17/02/2021,$12.04,$14.50,$11.80,$14.40,"$863,829,726","$2,808,635,407"
16/02/2021,$12.13,$12.44,$11.77,$12.04,"$345,907,763","$2,349,204,334"
15/02/2021,$12.29,$12.38,$11.00,$12.13,"$593,880,782","$2,366,800,860"
14/02/2021,$12.53,$12.55,$11.67,$12.29,"$507,444,924","$2,397,606,955"
13/02/2021,$12.99,$13.20,$12.45,$12.53,"$432,805,374","$2,444,508,149"
12/02/2021,$12.61,$13.44,$12.54,$12.99,"$572,891,541","$2,534,706,701"
