Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$2.64,$2.77,$2.47,$2.56,"$116,431,805","$1,526,858,494"
09/04/2021,$2.49,$2.71,$2.48,$2.64,"$130,692,558","$1,574,809,452"
08/04/2021,$2.32,$2.54,$2.30,$2.49,"$118,811,136","$1,484,529,648"
07/04/2021,$2.49,$2.54,$2.21,$2.31,"$157,437,188","$1,378,913,219"
06/04/2021,$2.54,$2.64,$2.37,$2.49,"$186,670,654","$1,487,754,231"
05/04/2021,$2.68,$2.76,$2.50,$2.54,"$149,969,047","$1,514,335,724"
04/04/2021,$2.53,$2.77,$2.49,$2.68,"$122,508,210","$1,595,550,073"
03/04/2021,$2.81,$2.81,$2.48,$2.53,"$175,888,918","$1,507,391,138"
02/04/2021,$2.88,$2.89,$2.70,$2.81,"$196,822,834","$1,672,958,229"
01/04/2021,$3.12,$3.12,$2.83,$2.88,"$214,604,238","$1,718,546,398"
31/03/2021,$2.71,$3.26,$2.71,$3.12,"$517,399,265","$1,858,184,733"
30/03/2021,$2.59,$2.91,$2.56,$2.72,"$258,448,036","$1,618,574,061"
29/03/2021,$2.39,$2.71,$2.29,$2.60,"$262,563,056","$1,545,238,309"
28/03/2021,$2.21,$2.70,$2.21,$2.39,"$393,205,761","$1,420,176,639"
27/03/2021,$2.06,$2.29,$2.00,$2.21,"$191,336,711","$1,312,746,627"
26/03/2021,$1.84,$2.07,$1.84,$2.06,"$108,363,003","$1,224,304,472"
25/03/2021,$1.95,$1.95,$1.78,$1.84,"$117,156,697","$1,097,115,996"
24/03/2021,$1.91,$2.20,$1.88,$1.93,"$228,960,779","$1,147,432,573"
23/03/2021,$1.88,$1.94,$1.79,$1.91,"$114,265,476","$1,136,613,591"
22/03/2021,$1.95,$2.04,$1.86,$1.88,"$97,687,157","$1,114,723,485"
21/03/2021,$1.94,$1.99,$1.85,$1.95,"$88,014,018","$1,159,450,146"
20/03/2021,$1.99,$2.15,$1.93,$1.94,"$123,339,691","$1,150,006,138"
19/03/2021,$1.88,$2.08,$1.84,$1.99,"$128,826,743","$1,181,145,933"
18/03/2021,$1.90,$2.00,$1.85,$1.88,"$137,996,518","$1,118,378,809"
17/03/2021,$1.93,$1.96,$1.80,$1.90,"$133,091,214","$1,126,058,793"
16/03/2021,$1.96,$2.04,$1.81,$1.93,"$202,969,204","$1,146,770,131"
15/03/2021,$1.75,$2.14,$1.61,$1.97,"$344,462,976","$1,168,611,309"
14/03/2021,$1.84,$1.84,$1.74,$1.76,"$73,601,263","$1,041,538,096"
13/03/2021,$1.80,$1.87,$1.70,$1.85,"$98,887,629","$1,095,853,080"
12/03/2021,$1.89,$1.90,$1.75,$1.80,"$103,633,176","$1,069,215,566"
11/03/2021,$1.86,$1.96,$1.82,$1.89,"$125,648,612","$1,122,290,001"
10/03/2021,$1.99,$1.99,$1.80,$1.86,"$110,717,288","$1,104,115,973"
09/03/2021,$1.90,$2.05,$1.84,$1.99,"$214,488,523","$1,179,060,679"
08/03/2021,$1.98,$2.00,$1.81,$1.89,"$786,381,033","$1,122,744,933"
07/03/2021,$1.85,$1.99,$1.85,$1.98,"$731,733,741","$1,175,399,155"
06/03/2021,$1.87,$1.89,$1.73,$1.84,"$90,550,160","$1,092,389,019"
05/03/2021,$1.96,$1.96,$1.76,$1.87,"$169,810,723","$1,107,636,726"
04/03/2021,$1.78,$2.19,$1.72,$1.96,"$480,487,985","$1,161,674,268"
03/03/2021,$1.66,$1.83,$1.65,$1.78,"$158,757,706","$1,056,221,385"
02/03/2021,$1.68,$1.78,$1.57,$1.66,"$126,535,888","$981,929,337"
01/03/2021,$1.39,$1.72,$1.39,$1.67,"$133,297,573","$987,231,424"
28/02/2021,$1.54,$1.55,$1.31,$1.39,"$121,661,209","$823,342,831"
27/02/2021,$1.49,$1.62,$1.49,$1.54,"$120,530,018","$908,011,838"
26/02/2021,$1.54,$1.64,$1.41,$1.49,"$171,100,607","$878,321,203"
25/02/2021,$1.68,$1.87,$1.54,$1.54,"$204,143,757","$907,852,454"
24/02/2021,$1.45,$1.89,$1.36,$1.68,"$293,872,597","$993,012,823"
23/02/2021,$1.82,$1.83,$1.20,$1.44,"$285,699,952","$851,643,916"
22/02/2021,$2.05,$2.05,$1.51,$1.82,"$328,313,089","$1,074,568,556"
21/02/2021,$2.06,$2.17,$1.97,$2.05,"$206,881,482","$1,207,716,810"
20/02/2021,$2.28,$2.29,$1.98,$2.06,"$222,445,250","$1,217,967,995"
19/02/2021,$2.24,$2.46,$2.11,$2.29,"$344,399,755","$1,349,861,680"
18/02/2021,$1.96,$2.33,$1.81,$2.22,"$394,177,058","$1,309,242,400"
17/02/2021,$1.73,$1.97,$1.64,$1.95,"$260,544,014","$1,143,785,729"
16/02/2021,$1.76,$1.92,$1.60,$1.73,"$313,725,117","$1,010,062,083"
15/02/2021,$1.47,$1.90,$1.23,$1.76,"$465,022,161","$1,031,692,040"
14/02/2021,$1.62,$1.68,$1.40,$1.47,"$159,249,653","$865,728,601"
13/02/2021,$1.44,$1.69,$1.36,$1.62,"$282,910,233","$952,260,489"
12/02/2021,$1.33,$1.52,$1.21,$1.44,"$254,458,670","$846,527,450"
