Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.87,$2.11,$1.86,$2.08,"$294,920,100","$5,773,203,396"
09/04/2021,$1.89,$2.00,$1.86,$1.87,"$238,101,855","$5,198,237,279"
08/04/2021,$1.66,$1.94,$1.65,$1.90,"$283,779,452","$5,276,756,040"
07/04/2021,$1.81,$1.82,$1.58,$1.66,"$167,734,929","$4,606,715,410"
06/04/2021,$1.72,$1.86,$1.67,$1.81,"$212,320,166","$5,031,944,794"
05/04/2021,$1.61,$1.80,$1.57,$1.72,"$247,742,956","$4,793,608,422"
04/04/2021,$1.54,$1.61,$1.52,$1.61,"$80,256,994","$4,469,112,265"
03/04/2021,$1.70,$1.73,$1.54,$1.54,"$113,918,483","$4,284,991,717"
02/04/2021,$1.64,$1.72,$1.60,$1.70,"$127,639,601","$4,729,201,227"
01/04/2021,$1.58,$1.72,$1.58,$1.64,"$164,348,597","$4,558,898,863"
31/03/2021,$1.59,$1.61,$1.49,$1.58,"$134,359,847","$4,389,542,122"
30/03/2021,$1.53,$1.61,$1.49,$1.59,"$139,271,769","$4,419,625,984"
29/03/2021,$1.42,$1.53,$1.39,$1.52,"$139,460,537","$4,215,371,947"
28/03/2021,$1.41,$1.46,$1.40,$1.42,"$102,951,807","$3,946,314,523"
27/03/2021,$1.45,$1.48,$1.37,$1.41,"$117,196,485","$3,909,494,931"
26/03/2021,$1.35,$1.50,$1.35,$1.45,"$154,833,209","$4,041,108,054"
25/03/2021,$1.42,$1.43,$1.30,$1.35,"$187,851,894","$3,748,142,800"
24/03/2021,$1.68,$1.75,$1.37,$1.43,"$249,804,207","$3,972,371,297"
23/03/2021,$1.48,$1.78,$1.47,$1.71,"$608,822,781","$4,751,005,526"
22/03/2021,$1.44,$1.57,$1.38,$1.48,"$234,524,478","$4,101,949,510"
21/03/2021,$1.44,$1.46,$1.37,$1.43,"$115,996,902","$3,986,320,989"
20/03/2021,$1.34,$1.50,$1.34,$1.45,"$202,150,692","$4,023,723,868"
19/03/2021,$1.33,$1.37,$1.31,$1.35,"$66,857,921","$3,742,412,153"
18/03/2021,$1.36,$1.37,$1.27,$1.33,"$78,526,765","$3,699,580,420"
17/03/2021,$1.33,$1.37,$1.30,$1.36,"$91,958,467","$3,780,843,238"
16/03/2021,$1.28,$1.39,$1.27,$1.33,"$115,576,699","$3,693,524,138"
15/03/2021,$1.31,$1.35,$1.22,$1.28,"$131,226,854","$3,558,865,420"
14/03/2021,$1.38,$1.39,$1.31,$1.31,"$68,673,781","$3,654,827,604"
13/03/2021,$1.32,$1.41,$1.28,$1.38,"$100,001,907","$3,830,456,724"
12/03/2021,$1.39,$1.44,$1.28,$1.32,"$155,149,915","$3,681,737,181"
11/03/2021,$1.31,$1.53,$1.27,$1.39,"$249,474,324","$3,866,697,023"
10/03/2021,$1.42,$1.42,$1.30,$1.31,"$119,075,145","$3,645,833,422"
09/03/2021,$1.30,$1.42,$1.29,$1.42,"$136,816,739","$3,950,455,009"
08/03/2021,$1.31,$1.34,$1.29,$1.30,"$98,452,479","$3,610,559,363"
07/03/2021,$1.28,$1.35,$1.27,$1.31,"$107,629,674","$3,650,421,616"
06/03/2021,$1.33,$1.35,$1.28,$1.28,"$139,665,537","$3,561,052,854"
05/03/2021,$1.27,$1.45,$1.20,$1.33,"$408,373,465","$3,697,611,316"
04/03/2021,$1.22,$1.31,$1.17,$1.27,"$221,259,077","$3,531,353,612"
03/03/2021,$1.18,$1.26,$1.18,$1.22,"$114,348,268","$3,377,213,678"
02/03/2021,$1.21,$1.23,$1.13,$1.18,"$111,558,890","$3,289,303,954"
01/03/2021,$1.13,$1.25,$1.12,$1.21,"$108,541,996","$3,366,317,798"
28/02/2021,$1.15,$1.16,$1.03,$1.12,"$106,988,945","$3,112,574,814"
27/02/2021,$1.12,$1.23,$1.12,$1.15,"$126,697,614","$3,199,700,913"
26/02/2021,$1.10,$1.18,$1.02,$1.12,"$132,629,066","$3,102,273,333"
25/02/2021,$1.19,$1.25,$1.09,$1.09,"$152,468,931","$3,034,822,295"
24/02/2021,$1.09,$1.31,$1.03,$1.19,"$279,468,196","$3,320,845,648"
23/02/2021,$1.31,$1.31,$0.8935,$1.09,"$341,557,648","$3,025,508,930"
22/02/2021,$1.40,$1.41,$1.02,$1.31,"$317,231,034","$3,635,600,816"
21/02/2021,$1.38,$1.46,$1.34,$1.40,"$156,950,114","$3,897,605,146"
20/02/2021,$1.49,$1.55,$1.31,$1.38,"$255,013,928","$3,844,572,225"
19/02/2021,$1.49,$1.58,$1.41,$1.49,"$342,322,930","$4,131,112,411"
18/02/2021,$1.30,$1.56,$1.28,$1.48,"$408,335,245","$4,102,784,225"
17/02/2021,$1.26,$1.33,$1.19,$1.30,"$235,064,889","$3,609,049,833"
16/02/2021,$1.27,$1.38,$1.22,$1.26,"$333,511,577","$3,494,094,295"
15/02/2021,$1.19,$1.38,$0.9745,$1.27,"$496,828,062","$3,536,837,165"
14/02/2021,$1.31,$1.32,$1.14,$1.19,"$247,297,194","$3,304,192,079"
13/02/2021,$1.24,$1.41,$1.20,$1.31,"$354,775,523","$3,638,695,876"
12/02/2021,$1.17,$1.28,$1.09,$1.24,"$376,795,724","$3,434,230,112"
