Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$4.08,$4.38,$3.77,$4.04,"$506,225,987","$9,882,515,378"
01/04/2021,$4.11,$4.22,$4.01,$4.08,"$543,970,797","$9,996,501,148"
31/03/2021,$4.25,$4.27,$4.00,$4.11,"$340,452,138","$10,071,896,809"
30/03/2021,$4.26,$4.36,$4.08,$4.25,"$300,708,694","$10,392,532,067"
29/03/2021,$3.72,$4.28,$3.72,$4.26,"$276,313,426","$10,428,604,925"
28/03/2021,$3.41,$3.73,$3.38,$3.72,"$215,136,654","$9,105,701,309"
27/03/2021,$3.28,$3.46,$3.14,$3.41,"$318,563,133","$8,351,959,660"
26/03/2021,$2.83,$3.31,$2.82,$3.29,"$182,742,869","$8,048,669,131"
25/03/2021,$2.91,$2.98,$2.79,$2.83,"$106,863,456","$6,924,313,424"
24/03/2021,$2.99,$3.07,$2.85,$2.92,"$155,932,191",$0
23/03/2021,$2.99,$3.05,$2.69,$2.98,"$151,667,836",$0
22/03/2021,$3.10,$3.11,$2.97,$3.00,"$100,874,334",$0
21/03/2021,$3.05,$3.15,$2.99,$3.10,"$108,070,158",$0
20/03/2021,$3.16,$3.19,$3.05,$3.05,"$80,704,605",$0
19/03/2021,$3.12,$3.25,$3.09,$3.16,"$126,213,848",$0
18/03/2021,$3.26,$3.29,$3.13,$3.13,"$82,794,999",$0
17/03/2021,$3.24,$3.33,$2.80,$3.26,"$241,709,414",$0
16/03/2021,$3.33,$3.44,$3.09,$3.23,"$241,194,831",$0
15/03/2021,$2.76,$3.44,$2.56,$3.35,"$410,055,811",$0
14/03/2021,$2.52,$2.80,$2.49,$2.77,"$150,066,125",$0
13/03/2021,$2.38,$2.63,$2.30,$2.52,"$187,576,566",$0
12/03/2021,$1.79,$2.40,$1.79,$2.33,"$102,314,241",$0
11/03/2021,$1.73,$1.85,$1.64,$1.79,"$107,095,489",$0
10/03/2021,$1.61,$1.73,$1.57,$1.73,"$86,187,915",$0
09/03/2021,$1.58,$1.61,$1.57,$1.61,"$52,265,931",$0
08/03/2021,$1.59,$1.61,$1.52,$1.58,"$46,789,851",$0
07/03/2021,$1.56,$1.63,$1.54,$1.59,"$83,367,290",$0
06/03/2021,$1.42,$1.57,$1.42,$1.56,"$67,417,206",$0
05/03/2021,$1.42,$1.43,$1.39,$1.42,"$36,618,969",$0
04/03/2021,$1.46,$1.47,$1.41,$1.42,"$38,067,864",$0
03/03/2021,$1.47,$1.51,$1.39,$1.46,"$55,246,722",$0
02/03/2021,$1.51,$1.55,$1.42,$1.46,"$50,383,629",$0
01/03/2021,$1.38,$1.51,$1.33,$1.50,"$67,480,113",$0
28/02/2021,$1.50,$1.51,$1.23,$1.37,"$112,214,957",$0
27/02/2021,$1.52,$1.54,$1.49,$1.50,"$34,992,368",$0
26/02/2021,$1.53,$1.56,$1.49,$1.52,"$59,953,607",$0
25/02/2021,$1.64,$1.65,$1.53,$1.53,"$76,093,738",$0
24/02/2021,$1.64,$1.73,$1.55,$1.64,"$114,051,548",$0
23/02/2021,$1.84,$1.85,$1.38,$1.63,"$252,862,124",$0
22/02/2021,$1.43,$1.85,$1.41,$1.84,"$264,866,829",$0
21/02/2021,$1.34,$1.46,$1.28,$1.43,"$77,118,850",$0
20/02/2021,$1.16,$1.45,$1.16,$1.34,"$118,266,844",$0
19/02/2021,$1.24,$1.25,$1.13,$1.16,"$60,300,630",$0
18/02/2021,$1.14,$1.35,$1.03,$1.23,"$154,010,103",$0
17/02/2021,$0.7444,$1.19,$0.7361,$1.14,"$138,487,145",$0
16/02/2021,$0.6493,$0.7629,$0.6476,$0.7629,"$33,642,059",$0
15/02/2021,$0.6547,$0.6659,$0.6219,$0.6495,"$22,023,767",$0
14/02/2021,$0.6513,$0.6784,$0.636,$0.6553,"$25,274,812",$0
13/02/2021,$0.6055,$0.6535,$0.6033,$0.6524,"$25,921,627",$0
12/02/2021,$0.6003,$0.6105,$0.5888,$0.6047,"$13,536,728",$0
11/02/2021,$0.5977,$0.6034,$0.5887,$0.5999,"$12,760,347",$0
10/02/2021,$0.5662,$0.6029,$0.5645,$0.5976,"$21,074,724",$0
09/02/2021,$0.547,$0.5746,$0.5451,$0.5661,"$18,001,909",$0
08/02/2021,$0.5461,$0.5494,$0.5405,$0.5472,"$11,992,831",$0
07/02/2021,$0.5511,$0.5526,$0.5399,$0.5461,"$9,812,559",$0
06/02/2021,$0.5612,$0.563,$0.5451,$0.5511,"$10,024,674",$0
05/02/2021,$0.5335,$0.5623,$0.5328,$0.5611,"$14,141,431",$0
04/02/2021,$0.5436,$0.5446,$0.5278,$0.5334,"$7,646,017",$0
