Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$17.17,$20.00,$16.06,$17.77,"$230,590,134","$1,423,685,965"
09/04/2021,$13.79,$17.49,$12.65,$17.08,"$199,788,049","$1,368,709,507"
08/04/2021,$10.52,$14.01,$10.37,$13.82,"$102,814,292","$1,106,867,258"
07/04/2021,$11.17,$12.75,$8.58,$10.63,"$177,319,434","$851,719,177"
06/04/2021,$9.40,$11.49,$8.54,$11.15,"$101,382,299","$892,962,387"
05/04/2021,$7.48,$9.40,$6.98,$9.40,"$79,987,084","$753,072,164"
04/04/2021,$6.49,$7.51,$6.24,$7.48,"$30,362,700","$598,978,286"
03/04/2021,$7.23,$7.52,$6.29,$6.51,"$36,675,476","$521,220,422"
02/04/2021,$6.47,$7.41,$6.20,$7.24,"$50,365,095","$579,807,489"
01/04/2021,$5.26,$6.60,$5.25,$6.57,"$40,934,247","$526,543,944"
31/03/2021,$5.20,$5.26,$4.93,$5.26,"$13,367,661","$421,442,218"
30/03/2021,$5.12,$5.27,$5.05,$5.20,"$11,056,498","$416,651,094"
29/03/2021,$4.94,$5.19,$4.88,$5.11,"$12,358,684","$409,751,457"
28/03/2021,$4.90,$5.01,$4.82,$4.94,"$10,416,969","$395,442,021"
27/03/2021,$4.97,$5.02,$4.78,$4.92,"$12,443,456","$393,828,306"
26/03/2021,$4.40,$4.97,$4.40,$4.97,"$13,020,411","$398,397,163"
25/03/2021,$4.58,$4.58,$4.22,$4.40,"$15,165,427","$352,486,661"
24/03/2021,$4.90,$5.12,$4.13,$4.58,"$21,783,020","$366,816,340"
23/03/2021,$4.93,$5.10,$4.75,$4.90,"$13,179,192","$392,263,398"
22/03/2021,$5.04,$5.27,$4.87,$4.93,"$15,638,343","$395,307,113"
21/03/2021,$4.92,$5.21,$4.75,$5.03,"$14,227,845","$403,238,160"
20/03/2021,$4.96,$5.29,$4.90,$4.93,"$17,006,093","$395,073,883"
19/03/2021,$4.73,$5.12,$4.65,$4.97,"$15,814,271","$398,086,497"
18/03/2021,$4.80,$4.99,$4.69,$4.74,"$13,637,047","$379,687,137"
17/03/2021,$4.63,$4.80,$4.54,$4.80,"$10,427,533","$384,668,797"
16/03/2021,$4.61,$4.71,$4.41,$4.63,"$14,362,455","$371,091,182"
15/03/2021,$4.81,$4.94,$4.57,$4.62,"$15,484,974","$370,100,847"
14/03/2021,$5.22,$5.22,$4.77,$4.81,"$15,099,881","$385,526,860"
13/03/2021,$4.64,$5.23,$4.34,$5.23,"$20,076,893","$418,909,290"
12/03/2021,$4.92,$4.94,$4.51,$4.64,"$17,414,699","$371,633,306"
11/03/2021,$4.91,$5.03,$4.63,$4.92,"$18,794,447","$394,224,279"
10/03/2021,$5.26,$5.33,$4.72,$4.92,"$26,197,186","$394,136,198"
09/03/2021,$4.60,$5.33,$4.56,$5.26,"$25,121,226","$421,054,327"
08/03/2021,$4.69,$4.80,$4.40,$4.60,"$14,199,977","$368,430,316"
07/03/2021,$4.30,$4.80,$4.28,$4.71,"$16,966,366","$377,003,815"
06/03/2021,$4.34,$4.50,$4.16,$4.29,"$10,126,698","$343,929,181"
05/03/2021,$4.55,$4.55,$4.04,$4.34,"$14,532,641","$347,880,278"
04/03/2021,$4.84,$4.93,$4.39,$4.55,"$15,314,842","$364,528,818"
03/03/2021,$4.57,$4.99,$4.54,$4.85,"$15,288,790","$388,611,032"
02/03/2021,$4.99,$5.08,$4.35,$4.57,"$22,695,115","$365,840,945"
01/03/2021,$4.13,$5.17,$4.13,$4.99,"$33,833,345","$399,599,299"
28/02/2021,$4.76,$4.78,$3.51,$4.13,"$32,751,245","$330,647,768"
27/02/2021,$4.72,$4.99,$4.65,$4.75,"$16,550,061","$380,289,734"
26/02/2021,$4.76,$5.10,$4.52,$4.72,"$25,670,786","$377,982,252"
25/02/2021,$5.40,$5.56,$4.78,$4.78,"$26,352,453","$382,833,389"
24/02/2021,$5.05,$5.59,$4.84,$5.40,"$35,191,364","$432,918,054"
23/02/2021,$5.96,$6.15,$4.21,$5.05,"$76,159,632","$404,802,144"
22/02/2021,$6.65,$6.70,$4.27,$5.97,"$135,086,571","$478,601,357"
21/02/2021,$4.39,$6.90,$4.14,$6.53,"$19,008,105","$523,048,471"
20/02/2021,$3.79,$4.90,$3.60,$4.37,"$62,643,031","$350,418,625"
19/02/2021,$2.67,$3.93,$2.66,$3.80,"$50,889,643","$304,631,393"
18/02/2021,$2.49,$2.79,$2.41,$2.67,"$18,817,794","$214,108,314"
17/02/2021,$2.22,$2.60,$2.10,$2.49,"$17,313,862","$199,293,506"
16/02/2021,$2.32,$2.35,$2.17,$2.22,"$12,946,714","$177,652,518"
15/02/2021,$2.50,$2.51,$2.10,$2.32,"$17,389,688","$186,135,636"
14/02/2021,$2.71,$2.73,$2.38,$2.50,"$19,005,613","$200,693,126"
13/02/2021,$2.58,$2.81,$2.57,$2.71,"$21,876,631","$216,752,216"
12/02/2021,$2.47,$2.59,$2.24,$2.58,"$23,114,289","$206,581,846"
