Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,"$2,223.28","$2,341.68","$2,177.13","$2,231.51","$127,851,842","$2,220,889,632"
09/04/2021,"$2,201.36","$2,281.89","$2,173.66","$2,224.55","$92,404,316","$2,213,954,142"
08/04/2021,"$2,110.04","$2,230.43","$2,082.72","$2,201.72","$96,354,239","$2,191,235,746"
07/04/2021,"$2,293.50","$2,349.76","$2,026.51","$2,103.18","$147,498,156","$2,093,168,888"
06/04/2021,"$2,327.49","$2,346.36","$2,189.98","$2,295.12","$117,312,912","$2,284,190,739"
05/04/2021,"$2,308.79","$2,364.25","$2,202.28","$2,328.59","$93,222,670","$2,317,499,055"
04/04/2021,"$2,236.48","$2,347.72","$2,227.89","$2,308.02","$104,507,609","$2,297,031,463"
03/04/2021,"$2,480.89","$2,553.02","$2,226.76","$2,237.21","$144,097,469","$2,226,562,027"
02/04/2021,"$2,296.46","$2,563.73","$2,275.12","$2,483.64","$194,064,040","$2,471,818,236"
01/04/2021,"$2,103.30","$2,360.14","$2,103.30","$2,302.54","$159,875,731","$2,291,579,038"
31/03/2021,"$2,082.05","$2,129.71","$2,031.51","$2,103.51","$70,481,600","$2,093,490,598"
30/03/2021,"$2,089.98","$2,149.28","$2,073.38","$2,082.05","$64,516,025","$2,072,140,344"
29/03/2021,"$2,062.15","$2,128.21","$2,037.42","$2,090.22","$66,986,853","$2,080,264,717"
28/03/2021,"$2,145.50","$2,149.05","$2,027.79","$2,063.13","$85,592,692","$2,053,303,367"
27/03/2021,"$1,982.19","$2,224.73","$1,961.19","$2,146.17","$180,843,951","$2,135,952,427"
26/03/2021,"$1,890.80","$1,993.82","$1,890.80","$1,982.31","$73,439,409","$1,972,869,939"
25/03/2021,"$1,825.31","$1,931.61","$1,806.95","$1,890.32","$109,058,791","$1,881,323,186"
24/03/2021,"$2,014.63","$2,068.04","$1,799.21","$1,826.34","$85,175,904","$1,817,640,375"
23/03/2021,"$1,976.10","$2,025.49","$1,914.60","$2,017.28","$86,107,475","$2,007,680,103"
22/03/2021,"$2,104.68","$2,115.84","$1,963.21","$1,976.52","$82,684,664","$1,967,104,891"
21/03/2021,"$2,140.49","$2,164.10","$2,072.35","$2,103.98","$74,760,853","$2,093,966,098"
20/03/2021,"$2,105.34","$2,249.65","$2,100.67","$2,140.34","$113,820,252","$2,130,146,965"
19/03/2021,"$2,113.08","$2,136.13","$2,068.25","$2,105.64","$73,080,081","$2,095,615,103"
18/03/2021,"$2,106.39","$2,177.96","$2,100.48","$2,112.71","$82,763,434","$2,102,652,793"
17/03/2021,"$2,066.75","$2,163.76","$2,031.08","$2,107.91","$74,491,833","$2,097,872,287"
16/03/2021,"$1,995.63","$2,099.31","$1,940.30","$2,067.21","$89,134,514","$2,057,365,544"
15/03/2021,"$2,056.18","$2,095.97","$1,945.36","$1,995.93","$99,094,945","$1,986,423,748"
14/03/2021,"$2,174.72","$2,194.70","$2,057.50","$2,057.50","$89,257,574","$2,047,700,500"
13/03/2021,"$2,139.14","$2,219.77","$2,089.70","$2,175.57","$90,461,070","$2,165,209,635"
12/03/2021,"$2,227.29","$2,283.81","$2,102.42","$2,139.25","$99,556,903","$2,129,061,819"
11/03/2021,"$2,255.33","$2,279.80","$2,122.15","$2,227.02","$100,396,570","$2,216,415,155"
10/03/2021,"$2,258.72","$2,317.51","$2,177.66","$2,256.74","$112,379,851","$2,245,997,047"
09/03/2021,"$2,188.17","$2,266.39","$2,140.26","$2,258.47","$103,779,139","$2,247,717,271"
08/03/2021,"$2,231.83","$2,248.17","$2,067.70","$2,188.54","$115,338,460","$2,178,120,556"
07/03/2021,"$2,237.98","$2,251.68","$2,161.09","$2,231.46","$68,740,697","$2,220,835,807"
06/03/2021,"$2,062.80","$2,310.17","$2,048.97","$2,237.46","$112,235,172","$2,226,807,085"
05/03/2021,"$2,198.55","$2,198.55","$2,049.37","$2,063.33","$65,955,784","$2,053,501,853"
04/03/2021,"$2,198.19","$2,232.43","$2,052.62","$2,199.04","$98,564,483","$2,188,568,761"
03/03/2021,"$2,172.65","$2,359.74","$2,162.15","$2,198.98","$80,078,311","$2,188,505,693"
02/03/2021,"$2,172.89","$2,290.44","$2,099.76","$2,173.16","$80,878,871","$2,162,813,704"
01/03/2021,"$2,030.19","$2,252.86","$2,029.07","$2,172.82","$107,348,787","$2,162,475,756"
28/02/2021,"$1,979.36","$2,066.38","$1,798.53","$2,029.31","$101,657,179","$2,019,648,779"
27/02/2021,"$1,954.58","$2,077.76","$1,946.45","$1,979.73","$73,081,045","$1,970,301,909"
26/02/2021,"$2,035.04","$2,125.76","$1,895.57","$1,953.70","$90,653,631","$1,944,398,551"
25/02/2021,"$2,233.63","$2,328.99","$2,025.66","$2,033.24","$95,137,215","$2,023,559,863"
24/02/2021,"$2,225.60","$2,413.85","$2,166.57","$2,233.77","$119,265,499","$2,223,352,977"
23/02/2021,"$2,376.86","$2,379.02","$1,786.40","$2,219.51","$256,093,857","$2,209,489,848"
22/02/2021,"$2,616.30","$2,616.91","$2,091.83","$2,377.04","$165,341,917","$2,366,800,539"
21/02/2021,"$2,604.33","$2,725.82","$2,554.10","$2,616.08","$120,978,843","$2,604,810,012"
20/02/2021,"$2,567.22","$3,041.57","$2,505.79","$2,606.13","$272,668,190","$2,594,903,042"
19/02/2021,"$2,625.25","$2,665.06","$2,519.14","$2,567.43","$113,248,750","$2,556,365,192"
18/02/2021,"$2,609.13","$2,696.70","$2,550.51","$2,625.19","$122,682,833","$2,613,884,291"
17/02/2021,"$2,488.51","$2,612.64","$2,376.99","$2,607.96","$151,408,087","$2,596,728,521"
16/02/2021,"$2,464.36","$2,587.99","$2,421.02","$2,488.56","$152,530,221","$2,477,837,274"
15/02/2021,"$2,524.22","$2,595.43","$2,231.12","$2,466.89","$198,332,644","$2,456,262,361"
14/02/2021,"$2,595.43","$2,662.10","$2,487.51","$2,526.09","$175,933,475","$2,515,203,238"
13/02/2021,"$2,741.47","$2,787.05","$2,548.93","$2,596.91","$222,854,450","$2,585,718,498"
12/02/2021,"$2,544.76","$2,812.10","$2,524.40","$2,743.64","$318,018,130","$2,731,816,717"
