Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$6.43,$6.73,$6.31,$6.51,"$85,380,974","$2,247,888,652"
09/04/2021,$6.77,$6.91,$6.33,$6.42,"$63,450,084","$2,211,730,365"
08/04/2021,$6.13,$6.84,$6.04,$6.69,"$126,721,020","$2,297,066,154"
07/04/2021,$6.77,$6.98,$5.74,$6.12,"$158,300,405","$2,095,188,270"
06/04/2021,$6.13,$7.33,$6.13,$6.79,"$239,363,320","$2,318,004,013"
05/04/2021,$6.11,$6.30,$5.87,$6.13,"$75,719,253","$2,085,334,323"
04/04/2021,$5.71,$6.13,$5.63,$6.10,"$64,729,389","$2,068,008,242"
03/04/2021,$5.99,$6.40,$5.61,$5.71,"$91,951,539","$1,931,918,047"
02/04/2021,$5.98,$6.16,$5.89,$6.00,"$60,685,434","$2,023,055,098"
01/04/2021,$6.00,$6.27,$5.86,$5.99,"$83,417,507","$2,012,408,731"
31/03/2021,$6.36,$6.40,$5.74,$6.00,"$79,675,213","$2,009,305,219"
30/03/2021,$5.81,$6.66,$5.74,$6.36,"$162,511,566","$2,123,442,307"
29/03/2021,$5.61,$5.93,$5.52,$5.82,"$73,924,408","$1,938,398,086"
28/03/2021,$5.33,$5.98,$5.28,$5.60,"$87,612,280","$1,859,971,454"
27/03/2021,$5.49,$5.65,$5.26,$5.33,"$61,571,260","$1,764,686,112"
26/03/2021,$4.82,$5.57,$4.82,$5.49,"$73,843,440","$1,809,913,812"
25/03/2021,$4.87,$5.09,$4.49,$4.82,"$74,867,881","$1,586,689,091"
24/03/2021,$5.32,$5.68,$4.84,$4.88,"$81,216,206","$1,599,620,435"
23/03/2021,$5.42,$5.84,$5.14,$5.34,"$82,197,855","$1,744,328,568"
22/03/2021,$6.05,$6.05,$5.32,$5.45,"$80,200,143","$1,774,204,549"
21/03/2021,$6.29,$6.32,$5.81,$6.05,"$81,791,868","$1,963,466,059"
20/03/2021,$6.19,$6.60,$6.15,$6.29,"$74,291,992","$2,035,553,184"
19/03/2021,$6.06,$6.43,$5.89,$6.19,"$73,472,881","$1,999,039,449"
18/03/2021,$6.23,$6.57,$6.02,$6.07,"$91,784,285","$1,950,988,012"
17/03/2021,$6.39,$6.42,$5.97,$6.25,"$90,496,936","$2,005,358,265"
16/03/2021,$5.90,$6.86,$5.61,$6.38,"$155,210,650","$2,040,581,905"
15/03/2021,$6.62,$6.85,$5.88,$5.90,"$158,744,170","$1,880,716,327"
14/03/2021,$7.38,$7.40,$6.63,$6.63,"$145,261,945","$2,106,220,748"
13/03/2021,$6.93,$7.57,$6.55,$7.41,"$213,444,641","$2,345,730,603"
12/03/2021,$6.05,$7.43,$5.93,$6.95,"$352,373,307","$2,191,992,893"
11/03/2021,$5.32,$6.28,$5.12,$6.04,"$235,149,342","$1,897,496,142"
10/03/2021,$5.41,$6.03,$4.93,$5.32,"$260,458,909","$1,665,857,751"
09/03/2021,$4.57,$5.77,$4.57,$5.43,"$226,275,939","$1,693,498,085"
08/03/2021,$4.28,$4.62,$4.14,$4.57,"$65,930,575","$1,421,273,743"
07/03/2021,$4.05,$4.40,$4.05,$4.28,"$47,251,251","$1,325,084,976"
06/03/2021,$4.17,$4.25,$3.94,$4.05,"$40,698,384","$1,250,291,356"
05/03/2021,$4.52,$4.55,$4.07,$4.18,"$75,230,256","$1,283,860,826"
04/03/2021,$4.18,$4.65,$4.13,$4.45,"$116,659,047","$1,361,185,947"
03/03/2021,$4.04,$4.30,$4.01,$4.19,"$51,661,172","$1,278,965,823"
02/03/2021,$4.20,$4.24,$3.88,$4.04,"$56,279,056","$1,228,012,670"
01/03/2021,$3.82,$4.30,$3.81,$4.20,"$69,932,880","$1,270,555,189"
28/02/2021,$4.01,$4.01,$3.45,$3.81,"$91,631,823","$1,148,611,753"
27/02/2021,$4.23,$4.43,$3.91,$4.01,"$73,453,021","$1,204,106,747"
26/02/2021,$3.89,$4.84,$3.80,$4.22,"$229,314,549","$1,263,193,814"
25/02/2021,$3.59,$4.67,$3.47,$3.87,"$139,316,711","$1,153,403,056"
24/02/2021,$3.37,$3.65,$3.18,$3.60,"$71,158,607","$1,069,243,964"
23/02/2021,$3.73,$3.75,$2.67,$3.36,"$147,446,957","$994,199,865"
22/02/2021,$4.09,$4.09,$2.99,$3.73,"$120,864,499","$1,099,592,458"
21/02/2021,$4.01,$4.19,$3.87,$4.10,"$63,841,419","$1,204,427,253"
20/02/2021,$4.38,$4.73,$3.75,$4.02,"$104,327,572","$1,176,762,832"
19/02/2021,$4.44,$4.52,$4.11,$4.38,"$83,495,085","$1,276,497,813"
18/02/2021,$4.23,$4.65,$4.04,$4.44,"$81,784,473","$1,289,226,886"
17/02/2021,$4.08,$4.38,$3.84,$4.23,"$81,244,322","$1,221,367,600"
16/02/2021,$4.01,$4.44,$3.87,$4.07,"$83,436,962","$1,172,003,714"
15/02/2021,$4.32,$4.38,$3.52,$4.02,"$90,419,157","$1,151,612,014"
14/02/2021,$4.82,$4.85,$4.16,$4.33,"$93,946,377","$1,236,685,011"
13/02/2021,$4.72,$5.53,$4.54,$4.81,"$216,219,956","$1,367,954,655"
12/02/2021,$3.45,$4.94,$3.42,$4.70,"$218,674,388","$1,331,077,032"
