Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$0.381,$0.3918,$0.3724,$0.3823,"$326,485,211","$3,440,972,557"
01/04/2021,$0.383,$0.3889,$0.372,$0.3806,"$287,304,381","$3,424,999,330"
31/03/2021,$0.3951,$0.3963,$0.366,$0.383,"$347,426,632","$3,446,964,547"
30/03/2021,$0.3834,$0.4055,$0.3834,$0.3946,"$367,578,694","$3,551,419,235"
29/03/2021,$0.3702,$0.3887,$0.3621,$0.3834,"$294,309,825","$3,450,157,809"
28/03/2021,$0.3527,$0.3756,$0.3482,$0.3702,"$305,059,407","$3,331,846,031"
27/03/2021,$0.3529,$0.3568,$0.3418,$0.3524,"$183,396,834","$3,171,369,028"
26/03/2021,$0.3304,$0.3588,$0.3303,$0.3529,"$225,381,955","$3,175,774,048"
25/03/2021,$0.3431,$0.3479,$0.323,$0.3305,"$227,260,955","$2,974,330,947"
24/03/2021,$0.3686,$0.3779,$0.3378,$0.3434,"$268,069,310","$3,090,976,717"
23/03/2021,$0.3673,$0.3802,$0.3571,$0.3689,"$244,250,165","$3,320,054,718"
22/03/2021,$0.3726,$0.4006,$0.3527,$0.3669,"$405,004,499","$3,301,821,067"
21/03/2021,$0.3699,$0.3785,$0.3508,$0.3727,"$238,258,992","$3,354,260,222"
20/03/2021,$0.3842,$0.3916,$0.3689,$0.3689,"$278,240,360","$3,320,204,299"
19/03/2021,$0.3786,$0.398,$0.3694,$0.3839,"$335,595,926","$3,455,119,601"
18/03/2021,$0.3959,$0.398,$0.3521,$0.3787,"$291,368,258","$3,408,603,207"
17/03/2021,$0.3934,$0.4068,$0.3684,$0.3965,"$470,913,790","$3,568,867,789"
16/03/2021,$0.3722,$0.4188,$0.351,$0.3933,"$661,059,616","$3,539,640,387"
15/03/2021,$0.3312,$0.3797,$0.3259,$0.374,"$637,645,156","$3,366,120,030"
14/03/2021,$0.3621,$0.3654,$0.332,$0.332,"$320,702,965","$2,988,368,370"
13/03/2021,$0.3848,$0.3894,$0.3516,$0.3622,"$632,004,372","$3,259,581,663"
12/03/2021,$0.5874,$0.5877,$0.3251,$0.3847,"$1,620,692,837","$3,462,513,731"
11/03/2021,$0.6075,$0.6278,$0.5605,$0.5871,"$576,926,296","$5,284,132,461"
10/03/2021,$0.7004,$0.7004,$0.55,$0.6088,"$981,765,355","$5,478,754,826"
09/03/2021,$0.7084,$0.7237,$0.6905,$0.7009,"$933,442,284","$6,307,930,259"
08/03/2021,$0.7089,$0.7158,$0.6736,$0.7084,"$589,564,904","$6,375,733,354"
07/03/2021,$0.7409,$0.7533,$0.7063,$0.7082,"$417,589,470","$6,373,778,997"
06/03/2021,$0.7237,$0.7997,$0.708,$0.7432,"$695,289,815","$6,688,624,641"
05/03/2021,$0.7011,$0.7365,$0.648,$0.726,"$637,569,496","$6,534,249,696"
04/03/2021,$0.7924,$0.8011,$0.6714,$0.6985,"$575,736,267","$6,286,163,911"
03/03/2021,$0.7651,$0.8652,$0.7638,$0.7953,"$1,266,310,958","$7,157,425,656"
02/03/2021,$0.6565,$0.7746,$0.6362,$0.7729,"$1,013,982,342","$6,955,755,706"
01/03/2021,$0.608,$0.6797,$0.587,$0.6626,"$577,232,987","$5,963,062,022"
28/02/2021,$0.583,$0.6217,$0.5317,$0.6041,"$672,923,921","$5,437,313,057"
27/02/2021,$0.5136,$0.6184,$0.5095,$0.5816,"$564,420,568","$5,234,123,240"
26/02/2021,$0.4981,$0.5613,$0.4359,$0.5166,"$679,163,817","$4,649,175,915"
25/02/2021,$0.5349,$0.5402,$0.4936,$0.4953,"$270,798,457","$4,457,606,900"
24/02/2021,$0.5385,$0.5661,$0.4986,$0.5346,"$625,687,452","$4,811,729,378"
23/02/2021,$0.7079,$0.7362,$0.4488,$0.5362,"$1,941,562,764","$4,825,835,547"
22/02/2021,$0.5664,$0.7476,$0.4755,$0.6963,"$1,230,907,415","$6,266,980,626"
21/02/2021,$0.5082,$0.5775,$0.4999,$0.5665,"$273,784,414","$5,098,805,951"
20/02/2021,$0.5231,$0.5584,$0.4779,$0.5088,"$326,594,956","$4,579,197,558"
19/02/2021,$0.4361,$0.5265,$0.415,$0.5243,"$386,602,749","$4,718,974,521"
18/02/2021,$0.3966,$0.4363,$0.3956,$0.4363,"$229,867,719","$3,926,610,412"
17/02/2021,$0.3803,$0.4024,$0.3668,$0.3967,"$149,407,024","$3,570,096,214"
16/02/2021,$0.3824,$0.3952,$0.3673,$0.3805,"$148,168,088","$3,424,668,123"
15/02/2021,$0.3688,$0.4019,$0.3257,$0.3823,"$241,500,663","$3,441,041,923"
14/02/2021,$0.3981,$0.3994,$0.3578,$0.3696,"$195,089,521","$3,326,718,595"
13/02/2021,$0.3988,$0.413,$0.3738,$0.3979,"$258,674,397","$3,581,044,572"
12/02/2021,$0.398,$0.4107,$0.3784,$0.3992,"$221,645,250","$3,592,437,773"
