Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$52.91,$55.49,$51.66,$53.35,"$954,542,096","$3,763,346,793"
01/04/2021,$50.86,$54.04,$50.81,$52.97,"$1,428,270,674","$3,736,637,670"
31/03/2021,$45.02,$52.22,$43.34,$50.81,"$1,531,434,094","$3,584,335,936"
30/03/2021,$45.59,$46.08,$44.32,$45.02,"$591,278,786","$3,175,680,161"
29/03/2021,$44.83,$46.37,$43.55,$45.59,"$747,289,005","$3,215,777,334"
28/03/2021,$41.24,$45.01,$41.11,$44.84,"$1,065,606,459","$3,162,981,776"
27/03/2021,$41.74,$42.69,$40.50,$41.24,"$615,431,028","$2,908,708,863"
26/03/2021,$38.92,$42.00,$38.88,$41.74,"$612,775,077","$2,944,127,197"
25/03/2021,$39.91,$41.04,$38.08,$38.93,"$732,209,968","$2,745,990,824"
24/03/2021,$41.26,$45.28,$38.91,$39.93,"$1,026,323,869","$2,816,624,725"
23/03/2021,$40.97,$42.41,$40.41,$41.26,"$764,815,960","$2,910,445,141"
22/03/2021,$42.54,$44.16,$40.69,$40.97,"$765,224,635","$2,890,127,169"
21/03/2021,$43.16,$43.74,$41.35,$42.54,"$628,815,378","$3,000,501,578"
20/03/2021,$44.23,$45.52,$43.14,$43.14,"$624,969,772","$3,043,164,788"
19/03/2021,$43.74,$45.61,$42.74,$44.23,"$685,265,259","$3,120,099,908"
18/03/2021,$46.06,$47.69,$43.55,$43.75,"$992,444,669","$3,085,844,825"
17/03/2021,$40.88,$46.05,$40.41,$46.05,"$1,441,145,222","$3,248,461,895"
16/03/2021,$38.77,$40.89,$37.60,$40.89,"$717,751,978","$2,884,000,312"
15/03/2021,$39.80,$40.85,$37.43,$38.78,"$775,300,526","$2,735,290,756"
14/03/2021,$42.00,$42.78,$39.81,$39.81,"$684,113,857","$2,808,283,278"
13/03/2021,$39.89,$42.45,$38.54,$42.00,"$778,001,153","$2,962,697,901"
12/03/2021,$41.79,$41.99,$38.97,$39.89,"$728,134,064","$2,813,645,146"
11/03/2021,$40.90,$42.60,$39.25,$41.78,"$762,752,864","$2,946,947,766"
10/03/2021,$42.65,$42.99,$40.15,$40.91,"$837,725,649","$2,885,553,554"
09/03/2021,$40.03,$42.88,$39.66,$42.65,"$834,124,790","$3,008,593,045"
08/03/2021,$39.27,$40.02,$37.90,$40.02,"$633,208,025","$2,823,170,393"
07/03/2021,$38.06,$39.30,$38.02,$39.27,"$542,345,515","$2,770,394,421"
06/03/2021,$37.53,$38.47,$36.65,$38.06,"$561,377,627","$2,684,820,290"
05/03/2021,$37.96,$38.06,$35.88,$37.54,"$721,060,001","$2,647,771,508"
04/03/2021,$39.75,$40.91,$36.84,$37.96,"$795,239,774","$2,678,001,006"
03/03/2021,$37.67,$41.26,$37.46,$39.76,"$893,222,244","$2,804,597,112"
02/03/2021,$38.14,$39.50,$36.20,$37.67,"$782,221,652","$2,657,230,352"
01/03/2021,$35.11,$38.76,$35.11,$38.15,"$864,930,653","$2,690,750,835"
28/02/2021,$37.34,$37.45,$32.01,$35.09,"$964,628,015","$2,475,288,127"
27/02/2021,$37.65,$39.46,$36.59,$37.34,"$768,071,378","$2,633,689,333"
26/02/2021,$38.34,$39.74,$35.33,$37.64,"$1,158,416,312","$2,655,205,655"
25/02/2021,$40.70,$42.83,$38.26,$38.32,"$1,064,640,476","$2,702,961,571"
24/02/2021,$38.53,$44.04,$37.03,$40.70,"$1,500,823,174","$2,871,009,511"
23/02/2021,$47.03,$47.16,$32.12,$38.52,"$2,054,924,678","$2,717,106,261"
22/02/2021,$54.62,$55.28,$41.67,$47.04,"$2,205,914,900","$3,318,253,596"
21/02/2021,$44.03,$54.94,$42.95,$54.61,"$2,734,374,270","$3,851,922,298"
20/02/2021,$47.89,$49.84,$41.87,$44.06,"$1,389,656,551","$3,107,752,193"
19/02/2021,$44.00,$49.40,$42.20,$47.90,"$1,698,129,766","$3,378,567,157"
18/02/2021,$42.52,$44.81,$42.19,$43.99,"$1,081,106,080","$3,102,984,379"
17/02/2021,$40.96,$43.74,$38.86,$42.52,"$1,668,883,398","$2,998,990,829"
16/02/2021,$41.48,$44.33,$39.61,$40.96,"$1,955,672,376","$2,889,087,479"
15/02/2021,$44.40,$45.31,$37.79,$41.50,"$2,556,989,308","$2,927,051,168"
14/02/2021,$42.32,$47.11,$40.72,$44.45,"$2,703,631,532","$3,135,563,482"
13/02/2021,$37.76,$43.43,$35.79,$42.31,"$2,480,436,245","$2,984,760,621"
12/02/2021,$36.36,$38.35,$35.40,$37.77,"$1,622,172,448","$2,664,248,966"
11/02/2021,$33.53,$38.62,$32.97,$36.39,"$2,254,113,590","$2,566,840,016"
10/02/2021,$30.99,$36.09,$30.68,$33.55,"$2,635,786,138","$2,366,829,231"
09/02/2021,$27.31,$31.90,$26.44,$31.00,"$1,991,125,482","$2,186,544,627"
08/02/2021,$24.53,$27.62,$24.05,$27.31,"$1,196,269,971","$1,926,503,324"
07/02/2021,$24.86,$25.49,$23.57,$24.54,"$873,846,113","$1,730,788,361"
06/02/2021,$26.13,$26.22,$24.52,$24.85,"$907,170,715","$1,753,146,063"
05/02/2021,$23.74,$26.39,$23.73,$26.14,"$945,035,473","$1,844,120,112"
04/02/2021,$24.71,$24.98,$23.09,$23.74,"$770,045,905","$1,674,283,650"
