Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$2.87,$2.94,$2.83,$2.87,"$12,143,827","$1,608,907,125"
09/04/2021,$2.82,$2.92,$2.78,$2.87,"$10,847,534","$1,608,677,865"
08/04/2021,$2.69,$2.84,$2.68,$2.82,"$13,283,187","$1,580,704,977"
07/04/2021,$2.90,$2.91,$2.64,$2.70,"$13,427,564","$1,510,426,963"
06/04/2021,$2.84,$2.91,$2.73,$2.90,"$15,448,698","$1,625,048,564"
05/04/2021,$2.77,$2.87,$2.73,$2.84,"$13,035,379","$1,591,207,022"
04/04/2021,$2.70,$2.79,$2.66,$2.77,"$11,017,711","$1,551,779,662"
03/04/2021,$2.83,$2.83,$2.68,$2.70,"$12,276,709","$1,513,686,162"
02/04/2021,$2.79,$2.84,$2.76,$2.83,"$12,373,897","$1,586,285,044"
01/04/2021,$2.76,$2.81,$2.70,$2.78,"$12,220,801","$1,559,009,039"
31/03/2021,$2.77,$2.82,$2.63,$2.76,"$11,772,635","$1,546,340,839"
30/03/2021,$2.67,$2.86,$2.64,$2.76,"$12,619,361","$1,547,678,370"
29/03/2021,$2.53,$2.68,$2.49,$2.67,"$13,247,350","$1,495,707,426"
28/03/2021,$2.59,$2.59,$2.39,$2.53,"$10,942,204","$1,416,901,363"
27/03/2021,$2.66,$2.68,$2.45,$2.59,"$11,583,773","$1,448,925,592"
26/03/2021,$2.44,$2.66,$2.44,$2.66,"$10,955,032","$1,489,724,547"
25/03/2021,$2.35,$2.50,$2.27,$2.44,"$12,335,206","$1,368,470,267"
24/03/2021,$2.46,$2.55,$2.31,$2.35,"$11,337,634","$1,314,604,203"
23/03/2021,$2.47,$2.56,$2.37,$2.46,"$10,460,895","$1,374,801,073"
22/03/2021,$2.71,$2.78,$2.42,$2.47,"$17,222,613","$1,382,318,438"
21/03/2021,$2.71,$2.74,$2.66,$2.70,"$9,204,629","$1,514,391,898"
20/03/2021,$2.82,$2.86,$2.71,$2.71,"$11,272,551","$1,518,897,703"
19/03/2021,$2.74,$2.84,$2.59,$2.82,"$9,891,721","$1,576,982,760"
18/03/2021,$2.75,$2.80,$2.56,$2.74,"$9,868,891","$1,535,785,914"
17/03/2021,$2.70,$2.76,$2.57,$2.75,"$8,795,571","$1,538,056,241"
16/03/2021,$2.58,$2.75,$2.50,$2.70,"$11,338,062","$1,511,631,219"
15/03/2021,$2.56,$2.63,$2.37,$2.58,"$9,520,229","$1,442,654,339"
14/03/2021,$2.53,$2.59,$2.47,$2.57,"$6,246,629","$1,437,639,986"
13/03/2021,$2.39,$2.54,$2.35,$2.54,"$7,293,696","$1,419,607,342"
12/03/2021,$2.45,$2.47,$2.33,$2.39,"$7,542,935","$1,337,804,581"
11/03/2021,$2.43,$2.55,$2.38,$2.45,"$8,865,026","$1,371,486,553"
10/03/2021,$2.52,$2.54,$2.40,$2.43,"$8,597,712","$1,362,746,777"
09/03/2021,$2.32,$2.52,$2.32,$2.52,"$9,327,824","$1,409,530,883"
08/03/2021,$2.18,$2.32,$2.16,$2.32,"$8,985,864","$1,300,787,605"
07/03/2021,$2.08,$2.18,$2.07,$2.18,"$7,112,424","$1,219,532,275"
06/03/2021,$2.14,$2.16,$1.97,$2.08,"$7,929,533","$1,163,145,102"
05/03/2021,$2.20,$2.20,$1.95,$2.13,"$10,512,885","$1,194,986,939"
04/03/2021,$2.31,$2.39,$2.14,$2.20,"$8,037,664","$1,229,961,004"
03/03/2021,$2.11,$2.32,$2.10,$2.31,"$8,458,168","$1,295,966,848"
02/03/2021,$2.22,$2.26,$2.07,$2.11,"$7,649,472","$1,183,379,119"
01/03/2021,$2.04,$2.22,$2.00,$2.22,"$9,189,918","$1,242,313,390"
28/02/2021,$2.01,$2.07,$1.81,$2.04,"$8,882,110","$1,143,098,494"
27/02/2021,$2.00,$2.09,$1.97,$2.02,"$7,649,021","$1,129,910,544"
26/02/2021,$1.98,$2.06,$1.86,$2.00,"$10,249,476","$1,120,417,307"
25/02/2021,$2.09,$2.20,$1.98,$1.98,"$8,347,621","$1,108,097,690"
24/02/2021,$2.03,$2.37,$1.97,$2.09,"$11,779,474","$1,169,348,845"
23/02/2021,$2.34,$2.39,$1.81,$2.04,"$16,489,136","$1,140,203,263"
22/02/2021,$2.38,$2.43,$2.02,$2.33,"$15,567,611","$1,306,081,349"
21/02/2021,$2.37,$2.43,$2.31,$2.38,"$13,983,324","$1,333,577,998"
20/02/2021,$2.26,$2.49,$2.22,$2.37,"$22,282,716","$1,328,030,157"
19/02/2021,$1.96,$2.26,$1.92,$2.26,"$22,532,259","$1,264,954,540"
18/02/2021,$1.82,$1.96,$1.79,$1.95,"$20,612,972","$1,094,675,652"
17/02/2021,$1.82,$1.86,$1.70,$1.82,"$23,893,559","$1,021,306,053"
16/02/2021,$1.68,$1.85,$1.67,$1.82,"$24,622,541","$1,019,579,163"
15/02/2021,$1.69,$1.75,$1.57,$1.68,"$20,984,728","$941,137,859"
14/02/2021,$1.68,$1.76,$1.59,$1.69,"$21,929,945","$945,061,785"
13/02/2021,$1.67,$1.70,$1.60,$1.68,"$18,688,960","$943,298,977"
12/02/2021,$1.61,$1.68,$1.55,$1.67,"$18,905,149","$934,001,926"
