Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$19.39,$21.82,$19.39,$20.69,"$341,919,693","$1,241,409,521"
09/04/2021,$19.17,$19.51,$18.88,$19.38,"$179,367,751","$1,162,978,164"
08/04/2021,$18.06,$19.54,$17.94,$19.17,"$259,909,164","$1,150,219,463"
07/04/2021,$18.50,$19.73,$17.29,$18.09,"$452,759,885","$1,085,353,980"
06/04/2021,$17.79,$18.88,$17.46,$18.48,"$324,846,119","$1,109,083,504"
05/04/2021,$16.93,$18.52,$16.28,$17.71,"$269,434,014","$1,062,818,854"
04/04/2021,$15.96,$16.95,$15.77,$16.93,"$217,285,659","$1,015,554,710"
03/04/2021,$17.45,$17.76,$15.74,$15.97,"$276,724,414","$957,912,979"
02/04/2021,$17.29,$18.01,$17.10,$17.46,"$296,003,297","$1,047,370,353"
01/04/2021,$16.96,$17.27,$16.18,$17.27,"$259,651,849","$1,036,377,713"
31/03/2021,$16.42,$17.51,$15.34,$16.94,"$339,145,937","$1,016,630,885"
30/03/2021,$14.67,$16.50,$14.30,$16.42,"$267,898,091","$985,000,791"
29/03/2021,$13.58,$14.98,$13.44,$14.66,"$219,331,373","$879,510,503"
28/03/2021,$12.65,$13.86,$12.54,$13.58,"$188,414,257","$814,648,934"
27/03/2021,$12.79,$12.90,$12.44,$12.65,"$122,728,349","$758,884,587"
26/03/2021,$12.13,$12.80,$12.10,$12.79,"$140,097,268","$767,256,753"
25/03/2021,$12.91,$12.98,$12.07,$12.14,"$199,207,313","$728,606,813"
24/03/2021,$13.57,$14.48,$12.84,$12.93,"$183,464,291","$775,962,172"
23/03/2021,$13.51,$14.33,$13.34,$13.57,"$164,951,622","$814,276,098"
22/03/2021,$14.11,$14.32,$13.47,$13.51,"$163,811,126","$810,800,661"
21/03/2021,$14.52,$14.63,$14.07,$14.11,"$110,838,605","$846,353,986"
20/03/2021,$14.61,$14.81,$14.51,$14.52,"$109,819,264","$871,061,359"
19/03/2021,$14.48,$14.80,$14.31,$14.61,"$135,238,056","$876,305,305"
18/03/2021,$14.68,$15.23,$14.48,$14.50,"$173,853,113","$870,087,098"
17/03/2021,$14.77,$14.82,$14.13,$14.69,"$166,067,431","$881,279,499"
16/03/2021,$14.72,$15.12,$14.30,$14.77,"$197,970,961","$886,336,638"
15/03/2021,$15.68,$15.97,$14.39,$14.72,"$232,357,937","$883,457,703"
14/03/2021,$16.04,$16.30,$15.64,$15.73,"$180,036,501","$944,017,124"
13/03/2021,$15.80,$16.33,$15.39,$16.05,"$224,942,032","$962,744,200"
12/03/2021,$16.46,$16.47,$15.34,$15.80,"$241,229,940","$947,853,174"
11/03/2021,$16.58,$16.73,$15.18,$16.44,"$283,906,316","$986,549,459"
10/03/2021,$17.88,$17.91,$16.44,$16.61,"$244,163,445","$996,342,804"
09/03/2021,$16.89,$17.89,$16.56,$17.87,"$260,307,248","$1,072,466,851"
08/03/2021,$17.51,$17.53,$16.07,$16.85,"$255,136,132","$1,010,975,388"
07/03/2021,$16.96,$17.64,$16.96,$17.49,"$216,122,058","$1,049,132,516"
06/03/2021,$17.24,$17.71,$16.47,$16.96,"$236,289,405","$1,017,750,949"
05/03/2021,$17.56,$17.57,$15.87,$17.26,"$328,477,967","$1,035,837,401"
04/03/2021,$17.14,$20.17,$16.88,$17.57,"$497,305,410","$1,054,495,467"
03/03/2021,$16.97,$18.28,$16.78,$17.14,"$344,005,471","$1,028,262,726"
02/03/2021,$17.66,$17.80,$16.38,$16.93,"$338,331,334","$1,016,019,629"
01/03/2021,$15.73,$18.49,$15.59,$17.67,"$451,199,147","$1,060,233,116"
28/02/2021,$18.33,$18.47,$14.82,$15.67,"$462,650,502","$940,365,639"
27/02/2021,$16.32,$19.09,$16.29,$18.33,"$447,661,749","$1,099,802,980"
26/02/2021,$17.00,$17.13,$15.01,$16.31,"$532,943,038","$978,616,930"
25/02/2021,$18.48,$19.36,$16.86,$16.86,"$568,578,405","$1,011,745,787"
24/02/2021,$17.07,$19.54,$16.14,$18.50,"$751,509,544","$1,110,263,366"
23/02/2021,$20.16,$20.25,$13.84,$17.01,"$978,302,729","$1,020,833,871"
22/02/2021,$21.76,$23.43,$17.10,$20.14,"$1,035,385,587","$1,208,100,851"
21/02/2021,$13.70,$23.27,$13.45,$21.67,"$1,095,936,388","$1,299,919,994"
20/02/2021,$17.14,$18.07,$13.00,$13.72,"$1,038,921,608","$823,206,421"
19/02/2021,$10.54,$17.21,$10.54,$17.21,"$945,590,276","$1,032,656,476"
18/02/2021,$9.83,$10.76,$9.36,$10.55,"$379,841,438","$633,261,080"
17/02/2021,$8.24,$9.97,$8.15,$9.82,"$293,389,052","$589,262,680"
16/02/2021,$8.37,$8.50,$8.09,$8.25,"$203,829,760","$494,736,433"
15/02/2021,$8.79,$8.85,$7.82,$8.37,"$289,398,008","$502,338,670"
14/02/2021,$8.95,$9.26,$8.71,$8.78,"$254,977,857","$527,073,928"
13/02/2021,$9.09,$9.31,$8.81,$8.95,"$263,817,057","$537,177,330"
12/02/2021,$8.65,$9.36,$8.59,$9.09,"$268,778,182","$545,615,314"
