Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$10.46,$11.33,$9.67,$10.07,"$829,811,208","$1,411,671,688"
09/04/2021,$10.17,$11.04,$9.54,$10.46,"$922,515,351","$1,466,648,760"
08/04/2021,$9.97,$10.21,$9.07,$10.17,"$1,177,034,063","$1,425,944,948"
07/04/2021,$9.35,$11.25,$8.72,$9.89,"$2,788,646,849","$1,387,060,693"
06/04/2021,$8.74,$9.65,$8.24,$9.34,"$1,092,818,281","$1,310,476,641"
05/04/2021,$8.00,$8.87,$8.00,$8.74,"$918,275,547","$1,225,092,983"
04/04/2021,$6.91,$8.14,$6.83,$7.98,"$649,611,079","$1,119,722,449"
03/04/2021,$7.64,$7.68,$6.89,$6.91,"$473,053,496","$969,407,362"
02/04/2021,$7.49,$7.79,$7.22,$7.64,"$562,211,777","$1,071,663,245"
01/04/2021,$7.93,$8.11,$7.45,$7.50,"$775,654,275","$1,052,384,592"
31/03/2021,$6.70,$8.37,$6.67,$7.90,"$1,334,027,871","$1,108,151,300"
30/03/2021,$6.83,$7.39,$6.66,$6.70,"$740,966,676","$939,899,779"
29/03/2021,$5.92,$7.17,$5.90,$6.83,"$998,522,994","$958,466,366"
28/03/2021,$5.36,$6.24,$5.31,$5.92,"$641,249,795","$830,126,410"
27/03/2021,$5.34,$5.50,$5.25,$5.36,"$324,903,878","$751,533,617"
26/03/2021,$5.00,$5.35,$5.00,$5.35,"$273,613,205","$749,658,818"
25/03/2021,$5.16,$5.18,$4.76,$5.00,"$352,436,028","$701,181,457"
24/03/2021,$5.82,$5.93,$5.06,$5.17,"$425,883,027","$724,878,755"
23/03/2021,$5.38,$5.83,$5.26,$5.83,"$431,290,594","$817,196,211"
22/03/2021,$5.65,$5.94,$5.38,$5.38,"$434,666,915","$754,812,062"
21/03/2021,$5.72,$5.80,$5.45,$5.64,"$363,946,677","$791,638,167"
20/03/2021,$5.97,$6.09,$5.72,$5.72,"$379,601,296","$801,993,560"
19/03/2021,$6.13,$6.34,$5.91,$5.97,"$521,140,647","$837,570,779"
18/03/2021,$5.60,$6.20,$5.54,$6.13,"$626,122,117","$859,933,585"
17/03/2021,$5.20,$5.64,$5.09,$5.60,"$435,582,237","$785,826,236"
16/03/2021,$5.04,$5.20,$4.82,$5.20,"$317,411,818","$729,877,160"
15/03/2021,$5.12,$5.33,$4.85,$5.03,"$428,420,733","$706,006,840"
14/03/2021,$5.33,$5.43,$5.12,$5.12,"$329,229,742","$717,683,544"
13/03/2021,$5.14,$5.38,$4.89,$5.33,"$431,123,905","$747,666,979"
12/03/2021,$5.19,$5.44,$5.00,$5.14,"$568,132,198","$720,688,176"
11/03/2021,$5.07,$5.19,$4.83,$5.18,"$415,446,034","$725,910,439"
10/03/2021,$5.42,$5.44,$5.02,$5.08,"$395,213,303","$711,801,234"
09/03/2021,$5.16,$5.51,$5.10,$5.42,"$438,357,698","$759,580,761"
08/03/2021,$5.13,$5.23,$4.93,$5.15,"$307,908,527","$722,364,691"
07/03/2021,$5.08,$5.24,$4.93,$5.12,"$335,051,441","$718,399,524"
06/03/2021,$4.63,$5.24,$4.55,$5.08,"$425,960,228","$712,368,302"
05/03/2021,$4.67,$4.68,$4.36,$4.63,"$268,354,508","$649,602,917"
04/03/2021,$4.85,$4.94,$4.55,$4.67,"$320,109,676","$655,029,769"
03/03/2021,$4.66,$4.97,$4.62,$4.85,"$330,197,721","$680,501,891"
02/03/2021,$4.60,$4.89,$4.46,$4.66,"$370,769,219","$653,529,276"
01/03/2021,$4.26,$4.65,$4.22,$4.60,"$303,981,715","$645,486,751"
28/02/2021,$4.50,$4.55,$3.97,$4.26,"$268,523,897","$597,367,792"
27/02/2021,$4.44,$4.71,$4.42,$4.50,"$259,942,626","$630,880,007"
26/02/2021,$4.55,$4.66,$4.14,$4.44,"$322,360,300","$622,247,405"
25/02/2021,$4.74,$5.09,$4.53,$4.54,"$345,542,442","$636,411,303"
24/02/2021,$4.65,$5.12,$4.43,$4.74,"$489,994,939","$665,242,016"
23/02/2021,$5.55,$5.56,$3.85,$4.64,"$827,662,491","$651,255,457"
22/02/2021,$6.33,$6.34,$4.70,$5.55,"$766,605,965","$778,074,146"
21/02/2021,$6.25,$6.48,$6.12,$6.33,"$513,941,205","$887,384,753"
20/02/2021,$6.52,$6.90,$6.05,$6.25,"$869,974,623","$877,084,181"
19/02/2021,$6.55,$6.72,$6.22,$6.52,"$598,292,090","$914,857,335"
18/02/2021,$6.36,$6.64,$6.29,$6.55,"$596,141,743","$918,231,992"
17/02/2021,$6.17,$6.39,$5.75,$6.36,"$590,100,042","$892,297,216"
16/02/2021,$6.16,$6.52,$5.92,$6.17,"$686,902,871","$864,791,481"
15/02/2021,$6.71,$6.90,$5.63,$6.17,"$1,005,386,730","$864,843,954"
14/02/2021,$7.65,$7.74,$6.54,$6.72,"$1,288,234,913","$942,411,571"
13/02/2021,$6.15,$7.88,$6.15,$7.66,"$2,087,054,696","$1,073,639,945"
12/02/2021,$5.94,$6.28,$5.70,$6.15,"$918,141,274","$863,136,369"
