Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$2.00,$2.08,$1.89,$1.98,"$537,870,866","$1,601,803,000"
09/04/2021,$1.94,$2.09,$1.88,$2.00,"$623,415,918","$1,620,831,356"
08/04/2021,$1.76,$1.94,$1.73,$1.94,"$537,382,575","$1,565,808,913"
07/04/2021,$1.92,$2.18,$1.70,$1.76,"$1,063,553,246","$1,419,834,611"
06/04/2021,$1.97,$2.09,$1.80,$1.93,"$826,504,071","$1,559,231,570"
05/04/2021,$1.77,$2.08,$1.71,$1.96,"$879,505,811","$1,586,780,797"
04/04/2021,$1.61,$1.77,$1.59,$1.77,"$442,351,051","$1,428,471,498"
03/04/2021,$1.79,$1.89,$1.60,$1.61,"$613,758,558","$1,299,950,016"
02/04/2021,$1.72,$1.85,$1.71,$1.79,"$502,795,629","$1,449,973,527"
01/04/2021,$1.74,$1.92,$1.72,$1.72,"$908,756,946","$1,392,906,148"
31/03/2021,$1.64,$1.76,$1.50,$1.75,"$624,978,223","$1,410,208,482"
30/03/2021,$1.68,$1.68,$1.58,$1.64,"$498,285,725","$1,327,369,966"
29/03/2021,$1.52,$1.69,$1.47,$1.68,"$673,093,486","$1,355,197,012"
28/03/2021,$1.38,$1.70,$1.38,$1.52,"$1,284,031,815","$1,230,610,233"
27/03/2021,$1.29,$1.41,$1.29,$1.38,"$512,515,680","$1,111,853,863"
26/03/2021,$1.17,$1.30,$1.17,$1.29,"$338,762,021","$1,040,959,345"
25/03/2021,$1.22,$1.26,$1.14,$1.17,"$475,908,547","$946,124,018"
24/03/2021,$1.35,$1.46,$1.21,$1.23,"$691,139,326","$990,410,871"
23/03/2021,$1.21,$1.38,$1.15,$1.35,"$664,953,562","$1,094,646,980"
22/03/2021,$1.19,$1.33,$1.16,$1.21,"$622,267,766","$977,501,873"
21/03/2021,$1.20,$1.22,$1.14,$1.18,"$282,485,698","$957,183,987"
20/03/2021,$1.20,$1.29,$1.20,$1.20,"$346,531,765","$970,363,621"
19/03/2021,$1.19,$1.24,$1.16,$1.20,"$261,901,189","$970,258,748"
18/03/2021,$1.26,$1.27,$1.19,$1.19,"$317,813,125","$960,703,602"
17/03/2021,$1.18,$1.26,$1.14,$1.26,"$479,147,059","$1,017,261,773"
16/03/2021,$1.14,$1.24,$1.09,$1.18,"$605,361,988","$951,664,392"
15/03/2021,$1.07,$1.26,$0.9939,$1.14,"$719,517,203","$920,917,347"
14/03/2021,$1.13,$1.16,$1.06,$1.07,"$287,773,606","$863,741,642"
13/03/2021,$1.07,$1.15,$1.02,$1.13,"$323,734,484","$916,343,642"
12/03/2021,$1.13,$1.13,$1.04,$1.07,"$318,124,455","$862,829,217"
11/03/2021,$1.14,$1.16,$1.06,$1.13,"$364,289,611","$910,127,878"
10/03/2021,$1.21,$1.21,$1.10,$1.14,"$371,926,658","$919,499,022"
09/03/2021,$1.13,$1.23,$1.09,$1.21,"$489,116,106","$979,521,507"
08/03/2021,$1.05,$1.13,$1.01,$1.13,"$353,710,330","$910,833,047"
07/03/2021,$1.04,$1.05,$1.01,$1.05,"$257,890,616","$845,246,416"
06/03/2021,$1.01,$1.09,$0.9893,$1.04,"$475,004,687","$841,183,845"
05/03/2021,$0.9649,$1.01,$0.8943,$1.01,"$341,940,958","$818,560,652"
04/03/2021,$1.04,$1.06,$0.9336,$0.9656,"$426,484,571","$780,178,996"
03/03/2021,$0.9202,$1.04,$0.9087,$1.04,"$432,566,244","$839,688,489"
02/03/2021,$0.9159,$0.9436,$0.8682,$0.9196,"$324,009,491","$742,964,174"
01/03/2021,$0.8444,$0.9253,$0.842,$0.916,"$286,887,779","$740,068,647"
28/02/2021,$0.9151,$0.9219,$0.7913,$0.8439,"$308,088,401","$681,834,568"
27/02/2021,$0.8952,$0.9686,$0.8913,$0.9152,"$306,388,135","$739,440,757"
26/02/2021,$0.9403,$0.9497,$0.8407,$0.8948,"$412,661,507","$722,931,818"
25/02/2021,$1.00,$1.06,$0.9374,$0.9388,"$435,736,351","$758,478,387"
24/02/2021,$0.9781,$1.08,$0.9305,$1.00,"$609,072,945","$809,237,722"
23/02/2021,$1.19,$1.20,$0.8169,$0.9779,"$846,387,098","$790,060,689"
22/02/2021,$1.41,$1.42,$0.991,$1.20,"$811,426,414","$965,609,202"
21/02/2021,$1.23,$1.56,$1.19,$1.41,"$1,110,276,570","$1,140,705,001"
20/02/2021,$1.26,$1.43,$1.15,$1.23,"$724,050,089","$992,513,514"
19/02/2021,$1.23,$1.30,$1.16,$1.26,"$541,954,823","$1,020,916,091"
18/02/2021,$1.16,$1.28,$1.14,$1.23,"$449,742,051","$994,862,322"
17/02/2021,$1.12,$1.19,$1.05,$1.16,"$617,769,423","$934,289,955"
16/02/2021,$1.15,$1.25,$1.08,$1.12,"$825,485,982","$907,847,747"
15/02/2021,$1.17,$1.28,$0.9254,$1.15,"$1,070,855,705","$932,949,538"
14/02/2021,$1.29,$1.36,$1.14,$1.17,"$929,972,806","$944,397,309"
13/02/2021,$1.09,$1.35,$1.09,$1.29,"$1,101,475,942","$1,044,407,200"
12/02/2021,$1.04,$1.15,$1.03,$1.09,"$741,442,428","$882,078,190"
