Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$24.17,$25.27,$21.31,$22.83,"$906,128,363","$3,469,937,292"
09/04/2021,$21.13,$24.33,$19.90,$24.14,"$904,331,330","$3,645,714,261"
08/04/2021,$17.18,$21.27,$17.16,$21.13,"$986,307,251","$3,163,620,533"
07/04/2021,$18.07,$18.27,$15.64,$17.18,"$484,297,829","$2,552,208,297"
06/04/2021,$16.93,$18.36,$16.70,$18.06,"$340,071,575","$2,662,566,707"
05/04/2021,$16.85,$18.02,$15.96,$16.92,"$291,810,976","$2,472,005,079"
04/04/2021,$15.66,$17.02,$15.39,$16.86,"$233,175,234","$2,516,534,162"
03/04/2021,$17.09,$17.50,$15.55,$15.67,"$255,806,994","$2,321,946,092"
02/04/2021,$17.14,$18.47,$16.98,$17.12,"$356,636,060","$2,519,334,297"
01/04/2021,$18.06,$18.34,$16.49,$17.16,"$389,021,392","$2,503,153,760"
31/03/2021,$19.01,$19.67,$17.27,$18.04,"$540,125,361","$2,608,824,683"
30/03/2021,$17.22,$19.00,$16.65,$18.99,"$533,992,724","$2,724,963,228"
29/03/2021,$16.22,$17.96,$16.06,$17.23,"$517,692,965","$2,448,449,479"
28/03/2021,$17.33,$18.53,$15.41,$16.25,"$826,170,989","$2,359,559,902"
27/03/2021,$14.80,$18.12,$14.21,$17.34,"$950,230,769","$2,495,939,684"
26/03/2021,$11.96,$15.11,$11.94,$14.79,"$736,002,289","$2,100,145,240"
25/03/2021,$12.10,$12.89,$11.26,$11.98,"$414,366,187","$1,684,454,214"
24/03/2021,$11.48,$13.94,$11.22,$12.16,"$555,211,489","$1,692,005,354"
23/03/2021,$10.93,$12.46,$10.66,$11.49,"$419,146,180","$1,581,761,906"
22/03/2021,$10.14,$12.56,$10.10,$10.93,"$489,055,408","$1,495,994,327"
21/03/2021,$9.92,$10.16,$9.69,$10.14,"$99,309,371","$1,415,952,577"
20/03/2021,$9.86,$10.57,$9.83,$9.90,"$134,757,819","$1,371,600,177"
19/03/2021,$9.92,$10.11,$9.68,$9.86,"$103,953,284","$1,352,991,181"
18/03/2021,$10.33,$10.64,$9.87,$9.92,"$152,208,537","$1,349,522,007"
17/03/2021,$9.99,$10.46,$9.43,$10.32,"$190,655,532","$1,388,377,966"
16/03/2021,$10.01,$10.31,$9.37,$9.98,"$243,043,623","$1,331,215,237"
15/03/2021,$10.94,$10.96,$9.64,$10.03,"$328,531,122","$1,326,611,265"
14/03/2021,$11.38,$11.39,$10.73,$10.99,"$156,147,405","$1,488,465,431"
13/03/2021,$11.01,$11.88,$10.65,$11.39,"$200,886,488","$1,528,624,378"
12/03/2021,$12.32,$12.35,$10.73,$10.99,"$260,688,523","$1,461,024,485"
11/03/2021,$12.77,$13.63,$12.09,$12.32,"$292,549,546","$1,621,836,146"
10/03/2021,$14.23,$14.36,$12.60,$12.78,"$475,108,528","$1,667,470,300"
09/03/2021,$11.91,$14.54,$11.67,$14.22,"$379,945,649","$1,835,288,424"
08/03/2021,$11.66,$11.89,$11.12,$11.89,"$159,571,626","$1,519,971,230"
07/03/2021,$11.13,$12.13,$10.94,$11.67,"$179,637,668","$1,526,115,595"
06/03/2021,$11.12,$11.93,$10.82,$11.13,"$145,628,244","$1,440,661,392"
05/03/2021,$11.54,$11.70,$10.71,$11.14,"$182,367,269","$1,430,521,739"
04/03/2021,$12.61,$13.31,$11.29,$11.55,"$351,010,281","$1,451,674,564"
03/03/2021,$12.04,$13.41,$11.83,$12.62,"$264,413,723","$1,576,281,755"
02/03/2021,$13.09,$13.68,$11.13,$12.04,"$319,238,775","$1,494,400,219"
01/03/2021,$9.36,$13.37,$9.36,$13.08,"$674,113,650","$1,613,766,887"
28/02/2021,$10.67,$10.77,$8.40,$9.33,"$303,891,359","$1,174,015,983"
27/02/2021,$11.27,$11.97,$10.44,$10.67,"$212,274,312","$1,335,147,076"
26/02/2021,$11.76,$12.61,$10.48,$11.28,"$293,395,380","$1,374,851,743"
25/02/2021,$14.15,$14.71,$11.70,$11.70,"$234,987,817","$1,418,011,855"
24/02/2021,$12.58,$16.08,$11.64,$14.15,"$444,645,032","$1,702,237,810"
23/02/2021,$15.04,$15.06,$9.92,$12.55,"$271,795,563","$1,500,081,134"
22/02/2021,$16.64,$16.73,$12.50,$15.01,"$388,787,547","$1,782,159,445"
21/02/2021,$14.62,$18.67,$14.26,$16.65,"$471,889,100","$2,025,655,793"
20/02/2021,$18.92,$18.96,$12.20,$14.41,"$180,892,783","$1,736,569,452"
19/02/2021,$13.22,$21.41,$13.10,$18.92,"$1,231,580,543","$2,255,572,374"
18/02/2021,$9.83,$13.48,$9.69,$13.26,"$357,142,277","$1,563,043,750"
17/02/2021,$7.19,$11.15,$7.15,$9.80,"$353,522,586","$1,145,915,146"
16/02/2021,$6.60,$7.41,$6.49,$7.21,"$133,755,716","$829,003,564"
15/02/2021,$6.81,$6.99,$5.75,$6.62,"$94,651,019","$759,999,030"
14/02/2021,$7.10,$7.13,$6.53,$6.81,"$78,020,960","$784,615,644"
13/02/2021,$7.48,$7.62,$6.65,$7.10,"$78,662,300","$811,513,794"
12/02/2021,$6.04,$7.49,$5.81,$7.49,"$150,861,818","$851,033,770"
