Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.00,$1.00,$0.9982,$1.00,"$67,877,151","$909,383,134"
09/04/2021,$1.00,$1.00,$1.00,$1.00,"$68,981,256","$914,722,388"
08/04/2021,$1.00,$1.00,$1.00,$1.00,"$53,960,756","$902,411,687"
07/04/2021,$1.00,$1.00,$1.00,$1.00,"$92,763,934","$942,981,909"
06/04/2021,$1.00,$1.00,$0.9993,$1.00,"$61,407,579","$960,849,475"
05/04/2021,$1.00,$1.01,$0.9989,$1,"$73,539,930","$967,119,308"
04/04/2021,$1.01,$1.01,$1.00,$1.00,"$46,370,576","$988,478,397"
03/04/2021,$1.00,$1.01,$0.998,$1.01,"$75,131,240","$989,110,400"
02/04/2021,$1.00,$1.01,$0.9979,$1.00,"$64,777,989","$974,832,034"
01/04/2021,$1.00,$1.01,$0.9979,$1.00,"$61,098,031","$983,367,683"
31/03/2021,$1.00,$1.01,$0.9984,$1.00,"$90,170,260","$954,484,683"
30/03/2021,$1.00,$1.00,$0.997,$1.00,"$58,348,897","$949,255,759"
29/03/2021,$1.00,$1.00,$0.997,$1.00,"$79,807,229","$931,143,945"
28/03/2021,$0.9988,$1.01,$0.9977,$1.00,"$39,263,631","$914,875,469"
27/03/2021,$1.00,$1.01,$0.9985,$0.9988,"$71,059,264","$889,341,924"
26/03/2021,$1.00,$1.01,$0.9967,$1.00,"$78,028,274","$854,797,230"
25/03/2021,$1.00,$1.01,$0.9979,$1.00,"$83,589,304","$793,562,177"
24/03/2021,$1.00,$1.01,$0.9969,$1.00,"$60,556,595","$787,986,250"
23/03/2021,$1.00,$1.01,$0.9974,$1.00,"$60,213,129","$784,900,043"
22/03/2021,$1.00,$1.01,$0.9957,$1.00,"$45,944,570","$777,794,964"
21/03/2021,$1.01,$1.01,$0.9979,$1.00,"$61,959,974","$806,513,950"
20/03/2021,$1.00,$1.01,$1.00,$1.01,"$52,150,267","$801,589,550"
19/03/2021,$1.00,$1.01,$0.9988,$1.00,"$123,147,876","$754,790,978"
18/03/2021,$0.9991,$1.00,$0.9902,$1.00,"$49,448,669","$745,747,537"
17/03/2021,$0.9992,$1.01,$0.9963,$0.9992,"$72,251,060","$761,535,529"
16/03/2021,$1.00,$1.00,$0.9957,$0.9992,"$78,208,773","$763,387,522"
15/03/2021,$1.00,$1.01,$0.9961,$1.00,"$77,490,832","$771,534,059"
14/03/2021,$0.9977,$1.00,$0.9957,$1.00,"$56,205,366","$732,612,023"
13/03/2021,$0.9982,$1.01,$0.9964,$0.9977,"$77,618,446","$728,446,106"
12/03/2021,$0.9982,$1.00,$0.9961,$0.9982,"$70,960,027","$737,635,506"
11/03/2021,$1.00,$1.00,$0.9962,$0.9981,"$71,001,277","$742,547,431"
10/03/2021,$0.9986,$1.00,$0.9963,$1.00,"$90,948,953","$759,295,037"
09/03/2021,$1.00,$1.00,$0.9961,$0.9986,"$83,639,039","$766,315,844"
08/03/2021,$0.9986,$1.00,$0.9962,$1.00,"$86,689,913","$676,501,095"
07/03/2021,$1.00,$1.00,$0.996,$0.9985,"$53,412,690","$674,120,072"
06/03/2021,$1.00,$1.00,$0.996,$1.00,"$58,741,594","$676,838,223"
05/03/2021,$1.00,$1.00,$0.9964,$1.00,"$58,223,941","$677,109,802"
04/03/2021,$1.00,$1.00,$0.9961,$1.00,"$78,737,763","$675,715,096"
03/03/2021,$1.00,$1.00,$0.9958,$1.00,"$82,003,158","$675,744,628"
02/03/2021,$1.00,$1.00,$0.9963,$1.00,"$67,796,074","$677,669,851"
01/03/2021,$1.00,$1.00,$0.9969,$1.00,"$106,005,871","$675,360,507"
28/02/2021,$1.00,$1.01,$0.9967,$1.00,"$86,816,584","$675,629,857"
27/02/2021,$0.9987,$1.00,$0.996,$1.00,"$65,849,467","$675,837,837"
26/02/2021,$1.00,$1.00,$0.9953,$0.9986,"$117,104,143","$674,164,755"
25/02/2021,$0.998,$1.00,$0.9964,$1.00,"$85,297,897","$675,611,636"
24/02/2021,$0.9993,$1.00,$0.9961,$0.998,"$107,728,905","$673,719,742"
23/02/2021,$1.00,$1.00,$0.9956,$0.9993,"$143,608,494","$674,616,494"
22/02/2021,$0.9999,$1.00,$0.9957,$1.00,"$100,647,328","$675,251,246"
21/02/2021,$1.00,$1.00,$0.9961,$0.9999,"$110,723,324","$675,011,854"
20/02/2021,$0.9976,$1.00,$0.9959,$1.00,"$147,816,868","$675,482,665"
19/02/2021,$1.00,$1.00,$0.9962,$0.9976,"$118,107,727","$673,463,416"
18/02/2021,$1.00,$1.00,$0.9967,$1.00,"$87,971,820","$676,658,778"
17/02/2021,$0.9985,$1.00,$0.9977,$1.00,"$144,334,573","$676,400,486"
16/02/2021,$1.00,$1.00,$0.9977,$0.9986,"$209,310,309","$674,150,058"
15/02/2021,$1.00,$1.01,$0.997,$1.00,"$169,457,684","$676,347,277"
14/02/2021,$0.9996,$1.00,$0.9949,$1.00,"$160,804,915","$677,103,768"
13/02/2021,$0.9992,$1.00,$0.9954,$0.9996,"$148,997,662","$674,834,419"
12/02/2021,$1.00,$1.00,$0.995,$0.9992,"$195,150,992","$674,548,047"
