Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$37.63,$41.38,$36.89,$41.16,"$2,824,216,498","$38,097,210,602"
01/04/2021,$37.09,$38.99,$36.19,$37.67,"$2,811,720,574","$34,849,767,584"
31/03/2021,$34.08,$38.20,$33.52,$37.03,"$3,527,967,413","$34,243,351,177"
30/03/2021,$34.36,$34.78,$33.61,$34.07,"$1,281,200,871","$31,495,837,002"
29/03/2021,$32.29,$34.69,$31.86,$34.37,"$1,639,815,517","$31,772,348,772"
28/03/2021,$32.64,$33.25,$31.47,$32.30,"$1,138,942,373","$29,845,818,892"
27/03/2021,$33.20,$33.53,$31.23,$32.66,"$1,518,535,916","$30,174,087,039"
26/03/2021,$29.97,$33.44,$29.94,$33.20,"$1,735,749,439","$30,664,937,495"
25/03/2021,$30.36,$31.23,$28.67,$29.98,"$3,433,822,540","$27,682,831,356"
24/03/2021,$34.45,$36.15,$28.34,$30.44,"$2,729,222,673","$28,093,491,363"
23/03/2021,$35.51,$36.40,$34.27,$34.46,"$1,728,982,595","$31,800,924,930"
22/03/2021,$36.79,$37.78,$35.40,$35.54,"$1,929,884,756","$32,787,171,367"
21/03/2021,$37.36,$38.15,$36.20,$36.79,"$1,930,244,845","$33,936,891,287"
20/03/2021,$38.29,$40.13,$37.34,$37.35,"$2,133,559,565","$34,442,160,749"
19/03/2021,$35.50,$38.97,$34.89,$38.27,"$2,491,198,971","$35,283,417,850"
18/03/2021,$36.11,$36.95,$35.46,$35.52,"$1,639,504,240","$32,732,241,794"
17/03/2021,$35.44,$36.36,$34.56,$36.14,"$2,111,418,087","$33,288,119,794"
16/03/2021,$34.34,$35.45,$32.24,$35.43,"$2,518,683,414","$32,624,297,093"
15/03/2021,$36.56,$38.38,$34.13,$34.36,"$2,905,566,504","$31,628,536,887"
14/03/2021,$37.17,$37.87,$36.34,$36.58,"$1,640,191,647","$33,665,914,793"
13/03/2021,$35.99,$38.15,$34.81,$37.16,"$2,115,307,643","$34,191,013,936"
12/03/2021,$36.89,$37.43,$34.69,$35.99,"$2,198,904,040","$33,082,975,405"
11/03/2021,$37.54,$37.97,$35.96,$36.88,"$2,563,507,906","$33,892,867,858"
10/03/2021,$38.18,$39.42,$36.44,$37.57,"$3,143,656,899","$34,509,354,022"
09/03/2021,$34.93,$38.75,$34.60,$38.19,"$3,020,766,952","$35,076,916,392"
08/03/2021,$35.18,$35.49,$33.51,$34.91,"$1,855,547,495","$31,990,861,423"
07/03/2021,$33.43,$35.22,$33.39,$35.19,"$1,607,577,506","$32,235,883,115"
06/03/2021,$33.69,$34.15,$32.18,$33.43,"$1,637,892,896","$30,620,375,379"
05/03/2021,$35.32,$35.32,$31.58,$33.72,"$3,035,955,286","$30,877,097,836"
04/03/2021,$37.04,$38.28,$34.45,$35.33,"$2,868,268,909","$32,332,933,421"
03/03/2021,$36.16,$38.55,$36.16,$37.04,"$2,683,665,084","$33,889,450,252"
02/03/2021,$35.59,$37.76,$34.59,$36.15,"$3,752,858,101","$33,066,586,008"
01/03/2021,$33.64,$35.58,$33.19,$35.58,"$3,311,498,739","$32,539,365,963"
28/02/2021,$33.45,$34.61,$29.96,$33.61,"$4,567,616,883","$30,723,422,512"
27/02/2021,$31.40,$35.52,$31.40,$33.45,"$4,507,278,636","$30,567,858,010"
26/02/2021,$31.14,$33.50,$28.10,$31.35,"$5,147,313,878","$28,635,864,216"
25/02/2021,$33.62,$35.08,$31.06,$31.08,"$3,470,266,685","$28,386,405,742"
24/02/2021,$34.33,$36.75,$31.98,$33.63,"$4,724,242,062","$30,706,882,059"
23/02/2021,$37.66,$37.71,$26.76,$34.30,"$7,502,138,162","$31,292,320,714"
22/02/2021,$39.70,$39.70,$31.36,$37.69,"$5,770,512,363","$34,365,198,828"
21/02/2021,$39.17,$40.47,$38.15,$39.70,"$3,721,239,427","$36,134,675,190"
20/02/2021,$34.80,$42.06,$34.80,$39.24,"$6,056,666,198","$35,712,761,350"
19/02/2021,$31.19,$34.99,$29.63,$34.79,"$3,466,759,116","$31,650,533,003"
18/02/2021,$31.98,$32.58,$30.63,$31.18,"$1,992,921,511","$29,226,703,999"
17/02/2021,$30.16,$32.35,$29.73,$31.99,"$4,292,546,900","$29,077,428,853"
16/02/2021,$27.76,$30.97,$26.96,$30.16,"$5,274,752,208","$27,409,464,568"
15/02/2021,$27.06,$29.45,$23.61,$27.78,"$5,407,907,535","$25,240,366,453"
14/02/2021,$28.01,$29.37,$26.54,$27.10,"$3,550,653,217","$24,608,750,493"
13/02/2021,$28.69,$30.15,$27.47,$28.02,"$4,947,621,076","$26,570,627,681"
12/02/2021,$25.17,$29.67,$24.55,$28.69,"$4,562,466,560","$26,041,864,560"
11/02/2021,$23.59,$25.58,$23.33,$25.23,"$4,060,334,812","$22,891,907,598"
10/02/2021,$23.11,$24.79,$22.14,$23.59,"$4,203,061,885","$21,431,620,371"
09/02/2021,$23.03,$24.05,$22.37,$23.13,"$3,446,396,914","$21,013,455,490"
08/02/2021,$19.78,$23.61,$19.23,$23.03,"$4,736,654,531","$20,918,997,056"
07/02/2021,$20.39,$20.78,$18.62,$19.79,"$3,038,407,999","$17,972,785,450"
06/02/2021,$20.89,$21.30,$19.81,$20.40,"$2,622,835,076","$18,510,385,438"
05/02/2021,$19.69,$21.28,$19.53,$20.90,"$3,387,079,061","$18,965,454,796"
04/02/2021,$20.73,$21.56,$19.04,$19.70,"$4,858,842,246","$17,871,050,304"
