Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.3675,$0.3757,$0.348,$0.3585,"$168,749,009","$1,806,114,811"
09/04/2021,$0.3562,$0.3838,$0.3503,$0.3676,"$173,371,170","$1,852,126,634"
08/04/2021,$0.3378,$0.36,$0.3369,$0.3563,"$155,583,605","$1,795,209,655"
07/04/2021,$0.3745,$0.376,$0.3111,$0.3372,"$259,031,047","$1,698,982,347"
06/04/2021,$0.3705,$0.3896,$0.3612,$0.3746,"$293,679,159","$1,887,209,885"
05/04/2021,$0.3627,$0.3701,$0.3509,$0.37,"$225,534,790","$1,864,370,708"
04/04/2021,$0.3538,$0.3748,$0.3485,$0.3626,"$165,050,296","$1,817,266,052"
03/04/2021,$0.3835,$0.398,$0.3528,$0.354,"$222,409,214","$1,774,139,570"
02/04/2021,$0.3642,$0.3953,$0.3588,$0.384,"$268,317,949","$1,924,332,794"
01/04/2021,$0.3603,$0.3779,$0.355,$0.3642,"$211,284,882","$1,825,207,915"
31/03/2021,$0.3714,$0.3811,$0.3413,$0.3599,"$281,140,380","$1,803,722,160"
30/03/2021,$0.3844,$0.3883,$0.3614,$0.3713,"$257,443,389","$1,860,580,461"
29/03/2021,$0.3465,$0.4221,$0.3382,$0.3839,"$515,212,013","$1,924,051,587"
28/03/2021,$0.3332,$0.3555,$0.3301,$0.346,"$211,156,181","$1,733,945,302"
27/03/2021,$0.337,$0.3565,$0.3326,$0.3334,"$209,270,719","$1,670,973,322"
26/03/2021,$0.3018,$0.3421,$0.3017,$0.3368,"$228,186,511","$1,687,809,507"
25/03/2021,$0.3239,$0.3376,$0.3001,$0.3019,"$242,430,418","$1,512,650,663"
24/03/2021,$0.3314,$0.3774,$0.3122,$0.325,"$341,042,162","$1,628,550,763"
23/03/2021,$0.3477,$0.3653,$0.3277,$0.3317,"$214,301,301","$1,662,203,237"
22/03/2021,$0.381,$0.3841,$0.3338,$0.3487,"$218,973,063","$1,747,653,810"
