Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.005695,$0.06955,$0.004743,$0.004862,"$175,633,487","$1,151,007,020"
09/04/2021,$0.007936,$0.03558,$0.005634,$0.005693,"$1,828,758","$1,347,915,793"
08/04/2021,$0.006965,$0.007945,$0.006958,$0.007936,"$93,509,486","$1,878,760,812"
07/04/2021,$0.006993,$0.0119,$0.006958,$0.006965,"$94,656,821","$1,648,970,461"
06/04/2021,$0.00715,$0.01237,$0.006963,$0.006992,"$94,995,283","$1,655,381,814"
05/04/2021,$0.0072,$0.007579,$0.006845,$0.007149,"$116,022,613","$1,692,515,954"
04/04/2021,$0.007214,$0.00798,$0.007102,$0.007211,"$427,333,884","$1,707,229,976"
03/04/2021,$0.007021,$0.008413,$0.00657,$0.007214,"$785,976,197","$1,707,982,368"
02/04/2021,$0.007447,$0.007705,$0.006858,$0.007019,"$234,946,770","$1,661,773,368"
01/04/2021,$0.008095,$0.008095,$0.007163,$0.007454,"$308,094,332","$1,762,157,415"
31/03/2021,$0.007703,$0.008749,$0.007589,$0.008097,"$870,742,138","$1,914,154,754"
30/03/2021,$0.007671,$0.008018,$0.007468,$0.007702,"$613,921,361","$1,820,826,929"
29/03/2021,$0.007773,$0.008026,$0.007318,$0.007675,"$586,500,265","$1,814,420,618"
28/03/2021,$0.008192,$0.008279,$0.007606,$0.007768,"$458,695,610","$1,836,249,392"
27/03/2021,$0.008491,$0.008574,$0.008091,$0.008187,"$483,585,824","$1,935,273,241"
26/03/2021,$0.008468,$0.008915,$0.008023,$0.008489,"$737,963,298","$2,006,593,799"
25/03/2021,$0.007881,$0.009029,$0.007506,$0.00845,"$1,640,238,107","$1,997,358,963"
24/03/2021,$0.006509,$0.009007,$0.00645,$0.008079,"$2,096,626,524","$1,909,745,192"
23/03/2021,$0.006896,$0.007229,$0.006026,$0.006503,"$551,124,989","$1,537,243,721"
22/03/2021,$0.00754,$0.007618,$0.006697,$0.006864,"$679,177,999","$1,622,618,654"
21/03/2021,$0.006229,$0.007908,$0.006201,$0.007519,"$1,213,514,747","$1,777,349,390"
20/03/2021,$0.005759,$0.008259,$0.005759,$0.006238,"$2,228,541,850","$1,474,560,535"
19/03/2021,$0.003814,$0.006083,$0.00381,$0.005724,"$2,062,341,849","$1,353,017,504"
18/03/2021,$0.003528,$0.003986,$0.003368,$0.00381,"$251,277,744","$900,532,832"
