Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$15.77,$16.44,$14.97,$15.85,"$942,038,990","$1,557,455,380"
09/04/2021,$16.77,$16.77,$15.13,$15.78,"$1,027,953,976","$1,550,411,323"
08/04/2021,$15.71,$16.77,$14.40,$16.77,"$1,668,562,702","$1,648,105,321"
07/04/2021,$15.37,$17.91,$13.83,$15.64,"$3,811,089,756","$1,536,538,467"
06/04/2021,$11.88,$15.44,$11.86,$15.35,"$2,644,148,717","$1,508,748,144"
05/04/2021,$10.96,$12.18,$10.93,$11.86,"$931,361,904","$1,165,309,295"
04/04/2021,$9.93,$11.11,$9.84,$10.96,"$741,747,411","$1,076,666,511"
03/04/2021,$10.32,$11.54,$9.93,$9.93,"$914,904,931","$975,835,053"
02/04/2021,$10.21,$10.57,$9.90,$10.33,"$617,034,418","$1,014,473,803"
01/04/2021,$9.43,$11.07,$9.43,$10.22,"$1,556,284,355","$1,004,477,359"
31/03/2021,$8.84,$9.64,$8.29,$9.43,"$799,951,359","$926,505,970"
30/03/2021,$8.74,$9.09,$8.71,$8.84,"$641,135,001","$868,517,525"
29/03/2021,$8.31,$8.76,$8.13,$8.74,"$565,980,176","$858,755,364"
28/03/2021,$8.59,$8.61,$8.14,$8.31,"$473,677,983","$816,803,653"
27/03/2021,$8.69,$9.24,$8.27,$8.59,"$860,123,637","$843,944,782"
26/03/2021,$8.36,$9.65,$8.31,$8.68,"$1,507,517,066","$852,922,569"
25/03/2021,$7.38,$8.87,$6.92,$8.36,"$1,958,856,485","$821,542,235"
24/03/2021,$7.07,$8.64,$6.84,$7.37,"$1,262,498,263","$724,114,124"
23/03/2021,$6.60,$7.14,$6.39,$7.07,"$521,306,692","$694,683,259"
22/03/2021,$6.62,$7.11,$6.48,$6.60,"$566,067,546","$647,801,956"
21/03/2021,$6.64,$6.83,$6.44,$6.62,"$426,289,761","$650,156,985"
20/03/2021,$7.05,$7.36,$6.64,$6.64,"$472,425,867","$651,984,219"
19/03/2021,$6.47,$7.55,$6.34,$7.05,"$930,248,396","$692,402,470"
18/03/2021,$6.21,$6.71,$6.11,$6.47,"$440,167,950","$635,708,173"
17/03/2021,$6.36,$6.40,$5.91,$6.21,"$335,761,094","$610,240,183"
16/03/2021,$5.97,$6.41,$5.68,$6.36,"$404,013,934","$624,553,736"
15/03/2021,$5.87,$6.18,$5.51,$5.98,"$503,141,773","$586,795,943"
14/03/2021,$6.14,$6.28,$5.83,$5.87,"$267,674,923","$576,468,029"
13/03/2021,$5.90,$6.20,$5.61,$6.14,"$330,772,038","$602,996,673"
12/03/2021,$6.12,$6.16,$5.77,$5.90,"$293,354,397","$579,129,359"
11/03/2021,$6.24,$6.28,$5.90,$6.12,"$347,292,607","$600,761,816"
10/03/2021,$6.56,$6.56,$6.10,$6.25,"$424,604,435","$613,353,850"
09/03/2021,$6.30,$6.60,$6.20,$6.56,"$350,693,909","$643,968,837"
08/03/2021,$6.35,$6.40,$6.05,$6.30,"$303,821,358","$618,837,939"
07/03/2021,$6.34,$6.54,$6.13,$6.34,"$350,113,059","$622,792,933"
06/03/2021,$6.56,$6.61,$5.95,$6.34,"$471,489,895","$622,896,342"
05/03/2021,$5.69,$6.57,$5.30,$6.57,"$688,118,839","$645,048,592"
04/03/2021,$5.37,$5.90,$5.26,$5.69,"$520,284,341","$558,367,538"
03/03/2021,$5.19,$5.52,$5.15,$5.37,"$280,977,993","$527,508,649"
02/03/2021,$5.27,$5.38,$4.98,$5.19,"$308,186,594","$509,633,619"
01/03/2021,$4.85,$5.27,$4.85,$5.27,"$269,955,605","$517,238,427"
28/02/2021,$5.29,$5.37,$4.59,$4.84,"$330,009,264","$475,598,715"
27/02/2021,$5.19,$5.67,$5.16,$5.29,"$361,543,901","$519,507,353"
26/02/2021,$5.11,$5.35,$4.73,$5.18,"$102,833,012,502","$508,931,759"
25/02/2021,$5.31,$5.80,$5.10,$5.11,"$549,699,983","$501,222,471"
24/02/2021,$5.12,$5.61,$4.90,$5.31,"$678,100,931","$520,953,762"
23/02/2021,$6.40,$6.40,$4.30,$5.12,"$936,476,018","$502,209,223"
22/02/2021,$7.12,$7.12,$5.48,$6.40,"$846,115,636","$628,221,269"
21/02/2021,$6.71,$7.28,$6.56,$7.12,"$707,387,646","$698,981,111"
20/02/2021,$7.27,$7.35,$6.48,$6.71,"$601,742,280","$658,810,060"
19/02/2021,$7.16,$7.49,$6.77,$7.27,"$717,100,335","$713,297,670"
18/02/2021,$6.66,$7.29,$6.65,$7.16,"$751,059,428","$703,025,547"
17/02/2021,$6.44,$6.76,$6.03,$6.66,"$1,014,132,932","$653,271,708"
16/02/2021,$6.37,$6.76,$6.16,$6.44,"$1,018,496,405","$632,276,943"
15/02/2021,$7.01,$7.12,$5.66,$6.37,"$1,246,095,024","$625,405,619"
14/02/2021,$7.71,$7.73,$6.85,$7.01,"$1,134,692,739","$688,292,907"
13/02/2021,$7.33,$7.75,$6.97,$7.71,"$1,227,241,836","$756,110,366"
12/02/2021,$7.47,$8.16,$6.90,$7.33,"$2,206,689,085","$719,137,635"
