Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.1882,$0.1946,$0.1855,$0.1886,"$171,860,469","$1,608,620,902"
09/04/2021,$0.1856,$0.1986,$0.185,$0.1882,"$217,593,701","$1,603,689,392"
08/04/2021,$0.1793,$0.1877,$0.1779,$0.1857,"$162,085,521","$1,581,166,242"
07/04/2021,$0.1866,$0.1878,$0.1692,$0.1784,"$183,225,439","$1,517,472,003"
06/04/2021,$0.1958,$0.1967,$0.1813,$0.1865,"$228,551,426","$1,585,577,395"
05/04/2021,$0.1877,$0.2125,$0.1817,$0.1953,"$402,797,005","$1,658,517,775"
04/04/2021,$0.1837,$0.1939,$0.1822,$0.1876,"$162,041,176","$1,592,063,515"
03/04/2021,$0.1933,$0.1947,$0.1809,$0.1836,"$180,592,971","$1,556,558,714"
02/04/2021,$0.1939,$0.1993,$0.1916,$0.1935,"$176,635,962","$1,638,795,707"
01/04/2021,$0.1886,$0.2049,$0.1849,$0.194,"$246,029,842","$1,642,301,149"
31/03/2021,$0.1947,$0.1949,$0.1825,$0.1885,"$184,213,410","$1,594,437,543"
30/03/2021,$0.1994,$0.2017,$0.1926,$0.1947,"$171,277,295","$1,644,719,046"
29/03/2021,$0.1996,$0.2031,$0.1972,$0.1995,"$153,784,580","$1,683,872,244"
28/03/2021,$0.2013,$0.2068,$0.1959,$0.1996,"$193,260,326","$1,683,458,813"
27/03/2021,$0.201,$0.2241,$0.1942,$0.2012,"$299,914,719","$1,695,960,814"
26/03/2021,$0.1901,$0.2024,$0.1901,$0.201,"$115,171,858","$1,692,716,761"
25/03/2021,$0.1907,$0.2014,$0.1854,$0.1901,"$186,545,435","$1,599,162,663"
24/03/2021,$0.1947,$0.2059,$0.1856,$0.1907,"$175,697,320","$1,603,494,660"
23/03/2021,$0.2007,$0.21,$0.1908,$0.1947,"$231,159,217","$1,635,350,710"
22/03/2021,$0.2153,$0.2227,$0.1933,$0.201,"$263,091,452","$1,686,916,409"
21/03/2021,$0.2198,$0.241,$0.2129,$0.2156,"$474,364,900","$1,807,857,449"
20/03/2021,$0.2132,$0.2508,$0.2107,$0.2199,"$513,340,164","$1,842,313,148"
19/03/2021,$0.2106,$0.2247,$0.2035,$0.2132,"$225,567,675","$1,784,699,339"
18/03/2021,$0.2196,$0.2256,$0.2102,$0.2105,"$264,153,280","$1,760,537,157"
17/03/2021,$0.2208,$0.2377,$0.2112,$0.2201,"$528,539,579","$1,839,350,720"
16/03/2021,$0.218,$0.2694,$0.2049,$0.2209,"$1,429,353,644","$1,844,016,944"
15/03/2021,$0.1804,$0.2647,$0.1794,$0.2171,"$954,287,181","$1,811,248,901"
14/03/2021,$0.1902,$0.1917,$0.1792,$0.1805,"$149,912,715","$1,504,827,180"
13/03/2021,$0.1849,$0.1966,$0.1819,$0.1903,"$286,681,763","$1,584,348,002"
12/03/2021,$0.1812,$0.1954,$0.1788,$0.1849,"$387,300,363","$1,538,376,994"
11/03/2021,$0.1813,$0.188,$0.175,$0.1811,"$238,065,136","$1,505,765,266"
10/03/2021,$0.1753,$0.1989,$0.1689,$0.1813,"$441,218,627","$1,506,128,447"
09/03/2021,$0.1534,$0.1981,$0.1506,$0.1753,"$599,110,472","$1,455,220,796"
08/03/2021,$0.1579,$0.1582,$0.1501,$0.1534,"$134,547,882","$1,272,144,401"
07/03/2021,$0.1555,$0.1612,$0.1529,$0.1581,"$122,471,393","$1,310,104,635"
06/03/2021,$0.1552,$0.1563,$0.1482,$0.1554,"$111,300,200","$1,286,080,949"
05/03/2021,$0.1492,$0.1587,$0.1402,$0.1554,"$178,841,545","$1,285,313,437"
04/03/2021,$0.1593,$0.1621,$0.1433,$0.1493,"$154,681,933","$1,233,910,202"
03/03/2021,$0.1603,$0.1681,$0.1572,$0.1593,"$190,589,985","$1,315,525,929"
02/03/2021,$0.1702,$0.1788,$0.151,$0.1603,"$241,323,644","$1,322,383,533"
01/03/2021,$0.1313,$0.175,$0.131,$0.1697,"$717,049,448","$1,398,375,169"
28/02/2021,$0.1423,$0.1423,$0.1184,$0.1311,"$320,505,097","$1,079,938,076"
27/02/2021,$0.1549,$0.1611,$0.1375,$0.1423,"$191,734,309","$1,170,870,007"
26/02/2021,$0.1633,$0.1717,$0.1495,$0.1549,"$230,827,643","$1,273,374,343"
25/02/2021,$0.1817,$0.19,$0.1622,$0.1628,"$253,122,487","$1,337,135,979"
24/02/2021,$0.1794,$0.1979,$0.1671,$0.1819,"$422,788,963","$1,492,511,538"
23/02/2021,$0.2007,$0.2007,$0.1414,$0.179,"$741,130,453","$1,467,597,746"
22/02/2021,$0.2088,$0.2273,$0.1519,$0.2007,"$876,611,767","$1,644,316,835"
21/02/2021,$0.2276,$0.246,$0.1893,$0.2093,"$1,264,261,820","$1,713,201,887"
20/02/2021,$0.1457,$0.2854,$0.1401,$0.228,"$3,244,344,058","$1,864,256,907"
19/02/2021,$0.09932,$0.1832,$0.09506,$0.1455,"$1,061,135,174","$1,189,092,114"
18/02/2021,$0.07409,$0.1005,$0.07409,$0.0994,"$230,429,762","$811,358,878"
17/02/2021,$0.07869,$0.07981,$0.07272,$0.07409,"$83,946,302","$604,221,334"
16/02/2021,$0.07488,$0.0825,$0.07253,$0.07866,"$101,890,610","$640,950,138"
15/02/2021,$0.07294,$0.08223,$0.06408,$0.07495,"$231,589,597","$610,015,726"
14/02/2021,$0.05784,$0.08671,$0.05688,$0.07308,"$517,389,268","$594,412,591"
13/02/2021,$0.0502,$0.05984,$0.05013,$0.0578,"$127,229,747","$469,721,103"
12/02/2021,$0.04825,$0.05217,$0.04681,$0.05022,"$55,994,216","$407,799,967"
