Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.05,$1.12,$1.04,$1.07,"$172,277,440","$1,063,964,508"
09/04/2021,$1.03,$1.08,$1.02,$1.05,"$121,494,906","$1,044,293,382"
08/04/2021,$0.9889,$1.04,$0.9815,$1.03,"$105,238,312","$1,028,801,310"
07/04/2021,$1.08,$1.09,$0.9409,$0.9873,"$179,377,991","$984,469,385"
06/04/2021,$1.04,$1.19,$1.03,$1.08,"$297,566,627","$1,080,048,965"
05/04/2021,$1.09,$1.09,$1.01,$1.04,"$157,119,805","$1,034,481,897"
04/04/2021,$1.01,$1.11,$0.9913,$1.09,"$135,819,376","$1,080,980,239"
03/04/2021,$1.11,$1.13,$1.01,$1.01,"$129,864,865","$1,010,603,936"
02/04/2021,$1.05,$1.14,$1.04,$1.11,"$155,926,520","$1,101,146,538"
01/04/2021,$1.03,$1.08,$1.02,$1.05,"$135,110,551","$1,044,282,397"
31/03/2021,$1.07,$1.08,$0.9815,$1.03,"$155,932,313","$1,022,363,538"
30/03/2021,$1.09,$1.12,$1.06,$1.07,"$121,549,087","$1,066,435,933"
29/03/2021,$1.01,$1.10,$0.9949,$1.09,"$156,144,964","$1,082,480,364"
28/03/2021,$0.9689,$1.06,$0.9642,$1.01,"$155,533,880","$1,007,112,301"
27/03/2021,$0.9561,$1.02,$0.8982,$0.9687,"$131,007,793","$964,981,867"
26/03/2021,$0.8517,$0.9694,$0.8517,$0.9553,"$99,268,062","$951,649,376"
25/03/2021,$0.8815,$0.8878,$0.8129,$0.8522,"$134,838,815","$848,896,767"
24/03/2021,$0.9637,$1.02,$0.8689,$0.8828,"$103,590,547","$879,425,287"
23/03/2021,$1.00,$1.03,$0.9584,$0.9644,"$87,831,938","$960,653,045"
22/03/2021,$1.07,$1.11,$0.9936,$1.00,"$110,808,496","$1,000,539,456"
21/03/2021,$1.08,$1.09,$1.04,$1.07,"$73,311,610","$1,064,610,856"
20/03/2021,$1.11,$1.16,$1.07,$1.07,"$91,551,504","$1,070,338,495"
19/03/2021,$1.10,$1.15,$1.06,$1.11,"$90,163,326","$1,103,428,996"
18/03/2021,$1.10,$1.19,$1.09,$1.10,"$132,612,128","$1,093,738,077"
17/03/2021,$1.10,$1.11,$1.03,$1.10,"$109,743,944","$1,100,508,165"
16/03/2021,$1.09,$1.12,$1.02,$1.10,"$116,987,707","$1,093,699,458"
15/03/2021,$1.11,$1.14,$1.03,$1.09,"$125,068,505","$1,083,319,736"
14/03/2021,$1.20,$1.20,$1.11,$1.11,"$104,301,668","$1,101,022,390"
13/03/2021,$1.16,$1.22,$1.11,$1.20,"$117,153,222","$1,196,638,583"
12/03/2021,$1.25,$1.26,$1.12,$1.16,"$149,292,654","$1,156,771,997"
11/03/2021,$1.24,$1.32,$1.21,$1.25,"$161,061,095","$1,243,981,044"
10/03/2021,$1.34,$1.36,$1.21,$1.24,"$216,214,257","$1,232,327,498"
09/03/2021,$1.21,$1.38,$1.18,$1.34,"$270,329,728","$1,332,465,658"
08/03/2021,$1.18,$1.27,$1.13,$1.21,"$252,691,469","$1,202,690,986"
07/03/2021,$1.07,$1.20,$1.05,$1.18,"$161,213,105","$1,172,616,117"
06/03/2021,$1.05,$1.09,$1.02,$1.07,"$74,555,999","$1,066,527,901"
05/03/2021,$1.05,$1.09,$0.9771,$1.05,"$113,388,254","$1,045,060,666"
04/03/2021,$1.12,$1.15,$1.02,$1.05,"$133,898,323","$1,042,333,542"
03/03/2021,$1.10,$1.16,$1.08,$1.12,"$132,978,693","$1,116,977,218"
02/03/2021,$1.15,$1.18,$1.04,$1.10,"$144,541,872","$1,098,759,139"
01/03/2021,$1.04,$1.19,$1.03,$1.15,"$199,647,855","$1,142,859,133"
28/02/2021,$1.07,$1.08,$0.8986,$1.04,"$171,288,017","$1,035,279,398"
27/02/2021,$1.02,$1.14,$1.02,$1.07,"$168,910,825","$1,067,385,555"
26/02/2021,$1.07,$1.13,$0.9726,$1.02,"$193,177,397","$1,010,874,153"
25/02/2021,$1.14,$1.26,$1.07,$1.07,"$206,517,164","$1,064,716,084"
24/02/2021,$1.12,$1.29,$1.05,$1.14,"$294,092,912","$1,138,437,896"
23/02/2021,$1.35,$1.35,$0.9071,$1.12,"$443,074,157","$1,111,239,810"
22/02/2021,$1.39,$1.40,$1.03,$1.35,"$404,707,950","$1,342,566,607"
21/02/2021,$1.41,$1.57,$1.34,$1.39,"$309,625,988","$1,379,235,807"
20/02/2021,$1.74,$1.83,$1.30,$1.41,"$633,889,438","$1,405,709,922"
19/02/2021,$1.20,$1.73,$1.09,$1.73,"$865,646,729","$1,721,369,136"
18/02/2021,$1.02,$1.23,$0.9819,$1.19,"$306,652,935","$1,188,844,325"
17/02/2021,$1.08,$1.08,$0.9411,$1.01,"$286,173,289","$1,007,707,184"
16/02/2021,$0.9073,$1.10,$0.8778,$1.08,"$476,045,206","$1,070,922,278"
15/02/2021,$0.9016,$0.9652,$0.7352,$0.9089,"$329,921,595","$904,711,665"
14/02/2021,$0.9943,$1.01,$0.8713,$0.902,"$190,597,752","$897,792,227"
13/02/2021,$1.05,$1.08,$0.9095,$0.9949,"$257,418,594","$990,237,056"
12/02/2021,$0.994,$1.10,$0.9292,$1.05,"$294,201,099","$1,048,565,699"
