Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.02993,$0.03,$0.02702,$0.02804,"$159,606,294","$1,332,411,693"
09/04/2021,$0.02958,$0.03046,$0.02903,$0.02996,"$135,645,541","$1,423,311,863"
08/04/2021,$0.02607,$0.02958,$0.02585,$0.02958,"$192,487,595","$1,405,047,366"
07/04/2021,$0.03004,$0.03035,$0.02412,$0.0261,"$271,316,560","$1,240,023,555"
06/04/2021,$0.03246,$0.03259,$0.02786,$0.03006,"$345,507,922","$1,427,792,959"
05/04/2021,$0.03045,$0.03958,$0.03042,$0.03249,"$942,181,344","$1,543,099,626"
04/04/2021,$0.02727,$0.03089,$0.02693,$0.03041,"$204,180,594","$1,440,060,323"
03/04/2021,$0.03157,$0.03285,$0.02671,$0.02728,"$228,700,939","$1,291,562,817"
02/04/2021,$0.02954,$0.03346,$0.02906,$0.03156,"$367,656,410","$1,494,339,318"
01/04/2021,$0.02658,$0.03107,$0.0264,$0.02962,"$378,129,122","$1,402,562,105"
31/03/2021,$0.02586,$0.02742,$0.02382,$0.02655,"$187,608,487","$1,256,716,083"
30/03/2021,$0.02541,$0.02654,$0.02521,$0.02583,"$167,207,330","$1,222,533,643"
29/03/2021,$0.02552,$0.02686,$0.0243,$0.02549,"$211,006,561","$1,206,544,195"
28/03/2021,$0.02396,$0.02804,$0.02268,$0.02546,"$395,752,817","$1,205,121,358"
27/03/2021,$0.0216,$0.02412,$0.02095,$0.0239,"$195,672,846","$1,130,836,624"
26/03/2021,$0.01911,$0.02209,$0.01899,$0.0216,"$130,610,456","$1,022,129,154"
25/03/2021,$0.01988,$0.02011,$0.01809,$0.01914,"$111,207,622","$905,448,586"
24/03/2021,$0.02243,$0.02294,$0.01957,$0.01989,"$119,495,926","$941,091,359"
23/03/2021,$0.02189,$0.02277,$0.01895,$0.02237,"$203,719,102","$1,058,040,135"
22/03/2021,$0.02515,$0.02619,$0.02137,$0.02193,"$212,252,042","$1,037,319,126"
21/03/2021,$0.02316,$0.02575,$0.02242,$0.02519,"$225,277,219","$1,191,194,210"
20/03/2021,$0.02497,$0.02985,$0.02303,$0.02312,"$477,495,924","$1,093,196,975"
19/03/2021,$0.02288,$0.02509,$0.02133,$0.0249,"$270,754,818","$1,177,377,328"
18/03/2021,$0.02114,$0.02321,$0.01914,$0.02292,"$215,547,822","$1,083,641,951"
17/03/2021,$0.01837,$0.02091,$0.0173,$0.02091,"$274,582,727","$988,580,402"
16/03/2021,$0.01909,$0.02115,$0.01711,$0.01831,"$479,634,271","$865,554,218"
15/03/2021,$0.01416,$0.01967,$0.01283,$0.01917,"$475,963,635","$906,153,783"
14/03/2021,$0.01357,$0.01496,$0.01323,$0.01417,"$169,186,774","$669,836,973"
13/03/2021,$0.01169,$0.01363,$0.01132,$0.01348,"$78,583,555","$637,308,032"
12/03/2021,$0.01192,$0.01226,$0.01135,$0.01169,"$25,146,186","$552,462,633"
11/03/2021,$0.01215,$0.01215,$0.01136,$0.01193,"$22,355,206","$563,739,854"
10/03/2021,$0.01212,$0.01248,$0.01122,$0.01219,"$52,117,504","$575,970,174"
09/03/2021,$0.01138,$0.01212,$0.01112,$0.01212,"$26,738,880","$572,555,738"
08/03/2021,$0.01095,$0.01147,$0.01084,$0.01138,"$33,457,093","$537,559,558"
07/03/2021,$0.01076,$0.011,$0.01061,$0.01095,"$13,722,089","$517,094,647"
06/03/2021,$0.0107,$0.01097,$0.01023,$0.01079,"$26,598,832","$509,822,226"
05/03/2021,$0.01046,$0.01082,$0.00992,$0.0107,"$22,127,464","$503,758,504"
04/03/2021,$0.0108,$0.01113,$0.01015,$0.01045,"$17,679,312","$492,220,955"
03/03/2021,$0.01024,$0.01103,$0.01013,$0.0108,"$30,620,030","$508,608,130"
02/03/2021,$0.01033,$0.01038,$0.009789,$0.01024,"$16,118,306","$482,151,891"
01/03/2021,$0.009707,$0.01033,$0.009553,$0.01025,"$20,787,224","$482,765,289"
28/02/2021,$0.01011,$0.01031,$0.00881,$0.009707,"$43,004,488","$456,945,520"
27/02/2021,$0.009858,$0.01046,$0.0098,$0.0101,"$21,128,368","$475,520,455"
26/02/2021,$0.01029,$0.01032,$0.009198,$0.009884,"$28,523,324","$465,176,376"
25/02/2021,$0.01101,$0.01132,$0.01025,$0.01025,"$30,597,677","$482,267,045"
24/02/2021,$0.01072,$0.01159,$0.01009,$0.01099,"$89,928,008","$517,095,417"
23/02/2021,$0.01274,$0.01274,$0.008495,$0.01071,"$73,498,263","$503,878,345"
22/02/2021,$0.01369,$0.01383,$0.01032,$0.01278,"$76,593,559","$601,154,411"
21/02/2021,$0.01312,$0.01404,$0.0128,$0.01382,"$40,809,820","$650,267,426"
20/02/2021,$0.01343,$0.01444,$0.01265,$0.01313,"$71,898,302","$617,638,171"
19/02/2021,$0.01353,$0.01353,$0.01259,$0.01344,"$42,670,188","$632,361,265"
18/02/2021,$0.0122,$0.0135,$0.01219,$0.01349,"$51,116,557","$634,650,214"
17/02/2021,$0.01149,$0.01274,$0.01094,$0.01218,"$41,208,330","$572,889,375"
16/02/2021,$0.01181,$0.01248,$0.01094,$0.01149,"$42,336,677","$540,278,486"
15/02/2021,$0.0127,$0.01301,$0.011,$0.01179,"$46,790,169","$554,368,032"
14/02/2021,$0.01358,$0.01359,$0.01207,$0.01269,"$50,181,036","$596,662,108"
13/02/2021,$0.01293,$0.0141,$0.01234,$0.01355,"$103,069,059","$636,985,626"
12/02/2021,$0.01126,$0.01303,$0.01086,$0.01294,"$91,377,898","$608,320,910"
