Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$27.65,$28.26,$25.96,$26.84,"$270,235,258","$7,247,692,204"
09/04/2021,$26.99,$29.01,$26.90,$27.78,"$282,477,938","$7,456,149,620"
08/04/2021,$26.51,$27.97,$25.72,$27.03,"$377,988,327","$7,256,370,567"
07/04/2021,$25.15,$27.49,$23.09,$26.48,"$676,846,221","$7,107,155,851"
06/04/2021,$22.98,$25.35,$21.88,$24.96,"$320,886,935","$6,695,596,354"
05/04/2021,$23.93,$24.78,$22.81,$22.98,"$264,085,329","$6,166,314,087"
04/04/2021,$22.53,$25.57,$22.21,$24.06,"$426,557,980","$6,455,269,614"
03/04/2021,$19.80,$23.83,$19.79,$22.55,"$483,057,740","$6,047,400,068"
02/04/2021,$19.08,$19.82,$18.57,$19.81,"$131,061,660","$5,312,121,532"
01/04/2021,$19.42,$20.36,$18.84,$19.08,"$173,731,886","$5,121,089,267"
31/03/2021,$19.10,$19.80,$18.16,$19.47,"$206,011,018","$5,220,539,301"
30/03/2021,$18.89,$20.87,$18.89,$19.23,"$264,028,427","$5,158,507,266"
29/03/2021,$18.08,$18.99,$17.70,$18.85,"$216,748,601","$5,056,832,100"
28/03/2021,$16.48,$19.39,$16.35,$18.02,"$426,120,062","$4,829,519,370"
27/03/2021,$14.79,$16.80,$14.76,$16.51,"$223,872,587","$4,425,303,443"
26/03/2021,$13.02,$14.80,$12.37,$14.78,"$149,987,319","$3,950,586,428"
25/03/2021,$13.65,$13.71,$12.61,$13.03,"$116,277,943","$3,479,892,567"
24/03/2021,$14.19,$15.37,$13.66,$13.66,"$118,813,690","$3,649,871,266"
23/03/2021,$14.85,$15.24,$14.10,$14.20,"$106,780,662","$3,801,136,716"
22/03/2021,$14.35,$16.60,$14.20,$14.92,"$260,995,136","$3,990,311,753"
21/03/2021,$14.22,$14.37,$13.67,$14.33,"$64,229,338","$3,833,292,243"
20/03/2021,$14.20,$14.98,$14.15,$14.21,"$68,049,683","$3,801,139,605"
19/03/2021,$14.23,$14.49,$13.93,$14.20,"$68,715,211","$3,797,317,089"
18/03/2021,$14.21,$14.75,$13.83,$14.23,"$79,074,263","$3,804,064,054"
17/03/2021,$13.63,$14.27,$13.13,$14.22,"$94,696,339","$3,799,767,227"
16/03/2021,$14.16,$14.28,$13.23,$13.62,"$112,303,590","$3,640,763,691"
15/03/2021,$14.48,$14.79,$13.70,$14.19,"$102,600,692","$3,791,467,511"
14/03/2021,$15.30,$15.35,$14.38,$14.51,"$90,232,804","$3,875,721,099"
13/03/2021,$14.56,$15.39,$13.92,$15.31,"$145,102,757","$4,089,578,510"
12/03/2021,$16.02,$16.49,$14.11,$14.55,"$185,287,457","$3,887,447,694"
11/03/2021,$14.22,$16.24,$13.70,$15.99,"$229,272,516","$4,270,242,448"
10/03/2021,$14.85,$15.19,$14.08,$14.23,"$103,150,901","$3,792,593,486"
09/03/2021,$13.62,$14.99,$13.32,$14.85,"$134,867,044","$3,948,141,943"
08/03/2021,$13.83,$13.87,$13.08,$13.60,"$115,525,659","$3,562,414,837"
07/03/2021,$13.04,$14.00,$12.73,$13.88,"$117,548,176","$3,634,579,983"
06/03/2021,$12.57,$13.27,$11.90,$13.04,"$118,851,546","$3,414,250,123"
05/03/2021,$13.07,$13.08,$12.18,$12.61,"$90,978,408","$3,302,676,699"
04/03/2021,$14.09,$14.26,$12.77,$13.10,"$116,364,466","$3,430,363,627"
03/03/2021,$13.96,$14.73,$13.77,$14.12,"$153,830,742","$3,696,875,107"
02/03/2021,$14.97,$15.22,$13.46,$13.96,"$178,549,852","$3,655,843,424"
01/03/2021,$13.11,$15.52,$13.06,$14.96,"$306,451,693","$3,916,870,452"
28/02/2021,$13.21,$13.78,$11.49,$13.09,"$300,493,226","$3,428,075,567"
27/02/2021,$13.60,$14.61,$13.06,$13.20,"$247,640,940","$3,457,387,613"
26/02/2021,$13.87,$15.48,$13.12,$13.59,"$289,687,328","$3,558,683,581"
25/02/2021,$17.23,$17.70,$13.80,$13.82,"$364,505,276","$3,618,415,995"
24/02/2021,$15.21,$18.15,$14.86,$17.30,"$375,439,707","$4,531,581,357"
23/02/2021,$14.42,$15.74,$11.60,$15.20,"$485,252,846","$3,981,284,943"
22/02/2021,$11.07,$14.55,$9.26,$14.45,"$574,136,241","$3,785,710,139"
21/02/2021,$9.99,$11.64,$9.89,$11.09,"$137,742,366","$2,903,297,330"
20/02/2021,$11.48,$11.79,$9.82,$10.00,"$140,264,810","$2,619,699,068"
19/02/2021,$8.98,$11.68,$8.56,$11.47,"$261,175,711","$3,002,856,057"
18/02/2021,$8.23,$9.28,$8.23,$8.98,"$77,306,770","$2,351,981,649"
17/02/2021,$8.30,$8.43,$7.54,$8.22,"$89,948,578","$2,153,494,093"
16/02/2021,$8.86,$8.98,$7.98,$8.30,"$71,625,205","$2,173,212,554"
15/02/2021,$8.72,$9.31,$7.84,$8.86,"$109,854,635","$2,320,890,605"
14/02/2021,$8.74,$9.22,$8.56,$8.74,"$93,500,423","$2,288,717,995"
13/02/2021,$9.24,$9.50,$8.68,$8.73,"$91,417,968","$2,287,031,137"
12/02/2021,$9.21,$9.92,$9.08,$9.25,"$91,484,664","$2,421,793,705"
