Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.98,$2.09,$1.86,$1.91,"$49,055,269","$2,076,063,189"
09/04/2021,$1.91,$2.14,$1.86,$1.98,"$100,446,296","$2,147,896,917"
08/04/2021,$1.73,$1.92,$1.67,$1.91,"$63,912,864","$2,072,324,584"
07/04/2021,$1.98,$2.03,$1.52,$1.73,"$98,941,191","$1,877,590,139"
06/04/2021,$2.57,$2.62,$1.86,$1.98,"$386,415,583","$2,152,129,154"
05/04/2021,$1.16,$2.82,$1.13,$2.58,"$1,789,871,993","$2,806,293,512"
04/04/2021,$1.12,$1.17,$1.12,$1.16,"$10,499,107","$1,261,525,770"
03/04/2021,$1.22,$1.23,$1.12,$1.12,"$14,795,986","$1,216,128,503"
02/04/2021,$1.27,$1.30,$1.21,$1.22,"$17,335,292","$1,326,106,001"
01/04/2021,$1.22,$1.28,$1.20,$1.26,"$16,932,427","$1,369,888,585"
31/03/2021,$1.24,$1.27,$1.18,$1.22,"$14,506,204","$1,323,337,665"
30/03/2021,$1.25,$1.29,$1.24,$1.24,"$13,652,397","$1,347,376,627"
29/03/2021,$1.25,$1.27,$1.23,$1.25,"$13,739,689","$1,351,731,730"
28/03/2021,$1.27,$1.29,$1.23,$1.25,"$53,156,853","$1,360,594,495"
27/03/2021,$1.23,$1.30,$1.17,$1.27,"$20,742,821","$1,373,758,963"
26/03/2021,$1.18,$1.23,$1.18,$1.23,"$12,687,067","$1,332,319,723"
25/03/2021,$1.20,$1.23,$1.07,$1.18,"$28,737,771","$1,280,175,829"
24/03/2021,$1.27,$1.32,$1.19,$1.20,"$17,092,556","$1,297,092,900"
23/03/2021,$1.26,$1.35,$1.22,$1.27,"$28,767,386","$1,380,230,413"
22/03/2021,$1.28,$1.36,$1.22,$1.26,"$32,189,538","$1,363,742,710"
21/03/2021,$1.25,$1.30,$1.20,$1.28,"$21,577,900","$1,383,256,517"
20/03/2021,$1.36,$1.45,$1.25,$1.25,"$27,028,558","$1,355,779,831"
19/03/2021,$1.32,$1.41,$1.27,$1.36,"$25,605,538","$1,476,444,383"
18/03/2021,$1.22,$1.33,$1.21,$1.32,"$32,392,774","$1,430,413,840"
17/03/2021,$1.13,$1.22,$1.13,$1.22,"$21,429,757","$1,294,799,797"
16/03/2021,$1.12,$1.15,$1.07,$1.13,"$18,134,234","$1,189,860,330"
15/03/2021,$1.15,$1.17,$1.08,$1.12,"$20,364,598","$1,183,728,507"
14/03/2021,$1.26,$1.27,$1.15,$1.15,"$19,333,812","$849,841,048"
13/03/2021,$1.15,$1.28,$1.10,$1.26,"$48,904,004","$935,013,760"
12/03/2021,$1.10,$1.26,$1.08,$1.16,"$34,667,474","$854,935,476"
11/03/2021,$1.12,$1.14,$1.08,$1.10,"$17,526,399","$814,298,476"
10/03/2021,$1.23,$1.24,$1.11,$1.12,"$20,898,135","$827,271,600"
09/03/2021,$1.20,$1.25,$1.15,$1.23,"$30,610,609","$909,979,786"
08/03/2021,$1.21,$1.22,$1.14,$1.21,"$25,362,029","$892,822,126"
07/03/2021,$1.18,$1.24,$1.14,$1.20,"$24,381,720","$889,456,746"
06/03/2021,$1.22,$1.24,$1.12,$1.18,"$24,174,365","$876,222,268"
05/03/2021,$1.20,$1.39,$1.12,$1.22,"$78,033,989","$899,145,968"
04/03/2021,$1.05,$1.32,$0.9822,$1.20,"$76,714,671","$888,052,826"
03/03/2021,$1.01,$1.10,$1.00,$1.05,"$19,483,148","$776,365,138"
02/03/2021,$0.979,$1.03,$0.9297,$1.01,"$22,605,770","$749,169,095"
01/03/2021,$0.9318,$1.00,$0.93,$0.9789,"$18,219,867","$724,198,864"
28/02/2021,$1.00,$1.03,$0.8797,$0.9323,"$20,012,013","$689,708,482"
27/02/2021,$1.01,$1.14,$0.9769,$1.00,"$22,630,740","$743,414,593"
26/02/2021,$1.04,$1.06,$0.8912,$1.01,"$32,235,496","$749,969,323"
25/02/2021,$1.09,$1.19,$1.01,$1.04,"$57,153,266","$772,067,410"
24/02/2021,$0.8456,$1.18,$0.7883,$1.10,"$169,807,064","$812,340,541"
23/02/2021,$0.7819,$0.8461,$0.6147,$0.8437,"$47,180,730","$624,169,424"
22/02/2021,$0.8155,$0.8163,$0.6306,$0.7804,"$25,042,087","$577,334,376"
21/02/2021,$0.7711,$0.8339,$0.756,$0.8163,"$18,582,022","$603,906,854"
20/02/2021,$0.8359,$0.8522,$0.7328,$0.7723,"$22,427,168","$571,297,462"
19/02/2021,$0.7861,$0.8955,$0.7639,$0.8358,"$19,643,617","$618,318,473"
18/02/2021,$0.7156,$0.799,$0.7099,$0.7818,"$12,907,748","$578,346,330"
17/02/2021,$0.6781,$0.7269,$0.6553,$0.7166,"$12,489,187","$530,104,909"
16/02/2021,$0.693,$0.7394,$0.6531,$0.6783,"$9,857,332","$501,795,723"
15/02/2021,$0.6698,$0.749,$0.5873,$0.6932,"$16,105,291","$512,810,321"
14/02/2021,$0.6999,$0.7434,$0.6291,$0.6701,"$13,181,065","$495,727,381"
13/02/2021,$0.7319,$0.7807,$0.6648,$0.7001,"$14,327,157","$517,899,907"
12/02/2021,$0.6457,$0.7798,$0.6449,$0.7332,"$30,638,569","$542,410,264"
