Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.4869,$0.5932,$0.4833,$0.5618,"$3,632,750,033","$12,817,406,622"
09/04/2021,$0.5071,$0.5071,$0.4789,$0.4864,"$1,072,231,147","$11,096,299,816"
08/04/2021,$0.4737,$0.5072,$0.4712,$0.5068,"$1,584,288,709","$11,553,891,541"
07/04/2021,$0.5431,$0.548,$0.458,$0.4733,"$2,697,133,800","$10,786,384,262"
06/04/2021,$0.5391,$0.581,$0.4875,$0.5427,"$4,717,764,852","$12,366,795,276"
05/04/2021,$0.4378,$0.551,$0.4339,$0.5364,"$4,476,131,328","$12,200,023,764"
04/04/2021,$0.418,$0.4428,$0.4123,$0.4378,"$1,213,059,845","$9,958,214,739"
03/04/2021,$0.446,$0.4654,$0.4178,$0.4181,"$1,617,541,085","$9,508,923,985"
02/04/2021,$0.4324,$0.4723,$0.4324,$0.4466,"$2,189,259,118","$10,157,879,361"
01/04/2021,$0.4111,$0.4366,$0.4086,$0.4325,"$1,465,378,533","$9,826,535,682"
31/03/2021,$0.4059,$0.4124,$0.3889,$0.4109,"$1,052,641,432","$9,331,092,180"
30/03/2021,$0.4078,$0.4152,$0.4033,$0.4059,"$883,027,112","$9,215,273,425"
29/03/2021,$0.3998,$0.413,$0.3948,$0.4079,"$932,211,824","$9,258,847,031"
28/03/2021,$0.3847,$0.4144,$0.3814,$0.3993,"$1,322,103,231","$9,060,062,003"
27/03/2021,$0.3875,$0.3924,$0.3755,$0.3847,"$716,032,418","$8,728,390,135"
26/03/2021,$0.366,$0.3889,$0.3649,$0.3875,"$905,696,765","$8,791,536,119"
25/03/2021,$0.3684,$0.3737,$0.3503,$0.3659,"$1,066,307,446","$8,301,377,814"
24/03/2021,$0.3999,$0.406,$0.3607,$0.3686,"$976,328,018","$8,358,128,302"
23/03/2021,$0.3966,$0.4117,$0.3922,$0.4001,"$1,103,779,839","$9,071,116,317"
22/03/2021,$0.405,$0.4259,$0.3965,$0.3967,"$1,398,256,291","$8,987,705,359"
21/03/2021,$0.4176,$0.4254,$0.3954,$0.405,"$1,202,061,273","$9,172,769,383"
20/03/2021,$0.3983,$0.4392,$0.3965,$0.4175,"$1,573,144,660","$9,455,630,699"
19/03/2021,$0.3975,$0.4038,$0.3911,$0.3983,"$779,831,001","$9,021,673,631"
18/03/2021,$0.4047,$0.4095,$0.3877,$0.3976,"$857,862,584","$8,999,046,081"
17/03/2021,$0.3958,$0.4064,$0.3889,$0.4047,"$931,660,142","$9,157,987,247"
16/03/2021,$0.3853,$0.4105,$0.3757,$0.3957,"$1,172,225,532","$8,956,004,847"
15/03/2021,$0.3914,$0.3989,$0.3711,$0.3855,"$979,911,106","$8,721,550,165"
14/03/2021,$0.4081,$0.4083,$0.3909,$0.3915,"$788,965,241","$8,852,179,198"
13/03/2021,$0.3879,$0.4118,$0.3777,$0.4083,"$1,078,554,244","$9,230,461,218"
12/03/2021,$0.4062,$0.4078,$0.382,$0.3879,"$932,051,704","$8,769,378,695"
11/03/2021,$0.4104,$0.413,$0.3978,$0.4059,"$952,021,130","$9,169,947,875"
10/03/2021,$0.4323,$0.4326,$0.408,$0.4108,"$975,485,394","$9,279,720,461"
09/03/2021,$0.4175,$0.4338,$0.4129,$0.4327,"$1,048,814,189","$9,765,594,416"
08/03/2021,$0.413,$0.4202,$0.4032,$0.4175,"$857,074,336","$9,424,349,105"
07/03/2021,$0.4034,$0.4219,$0.4034,$0.4128,"$796,240,412","$9,318,321,013"
06/03/2021,$0.4059,$0.4081,$0.3941,$0.4033,"$680,865,154","$9,103,142,312"
05/03/2021,$0.4128,$0.4128,$0.3883,$0.4062,"$839,856,756","$9,167,694,501"
04/03/2021,$0.4219,$0.4273,$0.4044,$0.4132,"$1,067,768,373","$9,326,871,367"
03/03/2021,$0.4201,$0.438,$0.4147,$0.4221,"$1,195,050,006","$9,513,998,542"
02/03/2021,$0.4304,$0.4365,$0.3995,$0.4196,"$1,167,447,987","$9,456,717,130"
01/03/2021,$0.4069,$0.4359,$0.4035,$0.4303,"$1,390,709,358","$9,691,779,736"
28/02/2021,$0.4415,$0.4516,$0.3861,$0.4067,"$1,888,502,990","$9,159,071,308"
27/02/2021,$0.401,$0.4709,$0.401,$0.4415,"$2,799,346,118","$9,943,037,946"
26/02/2021,$0.3822,$0.4011,$0.3578,$0.4007,"$1,387,062,138","$9,024,534,781"
25/02/2021,$0.4071,$0.4258,$0.3813,$0.3813,"$1,320,643,982","$8,577,766,461"
24/02/2021,$0.3868,$0.4328,$0.3704,$0.4072,"$1,862,049,592","$9,162,056,612"
23/02/2021,$0.4665,$0.4665,$0.322,$0.3865,"$2,962,479,689","$8,689,168,941"
22/02/2021,$0.4986,$0.523,$0.3997,$0.467,"$2,952,779,389","$10,497,178,439"
21/02/2021,$0.4874,$0.5084,$0.4783,$0.4988,"$1,691,495,133","$11,203,802,237"
20/02/2021,$0.5135,$0.5321,$0.4677,$0.488,"$2,152,043,635","$10,962,064,696"
19/02/2021,$0.4976,$0.5213,$0.4864,$0.5136,"$1,683,567,104","$11,537,019,584"
18/02/2021,$0.4968,$0.5155,$0.4863,$0.4975,"$1,663,443,587","$11,170,637,270"
17/02/2021,$0.4865,$0.508,$0.4592,$0.497,"$1,859,433,188","$11,149,343,207"
16/02/2021,$0.4934,$0.5139,$0.4726,$0.4866,"$2,101,777,439","$10,913,786,309"
15/02/2021,$0.5164,$0.5371,$0.4368,$0.4938,"$3,202,896,143","$11,058,832,288"
14/02/2021,$0.5609,$0.5741,$0.4987,$0.5176,"$3,078,578,193","$11,593,719,035"
13/02/2021,$0.5269,$0.6008,$0.5152,$0.5599,"$5,519,338,626","$12,541,203,762"
12/02/2021,$0.4529,$0.5309,$0.4408,$0.5278,"$3,705,074,297","$11,822,145,264"
