Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$14.55,$15.16,$14.10,$14.50,"$254,962,735","$1,845,359,825"
09/04/2021,$14.42,$15.39,$14.37,$14.56,"$286,602,471","$1,852,172,342"
08/04/2021,$13.89,$14.62,$13.79,$14.42,"$213,806,826","$1,834,738,705"
07/04/2021,$15.35,$15.49,$13.54,$13.88,"$395,796,127","$1,765,826,611"
06/04/2021,$15.06,$15.92,$14.87,$15.37,"$354,543,086","$1,955,269,806"
05/04/2021,$15.32,$15.65,$14.80,$15.05,"$293,887,015","$1,914,719,392"
04/04/2021,$14.87,$15.57,$14.75,$15.32,"$296,057,578","$1,949,566,384"
03/04/2021,$16.46,$16.54,$14.75,$14.88,"$431,091,130","$1,892,964,592"
02/04/2021,$14.88,$16.52,$14.66,$16.47,"$481,446,040","$2,095,109,118"
01/04/2021,$14.68,$15.22,$14.62,$14.89,"$367,855,254","$1,894,177,752"
31/03/2021,$15.43,$15.66,$14.20,$14.67,"$432,039,679","$1,866,733,205"
30/03/2021,$15.82,$15.94,$15.31,$15.43,"$275,108,946","$1,963,650,378"
29/03/2021,$15.27,$16.05,$15.07,$15.83,"$335,444,038","$2,014,087,649"
28/03/2021,$16.18,$16.41,$14.92,$15.27,"$282,143,128","$1,942,711,159"
27/03/2021,$16.83,$16.95,$15.88,$16.18,"$248,576,606","$2,059,440,077"
26/03/2021,$14.87,$16.90,$14.86,$16.84,"$355,245,353","$2,142,295,772"
25/03/2021,$15.00,$15.30,$14.19,$14.88,"$490,130,386","$1,893,527,873"
24/03/2021,$16.48,$17.44,$14.65,$15.02,"$403,504,379","$1,911,357,811"
23/03/2021,$17.40,$17.82,$16.39,$16.49,"$369,040,860","$2,098,615,327"
22/03/2021,$18.88,$19.12,$17.36,$17.41,"$353,510,841","$2,215,677,874"
21/03/2021,$19.52,$19.73,$18.46,$18.87,"$356,496,278","$2,401,512,227"
20/03/2021,$20.33,$21.02,$19.52,$19.52,"$294,653,610","$2,483,927,123"
19/03/2021,$19.76,$20.63,$19.12,$20.34,"$343,254,642","$2,588,387,767"
18/03/2021,$19.89,$20.28,$19.59,$19.78,"$332,577,021","$2,517,228,201"
17/03/2021,$20.20,$20.35,$19.16,$19.91,"$324,937,486","$2,533,054,800"
16/03/2021,$19.81,$20.43,$18.76,$20.20,"$468,726,015","$2,570,101,762"
15/03/2021,$20.73,$21.84,$19.61,$19.80,"$554,656,723","$2,519,793,213"
14/03/2021,$22.86,$23.00,$20.45,$20.79,"$654,693,135","$2,644,906,653"
13/03/2021,$19.44,$23.38,$19.04,$22.91,"$1,348,444,455","$2,914,741,703"
12/03/2021,$18.61,$19.55,$18.13,$19.44,"$695,013,629","$2,473,828,550"
11/03/2021,$17.96,$19.21,$17.10,$18.60,"$613,734,165","$2,367,060,056"
10/03/2021,$19.67,$19.77,$17.73,$17.97,"$504,016,911","$2,287,127,735"
09/03/2021,$17.26,$20.10,$17.15,$19.68,"$833,739,027","$2,504,141,669"
08/03/2021,$17.88,$18.17,$16.77,$17.25,"$469,887,469","$2,194,846,697"
07/03/2021,$16.63,$18.02,$16.36,$17.85,"$492,549,814","$2,271,434,973"
06/03/2021,$16.66,$17.02,$15.81,$16.63,"$341,760,213","$2,115,768,890"
05/03/2021,$17.33,$17.33,$15.68,$16.68,"$528,508,950","$2,121,805,400"
04/03/2021,$17.46,$18.84,$17.03,$17.34,"$702,265,424","$2,205,975,348"
03/03/2021,$17.89,$19.09,$17.23,$17.48,"$749,769,216","$2,224,628,726"
02/03/2021,$18.81,$20.54,$16.92,$17.92,"$1,789,945,589","$2,279,748,715"
01/03/2021,$15.05,$18.80,$15.01,$18.80,"$880,392,377","$2,391,887,293"
28/02/2021,$16.26,$16.32,$13.75,$15.03,"$712,136,118","$1,913,084,313"
27/02/2021,$15.30,$17.54,$15.30,$16.24,"$807,924,248","$2,067,013,111"
26/02/2021,$14.37,$16.47,$13.16,$15.28,"$983,782,676","$1,944,279,984"
25/02/2021,$14.71,$17.07,$14.28,$14.30,"$872,519,036","$1,819,977,701"
24/02/2021,$14.74,$15.75,$13.72,$14.72,"$601,790,697","$1,872,666,577"
23/02/2021,$16.60,$17.27,$12.00,$14.68,"$1,139,293,611","$1,868,298,605"
22/02/2021,$17.35,$17.36,$13.60,$16.60,"$1,071,248,853","$2,112,469,487"
21/02/2021,$18.38,$19.32,$16.92,$17.36,"$665,807,953","$2,208,957,542"
20/02/2021,$14.54,$19.65,$14.52,$18.43,"$1,910,186,131","$2,345,143,021"
19/02/2021,$15.81,$15.89,$13.98,$14.54,"$655,842,887","$1,849,525,144"
18/02/2021,$16.19,$16.93,$15.54,$15.80,"$421,399,052","$2,010,644,694"
17/02/2021,$16.46,$17.10,$14.71,$16.20,"$756,634,979","$2,061,934,620"
16/02/2021,$17.23,$17.91,$15.64,$16.45,"$670,120,535","$2,093,770,885"
15/02/2021,$14.97,$18.34,$12.94,$17.24,"$1,150,281,438","$2,193,922,456"
14/02/2021,$16.00,$16.32,$14.88,$15.00,"$483,513,847","$1,908,176,954"
13/02/2021,$16.59,$17.22,$15.70,$15.99,"$537,759,755","$2,035,167,265"
12/02/2021,$16.88,$17.27,$15.72,$16.59,"$728,532,636","$2,111,157,682"
