Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.10,$1.15,$1.03,$1.08,"$6,639,708","$1,080,797,585"
09/04/2021,$1.15,$1.17,$1.09,$1.10,"$6,828,103","$1,103,549,801"
08/04/2021,$1.13,$1.16,$1.12,$1.15,"$5,632,751","$1,154,812,764"
07/04/2021,$1.18,$1.19,$1.09,$1.13,"$6,038,530","$1,128,405,613"
06/04/2021,$1.15,$1.23,$1.15,$1.18,"$8,676,524","$1,182,454,601"
05/04/2021,$1.13,$1.16,$1.10,$1.15,"$4,896,123","$1,150,005,611"
04/04/2021,$1.02,$1.21,$1.01,$1.13,"$7,678,060","$1,127,973,906"
03/04/2021,$1.08,$1.09,$0.9972,$1.02,"$7,097,821","$1,023,564,434"
02/04/2021,$1.10,$1.12,$0.9266,$1.08,"$16,522,699","$1,077,420,302"
01/04/2021,$1.14,$1.15,$1.04,$1.10,"$10,723,705","$1,103,447,945"
31/03/2021,$1.17,$1.18,$1.10,$1.14,"$7,541,570","$1,136,583,313"
30/03/2021,$1.18,$1.23,$1.15,$1.17,"$6,913,391","$1,167,503,683"
29/03/2021,$1.17,$1.22,$1.14,$1.18,"$4,752,632","$1,175,003,821"
28/03/2021,$1.21,$1.22,$1.14,$1.17,"$4,464,374","$1,170,259,911"
27/03/2021,$1.25,$1.25,$1.19,$1.21,"$3,120,083","$1,207,065,095"
26/03/2021,$1.15,$1.25,$1.15,$1.25,"$5,766,837","$1,245,182,485"
25/03/2021,$1.15,$1.27,$1.12,$1.15,"$8,987,274","$1,153,570,388"
24/03/2021,$1.24,$1.28,$1.14,$1.15,"$8,519,992","$1,152,183,123"
23/03/2021,$1.25,$1.31,$1.18,$1.24,"$7,116,993","$1,242,376,159"
22/03/2021,$1.31,$1.34,$1.24,$1.25,"$5,581,025","$1,245,721,144"
21/03/2021,$1.16,$1.39,$1.16,$1.31,"$11,591,739","$1,305,143,484"
20/03/2021,$1.31,$1.33,$1.16,$1.16,"$9,529,413","$1,162,914,359"
19/03/2021,$1.36,$1.41,$1.27,$1.31,"$8,637,593","$1,305,324,663"
18/03/2021,$1.50,$1.51,$1.32,$1.36,"$16,843,141","$1,326,550,835"
17/03/2021,$1.36,$1.53,$1.34,$1.50,"$15,360,947","$1,424,916,069"
16/03/2021,$1.31,$1.36,$1.25,$1.36,"$9,776,626","$1,289,187,243"
15/03/2021,$1.33,$1.38,$1.23,$1.31,"$13,982,186","$1,245,610,343"
14/03/2021,$1.37,$1.42,$1.29,$1.33,"$12,555,380","$1,268,500,528"
13/03/2021,$1.42,$1.49,$1.36,$1.37,"$12,015,616","$1,299,370,934"
12/03/2021,$1.53,$1.53,$1.33,$1.42,"$18,716,975","$1,352,312,826"
11/03/2021,$1.50,$1.55,$1.46,$1.52,"$13,823,438","$1,448,092,494"
10/03/2021,$1.48,$1.56,$1.42,$1.50,"$18,941,439","$1,428,350,878"
09/03/2021,$1.33,$1.49,$1.32,$1.48,"$23,613,131","$1,405,702,472"
08/03/2021,$1.15,$1.35,$1.13,$1.33,"$17,826,769","$1,256,494,927"
07/03/2021,$1.18,$1.20,$1.10,$1.15,"$9,212,431","$1,084,211,698"
06/03/2021,$1.14,$1.22,$1.11,$1.17,"$10,295,753","$1,106,353,213"
05/03/2021,$1.03,$1.18,$0.9684,$1.14,"$18,819,731","$1,070,253,918"
04/03/2021,$0.9504,$1.04,$0.9329,$1.03,"$12,480,321","$963,822,710"
03/03/2021,$0.8966,$0.967,$0.8883,$0.9515,"$8,505,385","$893,670,785"
02/03/2021,$0.912,$0.926,$0.882,$0.8966,"$6,022,507","$842,074,476"
01/03/2021,$0.8554,$0.9213,$0.8526,$0.9121,"$5,892,111","$856,688,773"
28/02/2021,$0.8703,$0.8776,$0.8173,$0.8553,"$5,705,479","$803,287,884"
27/02/2021,$0.8956,$0.918,$0.8487,$0.8705,"$3,598,537","$817,571,389"
26/02/2021,$0.9066,$0.9172,$0.8479,$0.8956,"$7,326,085","$841,117,963"
25/02/2021,$0.9409,$0.9701,$0.8969,$0.9073,"$7,031,494","$852,126,638"
24/02/2021,$0.9531,$0.9723,$0.8987,$0.9402,"$12,079,851","$882,923,109"
23/02/2021,$1.02,$1.02,$0.8724,$0.9527,"$28,623,060","$894,699,590"
22/02/2021,$0.8098,$1.30,$0.7647,$1.02,"$29,505,462","$954,497,341"
21/02/2021,$0.8364,$0.8475,$0.7964,$0.8094,"$6,506,850","$760,147,111"
20/02/2021,$0.7807,$0.898,$0.7719,$0.8369,"$13,268,464","$785,934,345"
19/02/2021,$0.832,$0.8354,$0.7594,$0.7802,"$16,483,031","$732,666,641"
18/02/2021,$0.8634,$0.8681,$0.7983,$0.8322,"$9,274,391","$781,483,085"
17/02/2021,$0.8624,$0.8713,$0.8256,$0.8641,"$10,600,695","$811,515,828"
16/02/2021,$0.8492,$0.8768,$0.8388,$0.8624,"$5,909,513","$809,855,839"
15/02/2021,$0.8276,$0.8688,$0.7583,$0.8491,"$7,272,301","$797,395,353"
14/02/2021,$0.8514,$0.869,$0.8162,$0.8277,"$6,001,086","$777,331,666"
13/02/2021,$0.8777,$0.8874,$0.8451,$0.8515,"$5,349,108","$799,647,091"
12/02/2021,$0.8704,$0.8935,$0.8451,$0.878,"$8,188,476","$824,501,915"
