Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$19.44,$20.02,$18.64,$19.02,"$92,073,369","$2,184,020,307"
09/04/2021,$19.93,$20.41,$19.21,$19.44,"$73,918,255","$2,232,089,399"
08/04/2021,$19.40,$20.15,$19.14,$19.93,"$88,943,215","$2,289,047,024"
07/04/2021,$22.09,$22.34,$18.73,$19.38,"$172,071,174","$2,225,061,781"
06/04/2021,$20.72,$22.40,$20.72,$22.09,"$173,335,489","$2,536,729,192"
05/04/2021,$20.80,$21.12,$19.85,$20.70,"$110,938,627","$2,377,007,461"
04/04/2021,$19.41,$21.24,$19.22,$20.80,"$123,142,762","$2,388,814,054"
03/04/2021,$21.44,$21.65,$19.21,$19.41,"$147,082,342","$2,229,472,129"
02/04/2021,$19.20,$21.43,$18.85,$21.43,"$222,581,063","$2,461,387,065"
01/04/2021,$17.66,$19.36,$17.66,$19.20,"$164,828,281","$2,204,634,070"
31/03/2021,$17.58,$17.88,$16.71,$17.66,"$107,263,521","$2,028,584,759"
30/03/2021,$17.79,$18.00,$17.31,$17.58,"$87,904,724","$2,019,252,834"
29/03/2021,$16.48,$17.81,$16.35,$17.79,"$106,710,216","$2,043,143,271"
28/03/2021,$17.15,$17.28,$16.44,$16.47,"$85,860,087","$1,890,910,976"
27/03/2021,$17.50,$17.64,$16.79,$17.15,"$78,291,458","$1,969,607,888"
26/03/2021,$16.19,$17.64,$16.16,$17.50,"$83,146,415","$2,009,833,283"
25/03/2021,$16.17,$16.69,$15.58,$16.20,"$108,336,624","$1,860,432,818"
24/03/2021,$17.48,$18.24,$15.83,$16.17,"$126,869,628","$1,857,444,542"
23/03/2021,$18.12,$18.38,$17.38,$17.49,"$99,693,318","$2,009,086,393"
22/03/2021,$19.57,$20.01,$17.89,$18.13,"$104,082,127","$2,082,562,795"
21/03/2021,$19.86,$20.09,$19.14,$19.57,"$88,558,618","$2,247,724,419"
20/03/2021,$19.92,$21.48,$19.86,$19.87,"$132,323,021","$2,281,761,432"
19/03/2021,$18.58,$20.40,$18.24,$19.92,"$102,881,729","$2,288,025,415"
18/03/2021,$19.18,$19.45,$18.59,$18.59,"$95,797,286","$2,134,683,972"
17/03/2021,$18.71,$19.20,$17.95,$19.19,"$103,883,314","$2,203,551,697"
16/03/2021,$18.89,$19.11,$18.17,$18.70,"$93,747,371","$2,148,094,099"
15/03/2021,$19.53,$19.96,$18.25,$18.90,"$109,957,797","$2,170,040,343"
14/03/2021,$20.48,$20.55,$19.25,$19.54,"$97,739,541","$2,244,392,203"
13/03/2021,$19.48,$20.82,$18.91,$20.49,"$111,824,248","$2,352,736,057"
12/03/2021,$20.80,$20.97,$18.92,$19.48,"$149,268,290","$2,236,953,854"
11/03/2021,$21.67,$21.98,$20.76,$20.79,"$128,680,513","$2,387,298,221"
10/03/2021,$22.63,$23.28,$21.47,$21.69,"$143,204,489","$2,491,027,966"
09/03/2021,$21.81,$22.67,$21.42,$22.63,"$117,765,964","$2,598,871,363"
08/03/2021,$21.64,$21.87,$20.78,$21.81,"$100,132,220","$2,504,620,708"
07/03/2021,$21.30,$21.71,$20.62,$21.63,"$96,390,043","$2,484,065,938"
06/03/2021,$20.79,$21.41,$20.20,$21.29,"$93,245,802","$2,444,910,587"
05/03/2021,$21.49,$21.49,$20.09,$20.81,"$130,531,947","$2,389,755,650"
04/03/2021,$22.63,$24.29,$21.21,$21.51,"$201,946,228","$2,470,121,054"
03/03/2021,$22.46,$24.02,$22.18,$22.64,"$164,176,199","$2,599,773,597"
02/03/2021,$20.65,$23.28,$20.65,$22.46,"$249,705,618","$2,579,141,278"
01/03/2021,$18.70,$21.06,$18.70,$20.65,"$174,501,781","$2,371,397,927"
28/02/2021,$18.84,$19.23,$16.36,$18.68,"$182,186,075","$2,145,425,406"
27/02/2021,$18.01,$20.33,$17.99,$18.84,"$159,917,118","$2,163,338,350"
26/02/2021,$18.29,$19.78,$17.01,$17.99,"$232,539,171","$2,066,128,746"
25/02/2021,$19.19,$21.93,$18.24,$18.25,"$220,903,148","$2,095,310,091"
24/02/2021,$18.10,$20.88,$17.36,$19.21,"$240,042,967","$2,205,570,493"
23/02/2021,$21.00,$21.06,$14.20,$18.07,"$419,396,929","$2,075,340,963"
22/02/2021,$22.83,$22.89,$17.66,$21.02,"$293,463,147","$2,414,142,645"
21/02/2021,$23.21,$23.66,$22.46,$22.83,"$166,159,256","$2,621,341,770"
20/02/2021,$22.32,$25.46,$22.01,$23.24,"$379,795,220","$2,668,804,490"
19/02/2021,$23.17,$23.54,$21.57,$22.29,"$226,313,809","$2,559,674,920"
18/02/2021,$24.27,$24.65,$22.93,$23.17,"$176,908,478","$2,660,728,291"
17/02/2021,$24.09,$24.51,$22.31,$24.28,"$308,579,990","$2,788,489,323"
16/02/2021,$24.56,$26.41,$23.23,$24.09,"$336,677,357","$2,766,785,251"
15/02/2021,$25.10,$26.84,$21.33,$24.60,"$384,366,584","$2,825,000,117"
14/02/2021,$26.44,$28.77,$24.52,$25.15,"$366,318,893","$2,887,719,875"
13/02/2021,$27.10,$28.11,$24.99,$26.45,"$346,692,911","$3,037,459,599"
12/02/2021,$26.19,$28.10,$25.35,$27.07,"$384,530,706","$3,108,610,993"
