Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$11.88,$12.87,$11.32,$11.91,"$154,611,223","$2,758,121,093"
09/04/2021,$10.22,$12.07,$10.22,$11.92,"$210,385,178","$2,759,144,175"
08/04/2021,$9.16,$10.35,$9.15,$10.21,"$100,229,934","$2,364,726,560"
07/04/2021,$9.90,$10.20,$8.88,$9.13,"$107,367,685","$2,114,650,032"
06/04/2021,$9.84,$10.04,$9.13,$9.91,"$123,353,589","$2,294,772,052"
05/04/2021,$10.41,$10.92,$9.53,$9.77,"$133,854,763","$2,261,700,381"
04/04/2021,$9.24,$10.47,$9.12,$10.39,"$145,562,390","$2,408,567,750"
03/04/2021,$8.41,$9.45,$8.22,$9.12,"$101,953,883","$2,112,889,553"
02/04/2021,$8.37,$8.82,$7.96,$8.42,"$82,747,295","$1,950,703,966"
01/04/2021,$7.94,$8.92,$7.94,$8.43,"$115,706,548","$2,008,268,368"
31/03/2021,$7.29,$8.03,$6.98,$7.94,"$103,055,696","$1,892,479,034"
30/03/2021,$6.73,$7.31,$6.65,$7.30,"$86,710,265","$1,738,693,908"
29/03/2021,$6.17,$6.74,$6.13,$6.73,"$52,322,204","$1,603,687,473"
28/03/2021,$6.24,$6.51,$5.93,$6.17,"$45,465,140","$1,470,746,494"
27/03/2021,$5.93,$6.43,$5.75,$6.25,"$51,032,312","$1,488,300,839"
26/03/2021,$4.78,$5.94,$4.78,$5.93,"$47,457,733","$1,413,967,836"
25/03/2021,$4.66,$4.93,$4.53,$4.78,"$35,322,427","$1,139,205,835"
24/03/2021,$5.13,$5.41,$4.60,$4.66,"$47,089,468","$1,110,802,173"
23/03/2021,$5.27,$5.36,$4.95,$5.14,"$44,186,087","$1,225,633,630"
22/03/2021,$5.64,$5.67,$5.02,$5.28,"$37,353,219","$1,257,044,799"
21/03/2021,$5.81,$5.82,$5.40,$5.63,"$26,930,217","$1,342,664,271"
20/03/2021,$5.59,$6.05,$5.56,$5.79,"$22,833,427","$1,379,561,133"
19/03/2021,$5.65,$5.70,$5.50,$5.59,"$23,137,084","$1,331,286,787"
18/03/2021,$5.83,$5.99,$5.61,$5.65,"$28,974,316","$1,345,185,611"
17/03/2021,$5.58,$5.88,$5.42,$5.83,"$34,700,392","$1,388,801,366"
16/03/2021,$5.67,$5.75,$5.35,$5.57,"$34,526,244","$1,327,875,735"
15/03/2021,$5.57,$5.85,$5.23,$5.68,"$56,673,867","$1,353,301,906"
14/03/2021,$6.11,$6.14,$5.58,$5.58,"$43,098,475","$1,329,236,289"
13/03/2021,$5.99,$6.29,$5.82,$6.11,"$30,887,195","$1,456,768,045"
12/03/2021,$6.42,$6.47,$5.72,$5.99,"$54,793,594","$1,426,808,867"
11/03/2021,$6.33,$6.76,$6.13,$6.42,"$62,099,271","$1,530,488,215"
10/03/2021,$6.14,$6.65,$5.80,$6.34,"$72,196,978","$1,511,509,383"
09/03/2021,$5.82,$6.18,$5.76,$6.15,"$48,257,045","$1,464,456,627"
08/03/2021,$5.70,$5.84,$5.37,$5.82,"$38,013,123","$1,385,679,417"
07/03/2021,$5.70,$5.99,$5.52,$5.70,"$39,504,239","$1,359,188,103"
06/03/2021,$5.52,$5.90,$5.40,$5.71,"$45,664,848","$1,360,682,497"
05/03/2021,$5.27,$5.65,$4.97,$5.53,"$49,489,058","$1,318,294,368"
04/03/2021,$5.73,$5.75,$5.13,$5.28,"$56,966,801","$1,257,589,662"
03/03/2021,$5.18,$6.09,$5.10,$5.73,"$81,979,848","$1,364,288,270"
02/03/2021,$5.18,$5.65,$4.93,$5.18,"$77,175,568","$1,235,290,810"
01/03/2021,$4.36,$5.18,$4.36,$5.18,"$50,745,643","$1,234,004,444"
28/02/2021,$4.53,$4.54,$3.91,$4.36,"$46,804,659","$1,037,847,669"
27/02/2021,$4.40,$4.79,$4.40,$4.54,"$47,542,060","$1,081,022,763"
26/02/2021,$4.46,$4.94,$4.03,$4.40,"$61,943,280","$1,048,234,634"
25/02/2021,$4.93,$5.26,$4.45,$4.45,"$65,092,146","$1,059,588,793"
24/02/2021,$4.91,$5.58,$4.47,$4.93,"$98,969,670","$1,175,222,823"
23/02/2021,$4.50,$4.93,$3.14,$4.90,"$166,670,408","$1,167,479,820"
22/02/2021,$4.78,$4.78,$3.70,$4.50,"$101,557,762","$1,072,180,109"
21/02/2021,$5.12,$5.27,$4.66,$4.77,"$68,013,677","$1,137,066,114"
20/02/2021,$4.77,$5.66,$4.53,$5.13,"$188,225,580","$1,223,431,426"
19/02/2021,$3.98,$4.98,$3.87,$4.78,"$104,179,704","$1,138,005,753"
18/02/2021,$4.01,$4.27,$3.95,$3.99,"$49,678,369","$950,364,829"
17/02/2021,$3.92,$4.08,$3.59,$4.02,"$42,287,847","$957,622,805"
16/02/2021,$3.87,$4.19,$3.64,$3.91,"$40,750,102","$619,918,519"
15/02/2021,$3.98,$4.37,$3.44,$3.89,"$57,299,364","$615,692,810"
14/02/2021,$4.39,$4.52,$3.89,$4.00,"$52,611,342","$633,343,745"
13/02/2021,$4.31,$4.41,$3.94,$4.39,"$92,152,090","$696,041,392"
12/02/2021,$4.50,$4.52,$4.13,$4.30,"$71,755,204","$681,739,498"
