Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$15.68,$15.96,$14.77,$15.51,"$232,354,891","$5,945,934,221"
09/04/2021,$15.75,$17.00,$15.55,$15.68,"$317,140,139","$6,012,891,075"
08/04/2021,$15.46,$16.11,$15.23,$15.75,"$222,250,435","$6,047,651,939"
07/04/2021,$16.74,$16.78,$14.83,$15.46,"$354,205,172","$5,948,124,946"
06/04/2021,$17.55,$17.59,$16.48,$16.73,"$303,371,100","$6,452,340,035"
05/04/2021,$18.35,$18.62,$17.24,$17.56,"$206,881,663","$6,785,927,299"
04/04/2021,$18.14,$18.72,$18.05,$18.35,"$155,778,458","$7,102,631,450"
03/04/2021,$18.57,$18.89,$18.11,$18.14,"$188,820,041","$7,030,662,943"
02/04/2021,$18.50,$19.19,$18.43,$18.57,"$288,164,247","$7,209,188,120"
01/04/2021,$18.70,$19.15,$18.14,$18.52,"$329,541,119","$7,210,141,406"
31/03/2021,$18.67,$19.55,$18.05,$18.70,"$502,783,251","$7,300,971,547"
30/03/2021,$18.90,$19.21,$18.24,$18.67,"$274,912,189","$7,311,508,124"
29/03/2021,$18.57,$19.50,$18.25,$18.90,"$265,177,895","$7,424,129,759"
28/03/2021,$18.72,$19.27,$18.09,$18.59,"$218,275,563","$7,327,240,475"
27/03/2021,$18.46,$19.24,$18.07,$18.75,"$269,291,397","$7,430,120,309"
26/03/2021,$16.46,$19.00,$16.45,$18.53,"$470,743,750","$7,382,388,335"
25/03/2021,$16.64,$17.22,$16.06,$16.45,"$466,380,561","$6,587,825,014"
24/03/2021,$17.03,$18.78,$15.95,$16.69,"$839,262,903","$6,705,496,146"
23/03/2021,$19.42,$19.80,$16.78,$17.05,"$534,066,504","$6,876,972,003"
22/03/2021,$21.97,$22.04,$19.24,$19.43,"$513,268,520","$7,868,176,984"
21/03/2021,$20.90,$22.33,$20.84,$21.98,"$590,731,035","$8,929,985,249"
20/03/2021,$19.95,$21.40,$19.73,$20.89,"$399,899,063","$8,515,612,490"
19/03/2021,$18.98,$21.88,$18.61,$20.01,"$834,679,597","$8,185,478,437"
18/03/2021,$18.53,$19.25,$17.73,$19.01,"$560,830,319","$7,432,330,303"
17/03/2021,$19.91,$19.91,$17.23,$18.59,"$1,043,820,400","$7,766,831,860"
16/03/2021,$16.33,$20.74,$16.13,$19.88,"$1,453,287,134","$7,912,593,323"
15/03/2021,$15.84,$16.68,$14.63,$16.34,"$648,714,358","$6,547,961,667"
14/03/2021,$14.59,$16.68,$13.89,$15.87,"$787,898,017","$6,399,756,250"
13/03/2021,$14.16,$14.82,$12.72,$14.59,"$458,413,473","$5,918,524,266"
12/03/2021,$10.82,$14.34,$10.60,$14.16,"$778,270,134","$5,793,450,505"
11/03/2021,$11.12,$11.37,$10.43,$10.82,"$353,032,857","$4,251,588,266"
10/03/2021,$11.67,$11.75,$10.90,$11.15,"$392,489,796","$4,420,826,637"
09/03/2021,$9.67,$12.06,$9.61,$11.71,"$842,804,932","$4,679,822,731"
08/03/2021,$8.25,$9.77,$8.10,$9.64,"$423,561,756","$3,881,837,949"
07/03/2021,$8.25,$8.30,$7.79,$8.27,"$187,859,367","$3,344,413,339"
06/03/2021,$8.48,$8.94,$8.11,$8.24,"$335,788,160","$3,340,003,745"
05/03/2021,$7.47,$8.76,$7.00,$8.49,"$539,816,082","$3,451,008,473"
04/03/2021,$7.21,$8.13,$7.11,$7.50,"$418,936,174","$3,065,158,115"
03/03/2021,$6.47,$8.20,$6.44,$7.22,"$459,813,956","$2,904,489,962"
02/03/2021,$6.75,$6.78,$6.23,$6.46,"$186,109,178","$2,613,783,955"
01/03/2021,$5.36,$6.77,$5.35,$6.75,"$284,275,053","$2,737,425,013"
28/02/2021,$5.92,$6.02,$5.00,$5.35,"$164,424,751","$2,177,565,931"
27/02/2021,$5.90,$6.37,$5.77,$5.92,"$133,102,816","$2,431,412,720"
26/02/2021,$5.99,$6.40,$5.59,$5.90,"$185,889,740","$2,442,123,971"
25/02/2021,$6.68,$7.21,$5.96,$5.96,"$247,342,950","$2,494,691,988"
24/02/2021,$6.73,$7.66,$6.42,$6.69,"$347,070,519","$2,827,695,243"
23/02/2021,$7.06,$7.11,$5.57,$6.71,"$578,884,178","$2,849,241,664"
22/02/2021,$6.12,$8.41,$5.97,$7.07,"$731,036,801","$3,011,889,006"
21/02/2021,$5.95,$6.36,$5.81,$6.12,"$156,476,811","$2,633,610,438"
20/02/2021,$6.31,$6.74,$5.73,$5.96,"$195,368,387","$2,586,718,893"
19/02/2021,$6.70,$6.88,$6.20,$6.32,"$204,897,846","$2,759,479,948"
18/02/2021,$7.29,$7.52,$6.46,$6.71,"$267,006,322","$2,947,912,416"
17/02/2021,$6.52,$7.44,$5.83,$7.30,"$578,430,821","$3,228,741,568"
16/02/2021,$5.45,$6.71,$5.30,$6.51,"$459,996,383","$2,903,266,277"
15/02/2021,$5.64,$5.85,$4.97,$5.45,"$261,353,724","$2,450,692,775"
14/02/2021,$5.58,$6.15,$5.36,$5.65,"$234,014,904","$2,561,614,909"
13/02/2021,$5.72,$5.98,$5.39,$5.59,"$189,307,924","$2,563,636,117"
12/02/2021,$5.47,$6.13,$5.41,$5.73,"$354,103,437","$2,665,301,962"
