Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$1.00,$1.00,$0.9984,$1.00,"$103,736,039,046","$41,708,271,322"
01/04/2021,$1,$1.00,$0.9997,$1.00,"$108,310,288,784","$40,742,058,575"
31/03/2021,$1.00,$1.00,$0.9994,$1.00,"$111,253,962,206","$40,723,981,487"
30/03/2021,$0.9998,$1.00,$0.999,$1.00,"$82,702,790,409","$40,681,086,817"
29/03/2021,$1.00,$1.00,$0.9993,$0.9998,"$80,873,581,836","$40,467,698,670"
28/03/2021,$1.00,$1.00,$1.00,$1.00,"$69,313,550,904","$40,500,517,197"
27/03/2021,$1.00,$1.00,$0.9999,$1.00,"$73,586,222,744","$40,185,072,295"
26/03/2021,$1.00,$1.00,$0.9996,$1.00,"$82,935,770,974","$40,274,665,487"
25/03/2021,$1.00,$1.00,$0.9997,$1.00,"$97,273,950,074","$40,329,456,619"
24/03/2021,$1.00,$1.00,$0.9997,$1.00,"$97,177,670,255","$39,890,351,375"
23/03/2021,$1.00,$1.00,$1.00,$1.00,"$87,718,238,071","$39,702,747,918"
22/03/2021,$1.00,$1.00,$0.999,$1.00,"$86,052,511,859","$39,626,700,644"
21/03/2021,$1.00,$1.00,$0.9995,$1.00,"$75,434,025,575","$39,567,651,238"
20/03/2021,$1.00,$1.00,$1.00,$1.00,"$78,910,215,980","$39,525,018,904"
19/03/2021,$1.00,$1.00,$1.00,$1.00,"$78,992,617,747","$39,311,262,206"
18/03/2021,$0.999,$1.00,$0.9987,$1.00,"$87,360,030,730","$38,904,898,368"
17/03/2021,$1.00,$1.00,$0.9991,$0.9991,"$94,297,363,539","$38,660,244,602"
16/03/2021,$1.00,$1.00,$0.9992,$1.00,"$101,176,062,799","$38,647,978,371"
15/03/2021,$0.9998,$1.00,$0.9994,$1.00,"$110,958,014,435","$38,529,973,461"
14/03/2021,$0.9998,$1.00,$0.9995,$0.9998,"$83,527,066,354","$38,235,568,475"
13/03/2021,$1.00,$1.00,$0.9993,$0.9998,"$105,301,861,825","$38,224,664,052"
12/03/2021,$1.00,$1.00,$0.9999,$1.00,"$99,392,797,660","$38,119,626,345"
11/03/2021,$1.00,$1.00,$0.9999,$1.00,"$93,576,067,866","$37,514,467,151"
10/03/2021,$1.00,$1.00,$1.00,$1.00,"$94,996,172,814","$37,086,634,927"
09/03/2021,$1.00,$1.00,$1.00,$1.00,"$95,447,392,493","$36,818,376,521"
08/03/2021,$1.00,$1.00,$1.00,$1.00,"$88,859,705,060","$36,482,628,339"
07/03/2021,$1.00,$1.00,$1.00,$1.00,"$70,107,811,561","$36,472,973,682"
06/03/2021,$1.00,$1.00,$0.9993,$1.00,"$66,739,320,404","$36,438,046,373"
05/03/2021,$1.00,$1.00,$0.9998,$1.00,"$87,483,469,989","$36,394,667,328"
04/03/2021,$1.00,$1.00,$0.9996,$1.00,"$103,244,765,110","$36,266,584,108"
03/03/2021,$1.00,$1.00,$1,$1.00,"$94,786,928,488","$35,886,328,358"
02/03/2021,$1.00,$1.00,$1.00,$1.00,"$92,797,362,841","$35,458,580,808"
01/03/2021,$1.00,$1.00,$1.00,$1.00,"$96,252,860,017","$35,068,760,205"
28/02/2021,$1.00,$1.00,$1.00,$1.00,"$106,489,914,975","$35,051,423,320"
27/02/2021,$1,$1.00,$0.9994,$1.00,"$94,710,037,977","$35,024,034,646"
26/02/2021,$1.00,$1.00,$0.9987,$1,"$124,624,106,848","$35,009,955,967"
25/02/2021,$1.00,$1.00,$0.9998,$1.00,"$105,464,333,625","$34,927,984,531"
24/02/2021,$1,$1.00,$0.9995,$1.00,"$129,007,383,618","$34,910,214,475"
23/02/2021,$1.00,$1.00,$0.9974,$1.00,"$195,964,923,867","$34,762,222,903"
22/02/2021,$1.00,$1.00,$0.999,$1.00,"$169,690,403,440","$34,454,369,301"
21/02/2021,$1.00,$1.00,$0.9998,$1.00,"$102,446,076,715","$34,268,903,481"
20/02/2021,$1.00,$1.00,$0.9995,$1.00,"$137,486,320,908","$34,125,152,335"
19/02/2021,$1.00,$1.00,$0.9992,$1.00,"$113,649,609,569","$33,537,929,874"
18/02/2021,$1.00,$1.00,$0.9995,$1.00,"$94,966,568,287","$33,138,979,946"
17/02/2021,$1.00,$1.00,$0.9998,$1.00,"$139,150,324,868","$32,428,113,699"
16/02/2021,$1.00,$1.00,$0.9994,$1.00,"$141,032,763,591","$32,253,692,839"
15/02/2021,$1.00,$1.00,$0.9997,$1.00,"$162,693,579,145","$32,097,723,612"
14/02/2021,$1.00,$1.00,$1.00,$1.00,"$138,353,850,761","$32,031,576,070"
13/02/2021,$1.00,$1.00,$0.9999,$1.00,"$153,120,142,052","$31,614,848,889"
12/02/2021,$1.00,$1.00,$1.00,$1.00,"$147,107,216,422","$31,194,081,728"
11/02/2021,$1.00,$1.00,$1.00,$1.00,"$144,658,901,916","$30,738,990,767"
10/02/2021,$1.00,$1.00,$1.00,$1.00,"$167,294,523,848","$30,322,433,016"
09/02/2021,$1.00,$1.00,$1.00,$1.00,"$155,577,364,901","$29,791,218,141"
08/02/2021,$1.00,$1.00,$1.00,$1.00,"$156,718,232,410","$28,801,870,407"
07/02/2021,$1.00,$1.00,$1.00,$1.00,"$130,348,566,847","$28,640,986,239"
06/02/2021,$1.00,$1.00,$1.00,$1.00,"$121,039,422,025","$28,259,209,039"
05/02/2021,$1.00,$1.00,$1,$1.00,"$116,242,339,499","$27,792,866,868"
04/02/2021,$1.00,$1.00,$1.00,$1.00,"$130,071,476,669","$27,447,659,384"
