Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$6.84,$7.20,$6.25,$6.56,"$858,200,532","$5,023,001,277"
09/04/2021,$6.15,$6.88,$6.03,$6.74,"$863,305,780","$5,165,136,140"
08/04/2021,$5.54,$6.19,$5.49,$6.15,"$568,430,246","$4,708,850,992"
07/04/2021,$6.19,$6.49,$5.39,$5.53,"$923,928,411","$4,233,298,990"
06/04/2021,$6.12,$6.82,$5.90,$6.21,"$1,356,649,388","$4,750,666,734"
05/04/2021,$5.21,$6.46,$5.11,$6.04,"$1,293,894,766","$4,623,982,038"
04/04/2021,$4.85,$5.27,$4.80,$5.20,"$316,237,486","$3,981,103,744"
03/04/2021,$5.37,$5.48,$4.85,$4.85,"$461,611,096","$3,713,756,197"
02/04/2021,$5.16,$5.42,$5.01,$5.37,"$520,174,537","$4,108,347,983"
01/04/2021,$4.86,$5.38,$4.79,$5.16,"$843,318,627","$3,948,258,231"
31/03/2021,$4.59,$4.91,$4.33,$4.86,"$484,890,343","$3,714,915,145"
30/03/2021,$4.60,$4.80,$4.59,$4.59,"$418,152,029","$3,513,311,562"
29/03/2021,$4.25,$4.63,$4.21,$4.59,"$422,631,252","$3,509,551,401"
28/03/2021,$4.13,$4.34,$4.10,$4.25,"$283,965,613","$3,251,512,784"
27/03/2021,$4.21,$4.24,$4.06,$4.13,"$229,458,747","$3,156,772,398"
26/03/2021,$3.95,$4.22,$3.94,$4.22,"$290,528,193","$3,222,189,416"
25/03/2021,$4.03,$4.10,$3.82,$3.95,"$442,346,277","$3,015,364,867"
24/03/2021,$4.15,$4.55,$3.97,$4.04,"$601,332,506","$3,085,291,655"
23/03/2021,$4.09,$4.25,$3.98,$4.15,"$383,313,424","$3,172,489,457"
22/03/2021,$4.18,$4.42,$4.07,$4.09,"$422,811,734","$3,126,984,625"
21/03/2021,$4.38,$4.44,$4.08,$4.18,"$332,015,093","$3,194,012,052"
20/03/2021,$4.25,$4.62,$4.23,$4.37,"$405,198,611","$3,339,477,868"
19/03/2021,$4.28,$4.35,$4.15,$4.25,"$304,879,540","$3,246,563,435"
18/03/2021,$4.40,$4.58,$4.21,$4.29,"$486,669,786","$3,273,646,407"
17/03/2021,$4.03,$4.44,$3.86,$4.40,"$578,580,028","$3,359,837,605"
16/03/2021,$3.83,$4.05,$3.70,$4.03,"$388,669,384","$3,075,349,763"
15/03/2021,$3.97,$4.05,$3.76,$3.84,"$389,125,656","$2,926,839,510"
14/03/2021,$4.17,$4.19,$3.96,$3.97,"$306,551,113","$3,031,794,643"
13/03/2021,$3.98,$4.23,$3.81,$4.17,"$379,938,260","$3,182,506,103"
12/03/2021,$4.12,$4.15,$3.83,$3.98,"$411,385,026","$3,038,678,511"
11/03/2021,$4.16,$4.19,$3.96,$4.12,"$346,350,347","$3,142,864,444"
10/03/2021,$4.46,$4.47,$4.08,$4.17,"$469,979,377","$3,177,794,644"
09/03/2021,$4.39,$4.58,$4.35,$4.47,"$486,850,632","$3,406,040,182"
08/03/2021,$4.19,$4.46,$4.07,$4.39,"$673,608,030","$3,348,169,456"
07/03/2021,$3.88,$4.20,$3.83,$4.19,"$431,844,077","$3,191,641,332"
06/03/2021,$3.77,$4.00,$3.73,$3.88,"$363,734,091","$2,954,203,400"
05/03/2021,$3.67,$3.86,$3.46,$3.78,"$441,164,915","$2,878,875,316"
04/03/2021,$3.85,$3.97,$3.57,$3.67,"$508,876,953","$2,795,072,842"
03/03/2021,$3.69,$4.00,$3.68,$3.86,"$527,055,687","$2,938,817,944"
02/03/2021,$3.63,$3.80,$3.51,$3.68,"$462,184,154","$2,806,514,060"
01/03/2021,$3.41,$3.68,$3.41,$3.63,"$379,060,411","$2,767,668,636"
28/02/2021,$3.64,$3.67,$3.21,$3.41,"$469,639,314","$2,599,207,036"
27/02/2021,$3.47,$3.85,$3.47,$3.64,"$509,960,041","$2,769,430,569"
26/02/2021,$3.34,$3.79,$3.18,$3.46,"$598,752,705","$2,636,218,167"
25/02/2021,$3.53,$3.84,$3.33,$3.33,"$604,618,639","$2,537,537,506"
24/02/2021,$3.53,$3.90,$3.37,$3.53,"$585,719,552","$2,689,983,447"
23/02/2021,$4.28,$4.29,$2.97,$3.52,"$864,130,974","$2,675,750,051"
22/02/2021,$4.68,$4.68,$3.67,$4.28,"$805,917,264","$3,256,741,088"
21/02/2021,$4.65,$4.81,$4.54,$4.67,"$499,921,679","$3,555,102,325"
20/02/2021,$4.97,$5.14,$4.39,$4.66,"$725,265,606","$3,540,868,208"
19/02/2021,$4.86,$5.10,$4.60,$4.97,"$634,692,106","$3,781,294,246"
18/02/2021,$4.61,$4.99,$4.53,$4.86,"$622,655,231","$3,695,127,460"
17/02/2021,$4.53,$4.75,$4.20,$4.61,"$699,487,699","$3,503,152,548"
16/02/2021,$4.54,$4.87,$4.34,$4.53,"$753,458,841","$3,442,648,037"
15/02/2021,$4.89,$4.96,$3.94,$4.54,"$1,187,971,516","$3,449,399,142"
14/02/2021,$5.33,$5.58,$4.73,$4.91,"$1,174,426,403","$3,730,084,296"
13/02/2021,$5.01,$5.33,$4.63,$5.33,"$1,396,242,808","$4,049,777,159"
12/02/2021,$4.11,$5.38,$4.04,$5.01,"$1,459,813,520","$3,809,181,731"
