Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.74,$1.92,$1.71,$1.89,"$337,377,893","$2,355,373,550"
09/04/2021,$1.75,$1.82,$1.72,$1.74,"$140,943,866","$2,167,696,020"
08/04/2021,$1.66,$1.75,$1.65,$1.75,"$160,822,847","$2,183,442,914"
07/04/2021,$1.76,$1.77,$1.53,$1.65,"$294,202,377","$2,059,374,190"
06/04/2021,$1.83,$1.88,$1.73,$1.76,"$282,126,235","$2,197,649,077"
05/04/2021,$1.77,$1.85,$1.70,$1.83,"$308,583,254","$2,279,330,243"
04/04/2021,$1.69,$1.78,$1.67,$1.77,"$188,205,917","$2,201,818,030"
03/04/2021,$1.89,$1.97,$1.69,$1.69,"$336,808,273","$2,102,114,676"
02/04/2021,$1.77,$1.95,$1.74,$1.89,"$406,483,231","$2,358,454,696"
01/04/2021,$1.72,$1.85,$1.69,$1.78,"$338,174,377","$2,212,558,166"
31/03/2021,$1.76,$1.79,$1.65,$1.72,"$283,716,822","$2,141,479,016"
30/03/2021,$1.77,$1.89,$1.73,$1.77,"$372,334,766","$2,199,177,615"
29/03/2021,$1.82,$1.85,$1.69,$1.77,"$388,868,621","$2,205,285,922"
28/03/2021,$1.47,$1.82,$1.46,$1.81,"$548,364,256","$2,256,185,637"
27/03/2021,$1.56,$1.59,$1.46,$1.47,"$171,865,592","$1,828,809,509"
26/03/2021,$1.34,$1.56,$1.34,$1.56,"$198,822,457","$1,939,409,694"
25/03/2021,$1.40,$1.42,$1.32,$1.34,"$208,841,894","$1,670,844,550"
24/03/2021,$1.50,$1.59,$1.34,$1.41,"$220,298,211","$1,752,434,342"
23/03/2021,$1.55,$1.60,$1.50,$1.51,"$184,898,760","$1,878,465,002"
22/03/2021,$1.70,$1.71,$1.51,$1.55,"$254,170,807","$1,931,756,208"
21/03/2021,$1.73,$1.76,$1.66,$1.70,"$215,059,460","$2,120,183,520"
20/03/2021,$1.70,$1.88,$1.69,$1.72,"$311,723,992","$2,142,111,356"
19/03/2021,$1.69,$1.74,$1.66,$1.70,"$184,340,904","$2,116,618,921"
18/03/2021,$1.72,$1.79,$1.69,$1.69,"$228,345,560","$2,109,014,027"
17/03/2021,$1.71,$1.75,$1.65,$1.72,"$192,649,089","$2,144,987,739"
16/03/2021,$1.72,$1.79,$1.62,$1.71,"$273,835,316","$2,134,769,097"
15/03/2021,$1.73,$1.87,$1.69,$1.72,"$286,450,410","$2,144,302,453"
14/03/2021,$1.79,$1.84,$1.72,$1.74,"$217,521,194","$2,163,884,133"
13/03/2021,$1.73,$1.89,$1.66,$1.80,"$375,105,205","$2,236,236,654"
12/03/2021,$1.91,$1.93,$1.66,$1.73,"$422,600,040","$2,153,748,114"
11/03/2021,$2.03,$2.10,$1.89,$1.91,"$377,210,253","$2,383,050,312"
10/03/2021,$2.12,$2.15,$1.97,$2.04,"$416,473,783","$2,537,734,443"
09/03/2021,$1.90,$2.22,$1.88,$2.12,"$609,275,030","$2,642,461,209"
08/03/2021,$1.88,$1.93,$1.80,$1.90,"$261,183,890","$2,372,061,953"
07/03/2021,$1.80,$1.94,$1.80,$1.88,"$229,262,422","$2,341,116,234"
06/03/2021,$1.83,$1.86,$1.75,$1.80,"$154,452,294","$2,239,010,944"
05/03/2021,$1.86,$1.89,$1.73,$1.84,"$252,362,655","$2,289,349,767"
04/03/2021,$1.96,$2.04,$1.80,$1.86,"$310,452,420","$2,321,094,095"
03/03/2021,$1.83,$2.08,$1.80,$1.96,"$454,550,647","$2,447,308,355"
02/03/2021,$1.92,$1.98,$1.73,$1.83,"$408,274,705","$2,281,946,241"
01/03/2021,$1.59,$1.92,$1.59,$1.92,"$408,261,250","$2,391,171,613"
28/02/2021,$1.68,$1.69,$1.44,$1.58,"$301,374,065","$1,967,585,615"
27/02/2021,$1.73,$1.82,$1.64,$1.68,"$241,638,894","$2,094,582,351"
26/02/2021,$1.72,$1.86,$1.57,$1.73,"$450,141,836","$2,151,515,593"
25/02/2021,$1.90,$1.99,$1.71,$1.71,"$406,304,918","$2,128,835,162"
24/02/2021,$1.70,$2.03,$1.60,$1.90,"$637,696,132","$2,364,767,455"
23/02/2021,$2.02,$2.03,$1.34,$1.70,"$1,102,633,844","$2,115,042,651"
22/02/2021,$2.29,$2.42,$1.65,$2.02,"$969,043,906","$2,520,380,823"
21/02/2021,$2.30,$2.39,$2.20,$2.29,"$347,410,189","$2,847,716,990"
20/02/2021,$2.17,$2.64,$2.09,$2.31,"$1,189,122,489","$2,875,257,573"
19/02/2021,$2.29,$2.33,$2.11,$2.17,"$494,262,992","$2,698,779,155"
18/02/2021,$2.18,$2.34,$2.13,$2.29,"$675,527,169","$2,852,015,413"
17/02/2021,$2.07,$2.20,$1.91,$2.19,"$680,727,351","$2,723,413,864"
16/02/2021,$2.15,$2.27,$2.03,$2.07,"$522,877,328","$2,573,084,867"
15/02/2021,$2.16,$2.44,$1.71,$2.15,"$1,166,215,235","$2,678,284,223"
14/02/2021,$2.34,$2.41,$1.92,$2.17,"$1,000,643,663","$2,702,344,841"
13/02/2021,$2.24,$2.58,$2.20,$2.35,"$1,148,937,738","$2,922,987,949"
12/02/2021,$2.04,$2.88,$1.90,$2.25,"$3,689,283,531","$2,805,400,636"
