Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.3759,$0.3769,$0.3548,$0.3615,"$45,064,458","$1,905,408,410"
09/04/2021,$0.3855,$0.3855,$0.3663,$0.3751,"$40,403,891","$1,976,761,497"
08/04/2021,$0.3606,$0.3897,$0.3501,$0.3855,"$74,057,385","$2,031,863,614"
07/04/2021,$0.3484,$0.3953,$0.3385,$0.3598,"$126,103,238","$1,896,164,915"
06/04/2021,$0.377,$0.3784,$0.3392,$0.3476,"$128,373,842","$1,832,298,428"
05/04/2021,$0.4121,$0.4299,$0.3765,$0.3773,"$118,066,456","$1,988,783,482"
04/04/2021,$0.3957,$0.4364,$0.3915,$0.4123,"$94,699,495","$2,173,317,745"
03/04/2021,$0.4403,$0.4947,$0.3941,$0.3956,"$179,224,204","$2,085,058,977"
02/04/2021,$0.4166,$0.4745,$0.4095,$0.4418,"$243,645,519","$2,328,500,726"
01/04/2021,$0.416,$0.4285,$0.4038,$0.4169,"$205,339,611","$2,197,246,403"
31/03/2021,$0.4113,$0.4499,$0.3979,$0.4175,"$298,082,866","$2,200,188,010"
30/03/2021,$0.4123,$0.4181,$0.3996,$0.4117,"$127,722,969","$2,168,947,916"
29/03/2021,$0.4118,$0.4498,$0.4041,$0.4111,"$182,853,379","$2,165,985,521"
28/03/2021,$0.4046,$0.4145,$0.3891,$0.4123,"$133,842,062","$2,171,965,650"
27/03/2021,$0.4156,$0.4225,$0.3875,$0.4042,"$121,029,134","$2,129,060,471"
26/03/2021,$0.4185,$0.4343,$0.3935,$0.4199,"$168,634,248","$2,211,355,264"
25/03/2021,$0.3958,$0.4391,$0.3709,$0.4187,"$362,160,544","$2,204,920,028"
24/03/2021,$0.4804,$0.5654,$0.3744,$0.3965,"$562,639,977","$2,087,442,314"
23/03/2021,$0.3793,$0.5465,$0.3772,$0.4817,"$1,244,015,294","$2,536,034,819"
22/03/2021,$0.3341,$0.4617,$0.3328,$0.3812,"$308,170,584","$2,006,537,014"
21/03/2021,$0.3189,$0.3514,$0.3102,$0.3347,"$94,811,435","$1,761,637,776"
20/03/2021,$0.3427,$0.3552,$0.3155,$0.3189,"$111,063,068","$1,678,174,991"
19/03/2021,$0.3529,$0.3702,$0.3397,$0.3469,"$144,977,251","$1,825,606,735"
18/03/2021,$0.3467,$0.3725,$0.3112,$0.3531,"$154,855,521","$1,857,983,200"
17/03/2021,$0.353,$0.353,$0.3013,$0.3467,"$159,384,320","$1,823,693,388"
16/03/2021,$0.344,$0.3801,$0.3116,$0.3533,"$132,246,426","$1,858,598,518"
15/03/2021,$0.3753,$0.3848,$0.3274,$0.3448,"$157,333,943","$1,813,620,250"
14/03/2021,$0.37,$0.4076,$0.3475,$0.3777,"$275,437,945","$1,986,207,550"
13/03/2021,$0.3939,$0.4155,$0.3478,$0.3698,"$157,735,428","$1,944,373,709"
12/03/2021,$0.3614,$0.4548,$0.3536,$0.3919,"$341,916,106","$2,060,249,568"
11/03/2021,$0.2525,$0.432,$0.2525,$0.3583,"$827,977,376","$1,883,367,434"
10/03/2021,$0.1828,$0.2733,$0.1633,$0.2536,"$138,768,992","$1,333,011,733"
09/03/2021,$0.1708,$0.1882,$0.1674,$0.182,"$111,083,676","$956,620,603"
08/03/2021,$0.1469,$0.1748,$0.1418,$0.1705,"$113,774,335","$896,203,682"
07/03/2021,$0.1409,$0.1492,$0.1377,$0.1471,"$25,403,149","$772,886,518"
06/03/2021,$0.1403,$0.1503,$0.1329,$0.1408,"$32,270,368","$739,622,672"
05/03/2021,$0.1434,$0.1705,$0.1338,$0.14,"$101,135,154","$735,593,991"
04/03/2021,$0.1288,$0.1497,$0.1233,$0.1431,"$59,014,254","$751,537,273"
03/03/2021,$0.1227,$0.1341,$0.1208,$0.1289,"$45,528,327","$677,084,783"
02/03/2021,$0.1121,$0.1441,$0.1085,$0.1229,"$116,221,273","$645,298,394"
01/03/2021,$0.09284,$0.1164,$0.09109,$0.1125,"$29,707,502","$590,764,583"
28/02/2021,$0.09488,$0.1044,$0.0867,$0.09214,"$37,224,699","$483,762,352"
27/02/2021,$0.08289,$0.1095,$0.08263,$0.09455,"$59,735,241","$496,366,445"
26/02/2021,$0.07967,$0.08858,$0.0741,$0.08266,"$14,053,372","$433,911,426"
25/02/2021,$0.08728,$0.08894,$0.07836,$0.07935,"$21,436,869","$416,483,853"
24/02/2021,$0.08424,$0.09322,$0.07751,$0.0873,"$21,829,277","$458,175,131"
23/02/2021,$0.09234,$0.09307,$0.05798,$0.08429,"$35,442,938","$442,304,269"
22/02/2021,$0.09064,$0.1099,$0.07311,$0.09218,"$44,805,023","$483,667,521"
21/02/2021,$0.08963,$0.09778,$0.08746,$0.09045,"$24,492,222","$474,538,213"
20/02/2021,$0.08658,$0.1145,$0.07936,$0.08985,"$80,602,580","$471,316,071"
19/02/2021,$0.06105,$0.102,$0.06105,$0.08603,"$117,275,104","$451,246,718"
18/02/2021,$0.05838,$0.06296,$0.05838,$0.06088,"$9,288,958","$319,274,331"
17/02/2021,$0.05833,$0.06043,$0.05504,$0.05825,"$13,909,086","$305,486,760"
16/02/2021,$0.06068,$0.0642,$0.05423,$0.05803,"$17,498,590","$304,293,497"
15/02/2021,$0.0575,$0.06409,$0.04922,$0.06048,"$38,802,212","$317,104,501"
14/02/2021,$0.0536,$0.05775,$0.05111,$0.05727,"$17,245,616","$300,237,850"
13/02/2021,$0.04767,$0.05849,$0.04767,$0.05361,"$42,615,474","$280,993,682"
12/02/2021,$0.04501,$0.04947,$0.04501,$0.04768,"$24,076,684","$249,905,545"
