Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$24.67,$29.20,$24.48,$28.09,"$106,386,540","$1,686,718,666"
09/04/2021,$24.45,$25.77,$23.89,$24.67,"$33,114,063","$1,481,136,042"
08/04/2021,$23.24,$24.79,$23.11,$24.45,"$23,056,305","$1,467,790,096"
07/04/2021,$25.38,$25.42,$22.22,$23.19,"$44,623,851","$1,392,018,648"
06/04/2021,$26.17,$27.26,$25.22,$25.30,"$48,319,221","$1,518,384,117"
05/04/2021,$25.64,$26.49,$24.72,$26.14,"$37,444,687","$1,569,294,783"
04/04/2021,$24.80,$26.14,$24.52,$25.64,"$33,432,664","$1,539,153,332"
03/04/2021,$25.48,$27.33,$24.82,$24.82,"$61,796,908","$1,489,520,391"
02/04/2021,$24.40,$25.89,$23.71,$25.48,"$40,425,647","$1,526,481,159"
01/04/2021,$24.78,$25.75,$23.76,$24.40,"$43,443,937","$1,461,747,033"
31/03/2021,$23.19,$26.00,$22.65,$24.78,"$55,590,531","$1,483,617,227"
30/03/2021,$22.68,$23.84,$22.55,$23.19,"$30,105,320","$1,387,963,711"
29/03/2021,$21.66,$23.16,$21.58,$22.68,"$32,105,439","$1,311,869,227"
28/03/2021,$21.82,$22.46,$21.50,$21.66,"$32,688,500","$1,252,982,437"
27/03/2021,$22.91,$23.46,$21.79,$21.82,"$31,962,239","$1,262,371,975"
26/03/2021,$19.95,$22.91,$19.95,$22.90,"$41,846,741","$1,324,365,456"
25/03/2021,$20.79,$21.26,$19.93,$19.95,"$29,106,302","$1,153,100,469"
24/03/2021,$23.11,$23.67,$20.51,$20.81,"$36,294,226","$1,203,051,318"
23/03/2021,$23.66,$24.20,$22.90,$23.10,"$33,656,378","$1,330,491,429"
22/03/2021,$25.26,$25.59,$23.53,$23.66,"$37,275,735","$1,356,499,765"
21/03/2021,$25.49,$25.50,$24.62,$25.26,"$37,551,560","$1,448,447,446"
20/03/2021,$25.49,$26.51,$25.47,$25.49,"$42,195,546","$1,461,365,902"
19/03/2021,$24.20,$26.02,$23.99,$25.49,"$45,812,157","$1,460,731,872"
18/03/2021,$23.84,$25.68,$23.83,$24.20,"$42,090,653","$1,386,726,598"
17/03/2021,$24.17,$24.48,$23.09,$23.84,"$35,230,630","$1,365,533,415"
16/03/2021,$23.85,$24.29,$22.38,$24.17,"$34,998,763","$1,384,350,912"
15/03/2021,$24.20,$25.47,$22.61,$23.86,"$48,190,666","$1,340,732,747"
14/03/2021,$25.38,$26.45,$23.70,$24.23,"$44,361,199","$1,361,470,912"
13/03/2021,$22.64,$26.89,$22.11,$25.38,"$60,242,953","$1,425,482,079"
12/03/2021,$24.42,$24.57,$22.32,$22.65,"$38,130,029","$1,271,914,118"
11/03/2021,$25.37,$25.52,$23.96,$24.43,"$43,016,013","$1,371,950,613"
10/03/2021,$27.22,$27.27,$24.74,$25.37,"$44,983,382","$1,425,229,060"
09/03/2021,$27.03,$28.93,$25.52,$27.23,"$91,779,404","$1,529,365,548"
08/03/2021,$22.28,$28.30,$22.21,$27.07,"$112,042,802","$1,520,393,677"
07/03/2021,$22.12,$22.51,$21.23,$22.28,"$33,319,055","$1,251,573,342"
06/03/2021,$20.18,$22.83,$20.13,$22.12,"$49,799,585","$1,242,659,460"
05/03/2021,$20.93,$20.93,$19.37,$20.18,"$25,834,506","$1,133,434,675"
04/03/2021,$21.98,$22.40,$20.30,$20.94,"$42,505,762","$1,175,858,612"
03/03/2021,$21.28,$22.73,$21.12,$21.99,"$38,313,582","$1,234,113,744"
02/03/2021,$20.66,$22.97,$20.34,$21.27,"$46,347,363","$1,194,012,351"
01/03/2021,$19.47,$20.89,$19.33,$20.66,"$33,470,857","$1,159,174,823"
28/02/2021,$20.40,$20.45,$17.62,$19.45,"$38,775,600","$1,091,181,303"
27/02/2021,$19.86,$21.67,$19.53,$20.40,"$39,619,787","$1,144,091,477"
26/02/2021,$19.91,$21.13,$18.52,$19.86,"$39,639,190","$1,113,424,678"
25/02/2021,$22.20,$22.63,$19.91,$19.91,"$37,663,271","$1,116,180,267"
24/02/2021,$21.79,$24.37,$20.75,$22.20,"$54,975,975","$1,244,812,882"
23/02/2021,$23.68,$23.69,$17.52,$21.79,"$103,268,039","$1,221,770,252"
22/02/2021,$26.77,$26.80,$20.74,$23.68,"$71,654,956","$1,325,566,715"
21/02/2021,$26.96,$28.66,$26.34,$26.77,"$54,541,130","$1,498,085,916"
20/02/2021,$25.78,$29.91,$25.55,$27.00,"$94,344,904","$1,510,523,591"
19/02/2021,$27.45,$27.68,$25.56,$25.76,"$47,662,724","$1,437,653,060"
18/02/2021,$27.90,$28.92,$26.98,$27.45,"$65,890,877","$1,532,041,772"
17/02/2021,$25.57,$28.01,$23.95,$27.99,"$114,682,590","$1,562,116,120"
16/02/2021,$26.11,$27.65,$24.78,$25.57,"$91,879,265","$1,426,912,043"
15/02/2021,$28.93,$29.34,$23.74,$26.10,"$127,178,074","$1,456,502,039"
14/02/2021,$29.64,$31.35,$28.27,$28.93,"$103,634,192","$1,614,218,104"
13/02/2021,$31.14,$32.22,$28.79,$29.62,"$126,190,244","$1,652,104,737"
12/02/2021,$29.12,$33.00,$28.81,$31.12,"$158,366,365","$1,736,154,766"
